"cluster","cell_cluster","#cells","up_or_down","#genes","genes"
"1","0","310","up","4","Rn7s1, Gm26461, Gm24447, Gm26035"
"2","0","310","down","97","Gm23624, Rnu5g, mt-Rnr1, Sez6, Supt7l, mt-Rnr2, Aldoc, Olfm1, Sparcl1, Pip5k1a, Malat1, Gm22513, Aplp1, Cpe, Gm13339, Rn7s2, Apoe, Slc1a2, Mt1, Gm25106, Kif1b, Gm24514, Gm24265, Gm42418, Lrrc17, Gpm6b, Atp1a2, Gm23153, Scd2, Sptbn1, mt-Tm, Srrm2, mt-Nd6, Calm3, Ccni, Mt2, 2810433D01Rik, Clu, Zbtb20, Plp1, Gm15728, Qk, Uba52, Ptk2b, Mt3, Kif1a, Tspan13, S100b, Pcsk1n, Plekhb1, Chchd10, Hsh2d, Prdx6, Cldn11, Lingo1, Insig1, Gabrb3, Tmcc2, Gm10076, Ndrg3, Trim2, Rn18s-rs5, Son, Psat1, Kif21a, 2010300C02Rik, Gstm1, Ctsd, Eno1, Kif5a, Fam213a, Car2, Gatm, Tmsb10, Slc6a11, Atp1b2, Mobp, Tubb4a, Mal2, Qdpr, Cryab, Rora, Mal, Svop, Hbb-bs, Bcas1, Vamp1, Olig1, Apod, Coro1a, Fgfr3, Cplx1, Mbp, Hbb-bt, Mag, Cnp, Hba-a1"
"3","1","199","up","5","Plp1, Hba-a2, Hba-a1, Hbb-bs, Hbb-bt"
"4","1","199","down","165","Apoe, Gfap, Clu, Snhg11, Cst3, Zbtb20, Uchl1, Calm2, Ndrg4, Plekhb1, Vsnl1, Snap25, Zwint, Prdx6, Fth1, Apod, Glul, Prkar1a, Mobp, Vamp2, Car2, Ywhaz, mt-Ti, Gabra1, Thy1, Syt1, Mt1, Mal, Gpm6b, Cldn11, Trf, Prkar1b, Atp6v1b2, Scd2, Slc12a5, Pip5k1a, Nap1l5, Nsf, Camk2n1, Nsg2, Qdpr, Supt7l, Qk, Mbp, Sez6, Ptgds, Cx3cl1, Pkia, Gm24447, Mt2, Myo6, Efhd2, Meg3, Prkacb, Slc1a2, Cnp, Cryab, Fa2h, Stmn3, Csrp1, Slc39a10, Gm26035, Ttyh2, Cd63, Psat1, Eid1, Tubb5, Arhgap32, Bex2, Erbin, Stxbp1, Mef2c, Enc1, Atp2b2, Gap43, mt-Tw, Olfm1, Sncb, Bcas1, Gatm, Myo5a, Gsn, Mal2, Tcf4, Nsg1, Cacna2d1, Lingo1, Vgf, Bend6, Dpp10, Resp18, Chd3os, Selenop, Tmsb10, Stx1a, Wbp2, Rock2, Gm23624, Scn1a, Gucy1b3, Tagln3, Lrrc17, Ermn, Camta1, Pcsk1n, Gabrg2, 1700020I14Rik, Aqp4, Ndrg1, Rn7s1, Ina, Sirpa, Nrsn2, Rab3c, Sorbs2, Slc12a2, Pdp1, Scg2, Arpp21, Impact, Cap2, Rnf208, Olig1, Mog, Carhsp1, Pgrmc1, Cd9, Rit2, Slc44a1, Gm26461, Mag, Pacs2, Pla2g16, Gjc2, Tmem88b, Ppp1r14a, Opalin, Neat1, Ncald, Atp2b4, Cplx1, Sirt2, Slc1a3, Strbp, Dbi, Il33, Pllp, Hlf, Myoc, Camk2a, Litaf, Ptpn4, Gjc3, Ttr, Egr1, Hap1, S100b, Sept4, Slc17a6, Enpp2, Myrf, Ugt8a, Tspan2, Igfbp2, Igf2"
"5","2","146","down","291","Ttr, mt-Rnr2, Snap25, Nrgn, mt-Rnr1, Kalrn, Prkcb, Calm1, Egr1, Enpp2, Calm3, Calm2, Mef2c, Chn1, Cck, Homer1, Mapk10, Satb2, Gm42418, Stxbp1, Ptgds, Sparc, 1110008P14Rik, Nnat, Syt1, Itpr1, Vsnl1, Arpp19, Syn1, Ier5, Atp2b2, Dclk1, Sncb, Diras2, Psd, Osbpl1a, Fam81a, Atp1a1, Camkk2, Rab6b, Mpped1, Slc17a7, Adcy1, Pgm2l1, Arc, Cst3, Pip5k1c, Aldoa, Eef1a2, Sv2b, Slc12a5, Gm20594, Fmnl1, Slc6a17, Dlgap1, Dnm1, Fxyd7, Stx1a, Atp2a2, Plcb1, Rn7s1, Pak1, Gria2, Cacnb4, Khdrbs3, Gm26461, 3110035E14Rik, Mgst3, Tspan7, Serinc1, Ywhaz, Cyfip2, 1700020I14Rik, Pcsk2, Ccl27a, Efhd2, Rn18s-rs5, Satb1, Baiap2, Usmg5, Atp2b1, Dkk3, Malat1, Camk2n1, Cacng3, Mical2, R3hdm1, Fam212b, Plk2, Clstn1, Asap1, Cplx1, Mapre3, Fbxw7, Fut9, Tbr1, Smim13, Galnt9, R3hdm2, Gng3, Snap91, Prickle1, Rnf126, Grin2a, Arhgap32, Scn1b, Aqp4, Psd3, Map1a, Prkcd, Rab6a, Trf, Rock2, Sh3gl2, Slc17a6, Ctxn1, Sptbn2, Ptms, Tmsb4x, Dlg2, Snrpn, Dusp3, Fam163b, Mras, Klc1, Syngr1, Stmn1, Gabra1, Chchd10, Cdk5r2, Tmem198, Stac2, Ttc9b, mt-Tl2, Strbp, Agt, Mmp17, Slc24a2, Rgs4, Ndufa4, Agtpbp1, Rpsa, Dgkz, Cd81, Wasf1, Gpr26, Capza2, Clip3, Epop, Rasgrp1, Lpgat1, Ppp3r1, Fkbp1a, mt-Te, Gfra2, Serpini1, Trim9, Rbfox3, Zfp365, Fam49a, Dusp14, Apod, Selenop, Myt1l, Enc1, Hivep2, Lingo1, Slc39a10, Cadm2, Nrsn1, Nptx1, Nlk, Efr3a, Zcchc12, Cox5b, Mgll, Dusp6, Etv5, Zbtb18, Grin1, Dynlrb1, Snca, Tmem178, Pfn2, Cx3cl1, Pvalb, Sept3, Prkar1b, mt-Ts2, D430041D05Rik, Apoe, Fam131a, Gas7, Gm24447, Atp6v1g2, Id2, Syp, Oxr1, Mbp, Gls, Ube2ql1, Sirpa, Rph3a, Hcn1, Rnf11, Golga7b, Tspan5, Sec14l1, Tcf7l2, Epb41l1, Ngef, Gm10801, Dlg1, Kcnab1, Bzw1, Camk2g, Ano3, Pantr1, Gucy1b3, Bsn, Pde1a, Ipcef1, Gria3, Kifc2, Frrs1l, Cnksr2, Hbb-bs, Rims1, Olfm2, Cacnb3, Sept7, Sorl1, Nrep, Gm26917, Efnb3, Ncald, Nrn1, Camk4, Gm26035, Kcnmb4, Ppp2r2c, Nrxn3, Arpp21, Pacsin1, Mobp, Neurod6, Tmsb10, Zic1, Sipa1l1, Hba-a1, Gm23624, Hba-a2, Ctsd, Lars2, Ahi1, 1500015O10Rik, Jph3, Pnmal2, Foxg1, Slc6a11, Plp1, Gfap, Mir6236, Calb2, Plekhb1, Cnp, Ntsr2, Igf2, Wdr6, Lamp5, Vim, Npy, Dbi, Igfbp2, Peg3, Hap1, Lypd1, Ctxn3, Rn7s2, Mal, Hpcal1, Igfbp4, Mag, Bcas1, Olig1, Hbb-bt, Mog, Resp18, Qdpr, Ndrg1, Cldn11"
"6","3","102","up","2","Slc6a11, Nap1l5"
"7","3","102","down","477","Olfm1, Nrgn, Sparc, Camk2a, Ppp3ca, Slc17a7, Resp18, Cck, Agt, Mef2c, Ddn, Ptk2b, Kalrn, Chn1, Aldoc, Camk2n1, Nrsn2, Peg3, Tmsb10, Sptbn2, Abat, Cxx1a, Zwint, Nptxr, Sv2b, Ndrg2, Gpm6a, Zfp365, Plp1, Dlgap3, Lingo1, 3110035E14Rik, Klhl13, Itpr1, Ctxn1, Zcchc12, Baiap2, Slc17a6, Nptx1, Ndn, Foxg1, Gap43, Scd2, Gprasp1, Pcsk1n, Vamp1, Enc1, Usp29, Egr1, 2010300C02Rik, Tcf4, Psd, Atp1a1, Icam5, Fbxl16, Rit2, Gprasp2, Nrn1, Adcy1, Dgkz, Tmem91, Prkcb, Homer1, Arpp21, Serpine2, Rasgrp1, Mobp, Gda, Dlgap1, Slc4a4, Hpcal4, Atp2b1, Tmsb4x, Nov, Cnksr2, Dzank1, Hpca, Itpka, Dkk3, Impact, Arf3, Mbp, Wasf1, S100b, Elavl2, Sipa1l1, Crym, Gaa, Nova1, Calm2, Zfhx3, Mical2, Ahi1, Fam131a, Nkain4, Tmem130, Chgb, Nsmf, Sparcl1, Psd3, Nrip2, Arl2, Camk2n2, Ppp3r1, Itih3, Ache, Lamp5, Ttc3, Mapk1, Atp1a2, Tspyl2, Pitpnm2, Rbms3, Calb2, Bex1, Khdrbs3, Bend6, Htr2c, Zbtb18, Cxx1b, Tox2, Neurod2, Chst1, Tuba1b, Atp1b2, Tbr1, Celf5, Cd83, Mtpn, B630019K06Rik, Plppr4, Podxl2, Kcnj10, Selenop, Lmo4, Cacna2d2, Prkce, Camkv, mt-Tm, Slc8a2, Sst, Dlk1, Ubc, Grin2a, Ttc9b, Fam81a, Eml2, Zfhx4, Camkk2, Chchd10, Phactr1, Tmem255a, Sort1, Pld3, Gas7, Arc, Cx3cl1, Ap1s2, Tmem178, Meg3, Neurod6, Sez6, Gria2, Slc30a3, Pde1a, AI593442, Ndrg3, Igsf1, Gabrb3, Supt7l, Brinp1, Erc2, Glra3, Scg2, Zfp423, Nts, Nfib, Slc6a9, Plekhb1, Pura, Arpc2, Rragb, Rgs17, Arpp19, Phyhip, Stx1a, Plppr2, Crebl2, Vat1l, Fam163b, Baiap3, Rnd2, Mpped1, Scd1, Cacng3, Camta2, Mmd, Plk2, Mkl2, Insig1, Ncald, Rab40b, Plcb1, Mal, Tspan7, Gm15427, Stmn3, Syt1, Pgbd5, Tspan13, Fbxw7, Opcml, Dusp14, Cpne6, Sprn, Pantr1, Rprml, Cap2, Camk4, Qdpr, Fam212b, R3hdm1, Apod, Bex2, Gria3, Foxp2, Pitx2, Synpo, Hdac11, Scn1b, Skp1a, 6330403K07Rik, Gm1821, Fgf1, Dlgap4, Bcl11a, Rasl10a, Acsbg1, Hap1, Rn7s1, Rpl22l1, Tcf7l2, Epm2aip1, Hbb-bs, Camta1, Nefh, Git1, Fbxo9, Shank2, Rnf112, Bsn, Wipf3, Agap2, Npy, Rcn2, Pcdh17, Ap1s1, Kcnf1, Scoc, Atp2b4, Prkcg, Ctxn3, 1110008P14Rik, Kcnj3, Snca, Gm6272, Nacc2, Kcnj4, Chd3os, Chrm1, Neurl1a, Unc13c, Ier5, Edil3, Mt1, Tubb5, Tprgl, Ephx4, Pdxk, Pnck, Disp2, Kif21a, Gm10126, Dnajb5, Clstn1, Il33, Mast3, Selenow, Npm1, 2210013O21Rik, Atp5j2, Ttr, Nlk, Hsh2d, Arpc5, Timp3, Lhfpl3, Fhl1, Cygb, Rab9b, Gm26461, Ppm1e, Rbfox1, Slc12a5, Dbi, Fam49a, Kcnv1, Ak5, Ccnd2, Dnm3, Oprl1, 2310022B05Rik, Sos1, Ttbk2, Zcchc18, Gabrd, RP24-91J7.1, Etnppl, Ano3, Dynll2, Fam19a1, Osbp2, Araf, Camk1d, Anks1b, Prmt2, Kcnip2, Nell2, Jph4, Cox5a, Tppp3, C2cd2l, Selenom, Paip2, Fndc5, Bcas1, Slc1a2, Aldh1a1, Ngef, Rilpl1, Mpp3, Ptn, Cdk17, Dclk1, Rpl32, Stum, Pip5k1a, Hmga1-rs1, Osbpl1a, Wdr6, Chst2, Kcnb1, Cd34, Mal2, Adgrg1, Rps11, Wsb2, Pak3, Dlg4, Kcnh3, Rab3c, Olig1, Mmp17, Bhlhe22, R3hdm4, Gm26723, Satb1, Tspan5, Pfdn2, Gm1673, Plcb4, Cbx5, Klc2, Fkbp1a, Ipcef1, Ppp1r1a, Nnat, St6galnac5, Syn2, Ctxn2, Sash1, Gm26035, Strn4, Nrcam, Macf1, Gatm, Pla2g7, Kcnmb4, Uba52, Pip5k1c, Dbn1, Rasgef1a, 9330162G02Rik, Anapc11, Coro1a, Junb, Cfl2, Sowaha, Got1, Hbb-bt, Malat1, Epop, Lrrc8b, Syt4, Bex3, Napa, Gm24447, Tecr, Ldha, Cbln2, A730017C20Rik, Fam171b, Hivep2, Pgm2l1, Nbea, Gm24265, Arhgap32, Igfbp4, Limd2, B3gat1, Kcnip3, Sirpa, Hba-a1, Klhl2, Gm15421, Abi2, Abhd17a, Tmem132a, Cabp1, Cacnb4, Mid1ip1, Vip, Sorbs2, Mapk14, Adgrb2, Cacnb3, Palm, Spock3, Gprin1, Gm23624, Sec14l1, Grik5, Prkaca, Smarcd3, Slc4a10, Crip2, Mgll, Sorl1, Inpp5f, Dusp3, Prkca, Nxph1, Tagln3, Peg13, Cbln1, Synpr, Tesc, Rapgef4, Tac1, Enpp2, Tubb2b, Gramd1b, Zic1, Plcxd2, Gnal, Lypd6b, Kcnc1, Gucy1b3, Slc38a1, Diras2, Lypd6, Inf2, Gfap, Cbln4, Lypd1, Slc32a1, Hba-a2"
"8","4","75","down","234","Nptxr, Mbp, Hpcal4, Hpcal1, Arf3, Bhlhe22, Gda, Nov, Map2, Mobp, Ywhaz, Gpm6a, Mapk1, Atp2b4, Camk2d, Slc30a3, Syn2, Plp1, Rasgef1a, Lypd1, Hap1, Mkl2, Lmo3, Ptgds, Nr2f2, Thra, Slc1a2, Negr1, Rtn1, Stum, Fkbp1a, Mink1, Ddn, Rfx3, Gap43, Ctxn1, Prnp, Acvr2a, Cadm1, Trf, Dner, Fth1, Enc1, Calm1, Snca, Rab40b, Arhgap33, Olfm1, Sorbs2, Plppr4, Ids, Mal, Cnp, Nnat, Pcdh8, Icam5, Gria2, Wasf1, Cdk5r1, Csrp1, Amph, Syt17, Ppfia2, Pea15a, Ak5, Tsc22d1, Kcnd3, Gprin1, Pde1a, Qdpr, Astn1, Morf4l2, Erc2, Nrxn1, Aplp1, Apc, Cyp46a1, C1d, Slc39a10, Apod, Sowaha, Snx10, Marcksl1, Neurl1a, Bex2, Sub1, Hpca, Agap2, Necab2, Ckb, Arpp21, Gabra2, Sept4, Marcks, Camk2a, Wfs1, Il33, Rprm, Sptbn1, Nckap1, Rasgrf2, Kctd4, Psd3, Scn1b, Pja2, Anks1b, Doc2b, Plekhb1, Gm10419, Crym, Trp53i11, Nectin1, Chn1, Rbfox2, Prkce, Tspan2, Hsbp1, Nptx1, Calb1, Bsn, Dbpht2, Cpne6, Rcan2, Usp11, Kcnf1, Cryab, Enpp2, Baiap2, Gm24447, Pgm2l1, Gm23624, Ccni, Vstm2l, Nr2f1, Gria3, Ptk2b, Cldn11, Mtpn, Chd3, Dcaf7, Luzp2, Zfp365, Ly6h, Camkv, 1700065D16Rik, Dynll1, Penk, Trrap, Cplx2, Neat1, Chl1, Map2k1, Fgf13, Psd, Timp2, Slc17a7, Rapgef4, Grm5, Cnih2, Gm26035, Fbxl16, Slc2a3, Gsn, Iqsec2, Prkar1b, Sv2b, Gucy1b3, Cobl, Caly, Mapk3, B4galt6, Rims3, Rn7s1, Ptprz1, Mog, Napb, Mtfp1, Camk2n1, Cnr1, Jph4, Chst1, Nat8l, Scrt1, Pkia, Arc, Vamp1, Fam19a1, Fam49a, Rgl1, Tacc1, Syngr3, Plppr2, Tmem88b, Unc5a, Slc1a3, Galnt16, Ctsd, Pgrmc1, Gng11, Gm26461, Inf2, Scn1a, Mag, Ndrg1, Gm15728, Fndc5, Slc12a2, Selenom, Fa2h, Sema7a, Bin1, Snrpb, Pvalb, Desi1, Pcp4l1, Rn7s2, Sgsm2, Kcnj10, Nbea, Abr, Olig1, Ugt8a, Cntn3, Nefh, Igf2, Klc2, Gatm, Cbln1, Kcnc1, Prkcd, Sparc, Ttc9b, Ttr, Agt"
"9","5","39","up","14","Plekhg1, Ramp3, Prkcd, Tnnt1, Pcp4, Rora, Ntng1, Zic1, Tcf7l2, Ptpn3, Ptpn4, Amotl1, Adarb1, Cit"
"10","5","39","down","607","Shox2, Synpo2, Lef1, Patj, Nexn, Rab37, Nsmf, Pdp1, Plcb4, Gm43398, Prkch, Nrgn, Gpr4, Slc6a11, Pcp4l1, Tmsb4x, Ccdc136, Grm1, Rgs16, Slc17a6, Nefh, F2r, Rtn1, Adra1b, Rims3, Gabra4, mt-Nd1, Pitpnc1, Eps8l2, Grm4, 1810041L15Rik, Clmn, Syt9, Olfm1, Psd, Fam20c, Sptbn1, Lrtm2, Ids, Hpcal4, Atp1a2, Cpne9, mt-Nd4, Gabrd, Adarb2, Ppp3ca, Kcnj10, Kcnc2, Sparc, Samd5, Cplx1, Nrip3, Vav3, Bok, Gbx2, Reep2, Inpp5a, Atp2a2, Nptx1, Gabbr2, Chn1, Sh3d19, Chrna4, Basp1, Shank3, Mbp, Ildr2, Gpr153, Gpm6a, Mobp, Spock2, Xylt2, Cacng5, Enc1, Slc22a17, Zfhx3, Nacc2, Zfp804a, Hcn4, Dbndd1, Rab3c, Atp6ap2, Plp1, Sash1, Tmem163, Lrrn2, Prkacb, Epb41l1, Rap1gds1, B230334C09Rik, Mapk1, Gda, Gad1, Atp1b2, Trnp1, Hlf, Rnf152, Spock3, Ldha, Cacna1g, Sipa1l1, Enho, Tusc3, Ppp3r1, Rasd1, Ldhb, Marcks, Ctxn1, Cplx2, Baiap2, Camk2n1, Serpini1, Rgs8, Gpr37l1, Fam81a, Ddn, 2010300C02Rik, Slc29a1, Tsc22d3, Atp1a1, Aplp2, Slc9a3r1, Lmo4, Atp2b4, Rpl41, Adgrf5, Rgs7bp, Slc24a2, Zmat4, Arpc5, Plekhb1, Tyro3, Sema4g, Tmem56, Rorb, Camk2a, Ahi1, Abi2, Slc1a3, Ephx4, Inpp5j, Ppp1r1a, Mpped1, Mef2c, Tesc, Nptxr, Elmo1, Rplp1, Dlgap3, Lhfp, Syn2, Selenop, Thra, Scrt1, Grin2c, Scd2, Dlg2, Rgs10, Rgs4, Hspa12a, Plcb1, Kif1a, Dkk3, Syt7, Hcn2, Pld3, Lrrc4c, Thy1, Rasgrp1, Vamp1, Rapgef4, Anxa5, Spock1, Nrxn3, Kitl, Megf9, Aldh1a1, 3110035E14Rik, Tpd52l1, Fndc5, Wfs1, Fign, Scd1, Dclk1, Zfp423, Ndrg2, Trpc3, Tbr1, Ly6h, Medag, Pnmal2, Gria2, Lynx1, Gdpd5, Mturn, AI593442, St3gal4, Tiam1, Sept8, Cdk5r1, Gm10076, Hrh3, Mmp17, Serpine2, Nov, 6330403K07Rik, S100b, Adgra1, Meg3, Map2, Vip, Pkia, 1110008P14Rik, Ppp1r16b, Slc39a10, Hdac9, Apod, Unc13c, Ptprj, Gm13216, Pak6, Kcnd2, Sel1l3, Rbms3, Arpp19, Tmem131, Rprml, Rbfox3, Rps17, Fam163b, Kcnc1, Phactr1, Jph4, Unc5a, Gpc1, Gm10073, Slc6a17, Tanc1, 1500009C09Rik, Sirpa, Npy, Ttll7, Rps21, Plk2, Cdkl5, Eef1a1, Gdf11, Cyp46a1, Foxg1, Glyr1, Junb, Ncs1, Rap1gap, Agap2, Gm26461, Timm8b, Rps18, Mboat7, Cntfr, Lmo3, Fndc4, Acsbg1, Btbd17, Sez6, Atp2b1, Cdk17, Chrm1, Eml1, Pgrmc1, Dlgap4, Ngef, Actl6b, Camk2n2, Map2k1, Etnppl, Fam19a1, Zbtb18, Ets2, Ttc9b, Sh3bp5, Eef1a2, Mkl2, Gm23624, Mpp6, Ggt7, Snca, Slc6a9, Tln2, Gm24447, Ptk2b, Thsd7a, Rpl19, Tspan7, Fam131a, Gnal, Hap1, Sowaha, Gm5453, Fbxo11, Tox2, Scn2b, Calm2, Cnksr2, Gas7, Stim2, Ntsr2, C1qtnf4, Olig1, Dpp9, Tmem181b-ps, Foxp2, Rpl37a, Mir6236, Ppp2r2b, Kcnj4, Pde1a, Timp4, Gad2, Adgrb1, 6430548M08Rik, Rps15, Gm12254, Ptn, Rasgef1a, Reep1, Homer1, Caln1, Uchl1, Slc17a7, Celf5, Lrrc17, Edil3, Efnb2, Cd47, Pitpnm2, Gm14586, Srrm2, Sept6, Neurl1a, Polr2i, Rpl31-ps17, Egr1, Cacng3, Gabbr1, Arhgef2, Efhd2, Arf3, Sst, Apbb2, Tram1, Ralyl, Ick, Eid1, Nmnat2, Setd7, Clvs1, Pla2g7, Tmem132a, Itpka, Wasf1, Mag, Ate1, Prkcb, Supt7l, Ndn, Icam5, Arl6ip1, Sorl1, Csdc2, Lrrtm4, Kcnh3, Zfp365, Nell1, Pkig, Dlg1, Nrsn1, Necab2, Necab3, Zfp385a, Gaa, Prdm8, Tmsb10, Mast3, Trf, Rpl17, Tmem50a, Atp6v1g2, Lingo1, RP24-142I9.2, Qdpr, Gabrb3, Gstm5, Bfar, Pip5k1a, Synpr, Gm14303, Arhgap44, Hmgcs1, Rpl22, Cadm1, Rcan2, Med28, S100a10, Tcf4, Rragd, Gm6272, Necap1, Wsb2, Map4, Nrsn2, Atp6v1d, Matr3, Slc4a4, Rplp2, Actr3, Adgrb2, Mkl1, Nap1l2, Ckmt1, Crip2, Gm7079, Gng13, Clstn3, Gm26035, Adrb1, Cadps2, Rasgef1b, Kctd1, Cabp1, Palm, Syp, Lamp5, Garnl3, Enah, Ogfrl1, Prelp, Gnaz, Gm24601, Ndrg1, Saraf, Bhlhe22, Kcna2, Kndc1, Cpne7, Celf4, Itm2c, Sptbn2, Rps29, Paip2, Tspyl2, Gm24265, Cdk16, Alcam, Tspan9, Plekha6, Kcnq5, Creg1, Ccnd2, Shroom2, Lypd1, Hpca, Dtd1, Rn7s1, Ak5, Rpl12, Rps27, Nfasc, Prkca, Iqsec2, Actn1, Gm15772, Kpna4, Ndufa10, Bcl11b, Gabra2, Kcnq3, Gm7536, Cux2, Plxnd1, Gm9385, Kcnv1, Rps16-ps2, Mcts1, 2810433D01Rik, Rps19-ps2, Gm7206, Noct, Kcnb1, Ryr2, Rps25-ps1, Pcx, Hpcal1, Rps23, Gm15843, Tmem178, Paqr8, Spon1, Negr1, Morf4l2, Tm2d2, Arpp21, Ano3, Rpl7, Polr1d, Adcy2, Crtc1, Nap1l1, Stx1a, Arnt2, L1cam, Phyhip, Hapln4, Gucy1a3, Slc30a3, Synpo, Mgea5, Srpk2, Ppp1r9a, Nr2f1, Sv2b, Adipor2, Kalrn, Apbb1, Gucy1b3, Slc8a2, Scamp1, Psip1, Scn2a, Rpl13, Syt5, Serp2, Marcksl1, Surf1, Dst, Vstm2a, Mib1, Lrp11, Wipf3, Capza2, Tmem30a, Cnr1, Arpc2, Ccl27a, Abca2, Vstm2l, Chd3os, Zeb2, Abat, Mat2b, Ier5, Cox7a2l, Slc27a4, Tbc1d30, Tac1, Scn8a, Reln, Mmd, Dynll1, Rasgrf2, Ipcef1, Tef, Kcnc4, Nfib, Zfp445, Ash1l, Slc7a14, Trp53i11, Synj1, Ndufb6, Matk, Phyhipl, Snx10, Ei24, Inf2, Klhl2, Nap1l5, mt-Nd6, Neurod2, Atp8a1, Pygb, Fam63b, Podxl2, Arc, Eloc, Fbxl16, Arf4, Gabrg2, Mical2, Mgst3, Zranb1, Tma7, Npdc1, Rfx3, Gdap1, Ndufa6, Ubl5, Neurod6, Hs3st4, Rcn2, Psma7, Stum, Kcnip2, Crym, Itpr1, Hcn1, Fxyd6, Rps16"
