,cluster,#genes,genes
0,5,49,"IGKC, IGKV1-12, CCL3, CCL4, FXYD2, WFDC2, FXYD6-FXYD2, CCL4L2, HSPA1A, TNFRSF18, DUSP2, ATP1B1, PHLDA1, MACROD2, RGS2, CXCR4, ASB2, JUN, FAM46A, S100A11, SERPINB1, KLK1, TSC22D3, SLAMF1, HNF1B, LRRK2, MYO6, EPS8, FAM107B, LAG3, CTA-293F17.1, SESN2, PTPN7, CXXC5, PDE4A, FAM129A, VDR, RUNX1, GALM, SPG20, KCNN3, TMEM173, BTN2A2, SYTL3, MAPK13, TUBG2, DNAJB2, MEX3C, AAED1"
1,3,101,"CCL22, CXCL8, UBD, CCL17, IL32, CRIP1, RARRES2, IER3, CYP1B1, LMNA, MARCKSL1, NFKBIA, FSCN1, RGS16, DUSP4, CKB, TUBB2B, ID2, JUNB, TNFSF4, CRYM, INSIG1, FSTL3, TVP23A, ATF3, PLA2G16, LGALS3, TNFAIP2, CSF1, MKNK2, TUBB2A, SOX9, C10orf10, ICAM1, RAB38, CETP, PIM3, TIGIT, NCF2, RHOV, GADD45B, TNFRSF12A, RASSF4, LINC01588, LINC00158, SHF, BCL2L1, NFKB2, NTRK2, GPX4, SQLE, UNQ6494, HMGCS1, NAMPT, DDB2, IDI1, GBE1, TLCD1, SIRPA, GNA15, PLAUR, TRIP10, KCNK1, MREG, CTTN, ABCA6, LACTB, MFSD2A, MACC1, CD58, ZNF267, KCNN4, RDX, WSB1, CERS4, BSG, HIVEP1, CDK6, BLVRA, HMGCR, ZBTB21, NOP14-AS1, TJP2, C4orf32, PRRG4, RARG, ASMTL, CYLD, CHDH, FYTTD1, GATA3, FBXO6, RTTN, CPNE8, DENND3, BRI3, E2F7, CHKA, MBOAT2, SLC20A1, DNAJB6"
2,7,42,"IGLC3, IGHA2, HRASLS2, LAX1, ITGA4, GPR160, ZBP1, GPR155, ISG20, ANKRD28, RP4-583P15.15, AC006129.2, FAM92B, LMO4, PABPC4, RP11-1070N10.3, CEBPB, FAM214A, RP11-279O9.4, C4orf36, SPCS1, RPP25, E2F5, KIAA0040, PELI1, DEF8, PALM2-AKAP2, FAM69A, KLF13, RAPGEF5, CCDC112, APLP2, SLC15A2, OXR1, ENTPD4, XXbac-BPG299F13.17, ARSG, PIK3CD-AS2, C19orf38, PRSS16, TPT1-AS1, LAMC1"
3,9,37,"JCHAIN, IGHA1, IGLC7, IGLV2-23, IFI6, PIM2, CITED2, TNFRSF17, CCPG1, CHAC1, CD38, ABCB9, KCNK6, RNF103, TNFSF10, IGHV3-11, MIR22HG, SSR3, C10orf54, CREB3L2, IGHV3-21, KLF10, ZBTB38, FAM3C, EDEM3, CASP10, DST, IGLC5, EIF2AK3, SLC38A2, ARSA, UTP3, RNF149, ACP2, SELPLG, XRN1, IFIT5"
4,13,30,"CCL3L3, RGS1, IGHD, RSPH1, TNFRSF4, LAD1, KRT7, SSTR2, ALDOC, TNFAIP3, BHLHE40, GBP4, NFKBIE, NINJ1, NCF1, PILRA, SNX9, WDR91, TNFSF13B, RP11-138A9.2, CD80, CD274, ARID5A, CRYZ, TCF7, TCTN1, DRAM1, AC058791.1, RILP, ZBTB43"
5,1,149,"HIST1H4C, HIST1H2BJ, UBE2C, TUBA1B, HMGB2, RRM2, MKI67, HIST1H1D, TOP2A, UBE2S, TUBB, CDC20, CCNB1, FTL, H2AFZ, CENPF, PCNA, HIST1H1B, NUSAP1, PLK1, HIST1H1E, CKS1B, PIF1, CKS2, PHGDH, TUBB4B, CDK1, CENPA, HIST1H2AI, KPNA2, HMMR, BIRC5, CCNB2, TPX2, AURKA, MGST1, DUT, ZWINT, H2AFX, ASPM, HMGB1, HMX2, SLBP, AURKB, KIF20B, FEN1, GTSE1, DLGAP5, SMC4, CDKN3, ASF1B, CCNA2, APOBEC3A, SRM, CENPM, TMPO, CENPE, PHF19, EIF4EBP1, POLE, DTYMK, CDCA4, CDCA3, DNAJC9, ATAD2, CDCA8, USP1, MAD2L1, MYBL2, UBE2T, HIST2H2AC, CDCA5, SMC2, FBXO5, AC004381.6, GMNN, TMEM106C, BUB1, E2F8, CENPU, SPC25, YWHAH, MPC2, TACC3, HMGB3, DHFR, CARHSP1, HJURP, CDC6, NUF2, ESCO2, TCF19, SIVA1, CTNNAL1, KIF2C, PRC1, PGP, MSH6, STRA13, NEK2, CEP55, DDX39A, HIST1H2AH, NDC80, ARHGAP11A, SGOL2, FAM64A, CDC45, KIFC1, HIST1H2AM, CCDC167, CYCS, GGH, SMC1A, BTG3, DEPDC1, GLA, DTL, KIF22, PRR11, CKAP2, KIF14, CRNDE, PBK, KIF23, TUBG1, RNASEH2A, RFC4, ATAD5, NCAPG, SHCBP1, EIF4A3, SGOL1, BRCA1, FAM72D, CCNF, RRM1, DIAPH3, TRIP13, BUB3, RAD21, PKMYT1, PSMC3IP, KIF11, ARHGAP11B, H2AFV, BARD1, EXOSC8, LBR"
6,11,30,"IGLC2, IGLL5, IGKV4-1, DNAJB9, SSR4, ITM2C, APOL1, EAF2, BEX5, RABAC1, IGLC6, UBE2J1, GLCCI1, CKAP4, PLPP5, FNDC3B, IL10RA, MANEA, ERC1, CHST12, NDFIP1, CDKN1B, SGK3, HYI, ACBD3, ZNF841, CLIP4, SND1-IT1, HIPK2, PRDM15"
7,16,23,"CH507-513H4.1, HIST1H2BC, HIST1H2AC, P4HA1, TSPAN12, HIST1H3D, HIST1H2BD, HOXB2, QPRT, HNRNPLL, MGST3, HIST1H2BG, TMEM45A, KCNQ1OT1, MDM2, CD63, LRIF1, SLC7A11, ANKRD36B, CD59, GAS2, CRYL1, ERO1B"
8,12,30,"CD83, TNF, SOCS1, OSTN-AS1, MIR3681HG, LST1, FYN, FAS, DOK1, SEMA7A, IL21R, PLEKHO1, MFSD10, MCOLN2, DMD, TFEB, SH3BP5, ITGB2-AS1, ICA1, TCEAL4, RP11-138A9.1, PBX3, ICOSLG, PAG1, ZNF318, PDLIM7, AP1S3, RMI2, RARA, HIVEP3"
9,6,47,"TXNIP, EVI2B, ITM2B, AC074289.1, SEL1L3, C16orf54, CD27, GNG7, RNASE6, RNASET2, CPNE5, CTD-2370N5.3, CMPK2, IFNG-AS1, RNGTT, TP53INP1, METTL7A, DDAH2, BTLA, NT5C3A, MBD4, OAS1, DGKD, ST6GAL1, RUFY3, RCBTB2, CRACR2B, RP11-514O12.4, PCMTD1, NCOA3, FLJ20021, TRANK1, ICAM4, ZNF296, NABP1, PTPN22, IFI44, CEACAM21, MXD4, C15orf57, LTBP4, ZCCHC6, NR1D2, AC007246.3, USP11, BISPR, MCL1"
