,cluster,#genes,genes
0,1,268,"Gene7350, Gene7754, Gene8000, Gene2566, Gene4931, Gene6858, Gene8360, Gene6695, Gene2854, Gene8789, Gene2747, Gene4759, Gene661, Gene7876, Gene2304, Gene7893, Gene5929, Gene9483, Gene4984, Gene2928, Gene4093, Gene7232, Gene8141, Gene4993, Gene9777, Gene2790, Gene6862, Gene2397, Gene3001, Gene644, Gene5015, Gene8291, Gene4149, Gene4118, Gene1663, Gene9074, Gene8471, Gene8954, Gene1176, Gene4299, Gene1380, Gene6292, Gene891, Gene5808, Gene9217, Gene1214, Gene1682, Gene958, Gene1542, Gene2906, Gene3519, Gene1742, Gene6286, Gene6769, Gene7712, Gene3969, Gene5110, Gene6958, Gene9619, Gene2284, Gene8290, Gene4896, Gene6287, Gene1284, Gene6007, Gene4110, Gene1266, Gene700, Gene1084, Gene8445, Gene8358, Gene9096, Gene5415, Gene8806, Gene351, Gene3671, Gene7670, Gene1804, Gene8376, Gene7506, Gene1834, Gene5510, Gene9615, Gene9971, Gene4364, Gene6139, Gene235, Gene9180, Gene7932, Gene4539, Gene1883, Gene2068, Gene2591, Gene2042, Gene3274, Gene8155, Gene919, Gene4721, Gene6748, Gene4372, Gene1304, Gene4547, Gene2391, Gene5301, Gene2775, Gene4231, Gene602, Gene6773, Gene5538, Gene3461, Gene7983, Gene9316, Gene9934, Gene3809, Gene4866, Gene1091, Gene6781, Gene3514, Gene8802, Gene6704, Gene7404, Gene3521, Gene6576, Gene3742, Gene3757, Gene495, Gene3103, Gene3016, Gene3913, Gene7466, Gene5551, Gene1487, Gene2595, Gene6144, Gene888, Gene2569, Gene886, Gene2404, Gene3429, Gene9357, Gene9435, Gene5554, Gene3314, Gene8731, Gene3407, Gene9351, Gene8462, Gene5237, Gene3517, Gene7598, Gene7635, Gene1708, Gene4389, Gene7870, Gene633, Gene8831, Gene5816, Gene752, Gene2512, Gene9779, Gene5723, Gene7521, Gene2823, Gene7163, Gene9981, Gene4731, Gene9099, Gene1382, Gene2282, Gene7519, Gene6308, Gene9874, Gene4391, Gene3083, Gene2325, Gene4941, Gene9670, Gene2528, Gene6783, Gene4795, Gene1680, Gene8826, Gene8613, Gene8566, Gene8029, Gene4502, Gene7963, Gene2239, Gene8712, Gene4666, Gene1985, Gene2099, Gene4054, Gene8734, Gene1791, Gene2060, Gene2963, Gene7801, Gene3672, Gene7590, Gene7818, Gene5574, Gene1292, Gene9294, Gene4589, Gene5945, Gene900, Gene7207, Gene3799, Gene9018, Gene8023, Gene4815, Gene4997, Gene510, Gene7941, Gene5245, Gene3447, Gene457, Gene601, Gene3216, Gene862, Gene7588, Gene7200, Gene5984, Gene7822, Gene9787, Gene5268, Gene5625, Gene8671, Gene5481, Gene5440, Gene525, Gene3057, Gene7374, Gene7276, Gene7736, Gene9820, Gene489, Gene7900, Gene4257, Gene4123, Gene4565, Gene4510, Gene5658, Gene9685, Gene1216, Gene6553, Gene5646, Gene9524, Gene7024, Gene5196, Gene1945, Gene2165, Gene9887, Gene7059, Gene5420, Gene3904, Gene2470, Gene6994, Gene5344, Gene613, Gene7119, Gene6037, Gene2143, Gene7817, Gene7914, Gene4318, Gene3747"
1,3,122,"Gene7124, Gene9617, Gene7878, Gene6163, Gene9898, Gene1168, Gene5448, Gene9977, Gene1512, Gene9221, Gene1350, Gene120, Gene6393, Gene5372, Gene5101, Gene166, Gene1665, Gene3267, Gene2483, Gene7014, Gene6794, Gene8626, Gene5152, Gene2667, Gene3165, Gene3600, Gene7869, Gene6699, Gene9638, Gene1468, Gene4443, Gene8065, Gene3695, Gene4806, Gene3688, Gene2513, Gene439, Gene7041, Gene2929, Gene2706, Gene6345, Gene7081, Gene2923, Gene4033, Gene976, Gene7061, Gene9462, Gene8314, Gene7936, Gene5519, Gene1489, Gene8890, Gene9081, Gene9936, Gene9185, Gene9043, Gene1550, Gene6689, Gene6967, Gene5076, Gene3067, Gene3980, Gene7479, Gene8152, Gene8198, Gene7488, Gene5471, Gene9341, Gene292, Gene7480, Gene5375, Gene5458, Gene3729, Gene7130, Gene8637, Gene21, Gene4320, Gene6276, Gene3290, Gene925, Gene889, Gene2213, Gene185, Gene809, Gene6385, Gene287, Gene8674, Gene672, Gene8592, Gene5680, Gene6411, Gene6019, Gene2515, Gene3875, Gene82, Gene2098, Gene8430, Gene8278, Gene8694, Gene1209, Gene2484, Gene9595, Gene2294, Gene5282, Gene8017, Gene9404, Gene1630, Gene6504, Gene4076, Gene908, Gene5234, Gene4585, Gene3680, Gene5121, Gene7827, Gene1020, Gene4476, Gene5562, Gene1244, Gene570, Gene49, Gene262"
2,10,52,"Gene8128, Gene7344, Gene7269, Gene8702, Gene2989, Gene5253, Gene5209, Gene5164, Gene7703, Gene2746, Gene2972, Gene5943, Gene9145, Gene5833, Gene116, Gene2368, Gene6034, Gene3798, Gene7372, Gene3869, Gene6563, Gene5381, Gene4084, Gene2568, Gene8819, Gene53, Gene6810, Gene3028, Gene8739, Gene1679, Gene2029, Gene2420, Gene6647, Gene8059, Gene7896, Gene8226, Gene5860, Gene8164, Gene2949, Gene8804, Gene334, Gene1187, Gene8172, Gene1165, Gene1494, Gene2616, Gene9749, Gene6333, Gene1261, Gene5541, Gene5459, Gene696"
3,6,50,"Gene1715, Gene2727, Gene5690, Gene189, Gene589, Gene226, Gene1188, Gene2993, Gene3138, Gene7267, Gene180, Gene5333, Gene5350, Gene1264, Gene1686, Gene9139, Gene7317, Gene3006, Gene8204, Gene8622, Gene715, Gene7984, Gene5408, Gene151, Gene4154, Gene2488, Gene2496, Gene7465, Gene3970, Gene9301, Gene1150, Gene9207, Gene9995, Gene2713, Gene3123, Gene8260, Gene5970, Gene8296, Gene9006, Gene1797, Gene655, Gene4291, Gene4828, Gene148, Gene518, Gene9261, Gene6234, Gene5901, Gene5921, Gene4387"
4,2,187,"Gene5540, Gene8154, Gene7865, Gene9563, Gene1612, Gene6868, Gene7839, Gene4141, Gene1710, Gene7973, Gene2535, Gene5698, Gene4071, Gene2125, Gene2927, Gene7206, Gene8764, Gene630, Gene3565, Gene1435, Gene1618, Gene1636, Gene3894, Gene1095, Gene370, Gene6871, Gene6877, Gene7661, Gene1869, Gene6998, Gene3864, Gene9184, Gene3054, Gene513, Gene6151, Gene9829, Gene8176, Gene222, Gene4292, Gene1366, Gene8012, Gene7862, Gene5480, Gene1830, Gene4464, Gene9944, Gene2889, Gene5412, Gene1678, Gene2308, Gene4370, Gene8476, Gene7672, Gene8596, Gene6159, Gene4356, Gene7873, Gene7016, Gene5161, Gene8123, Gene2578, Gene2605, Gene1055, Gene4787, Gene7722, Gene6201, Gene9703, Gene4625, Gene5041, Gene7884, Gene6798, Gene2237, Gene9114, Gene7548, Gene3819, Gene145, Gene4373, Gene7008, Gene8945, Gene6022, Gene4341, Gene9985, Gene5258, Gene5067, Gene1486, Gene1976, Gene7523, Gene527, Gene6302, Gene245, Gene6735, Gene599, Gene4634, Gene6549, Gene7828, Gene8663, Gene4182, Gene530, Gene5397, Gene7721, Gene1153, Gene385, Gene3974, Gene9761, Gene5913, Gene13, Gene5878, Gene9575, Gene1781, Gene9797, Gene7739, Gene5044, Gene9708, Gene1539, Gene3412, Gene7174, Gene9102, Gene7879, Gene984, Gene4845, Gene3935, Gene2112, Gene3658, Gene2524, Gene9861, Gene558, Gene2442, Gene2292, Gene7513, Gene34, Gene5127, Gene1334, Gene113, Gene3090, Gene5840, Gene3701, Gene7700, Gene3240, Gene8815, Gene8330, Gene6731, Gene3529, Gene9211, Gene9757, Gene8668, Gene7557, Gene9953, Gene2635, Gene3204, Gene1098, Gene3373, Gene4505, Gene4733, Gene5475, Gene6600, Gene2689, Gene9952, Gene758, Gene6925, Gene5403, Gene2129, Gene5122, Gene8600, Gene4172, Gene7547, Gene3262, Gene7599, Gene5957, Gene5987, Gene6768, Gene4179, Gene8519, Gene6758, Gene5831, Gene36, Gene2459, Gene3715, Gene5, Gene6519, Gene465, Gene8011, Gene371, Gene1580, Gene1161, Gene5460, Gene3124, Gene2101"
5,7,45,"Gene1399, Gene7220, Gene9406, Gene6023, Gene9165, Gene3740, Gene9012, Gene8964, Gene6006, Gene7727, Gene5950, Gene8325, Gene3044, Gene5254, Gene3613, Gene1367, Gene8161, Gene9700, Gene1951, Gene8946, Gene2918, Gene5820, Gene4014, Gene8397, Gene3694, Gene4482, Gene988, Gene4497, Gene5027, Gene5763, Gene2377, Gene9906, Gene8568, Gene9337, Gene618, Gene3563, Gene7212, Gene5202, Gene4948, Gene839, Gene9643, Gene2453, Gene5961, Gene5074, Gene5862"
6,12,33,"Gene6421, Gene7610, Gene3279, Gene8537, Gene5879, Gene5906, Gene9789, Gene4114, Gene8132, Gene3010, Gene9723, Gene8542, Gene6972, Gene9730, Gene3782, Gene3860, Gene3899, Gene4128, Gene2196, Gene6301, Gene2109, Gene5230, Gene873, Gene3474, Gene1253, Gene7962, Gene8955, Gene357, Gene6285, Gene8437, Gene592, Gene8156, Gene7357"
7,4,110,"Gene604, Gene209, Gene4163, Gene5430, Gene7593, Gene4045, Gene1100, Gene2507, Gene6613, Gene1442, Gene798, Gene6565, Gene492, Gene8308, Gene9688, Gene2290, Gene9120, Gene559, Gene3786, Gene4631, Gene6117, Gene3902, Gene9785, Gene4017, Gene9445, Gene8464, Gene1112, Gene5454, Gene6809, Gene2559, Gene7453, Gene1243, Gene8395, Gene2019, Gene2508, Gene8313, Gene8469, Gene7241, Gene6960, Gene3149, Gene2288, Gene7910, Gene5479, Gene6282, Gene1577, Gene4311, Gene437, Gene2538, Gene3573, Gene2606, Gene4066, Gene8273, Gene2617, Gene4491, Gene854, Gene9033, Gene8701, Gene1811, Gene5743, Gene4281, Gene27, Gene3281, Gene4019, Gene8860, Gene6627, Gene6274, Gene6084, Gene3723, Gene2964, Gene7474, Gene5839, Gene8744, Gene7992, Gene9538, Gene6772, Gene4613, Gene3442, Gene902, Gene2309, Gene5770, Gene7180, Gene5993, Gene2204, Gene9320, Gene9974, Gene5600, Gene1694, Gene6636, Gene5934, Gene6984, Gene4780, Gene543, Gene3775, Gene5877, Gene1645, Gene6865, Gene828, Gene3498, Gene453, Gene4726, Gene1594, Gene8118, Gene5682, Gene4457, Gene4253, Gene3765, Gene7543, Gene6222, Gene2435, Gene9794"
8,9,41,"Gene121, Gene9560, Gene4588, Gene332, Gene9289, Gene2596, Gene6392, Gene1070, Gene4709, Gene7102, Gene8574, Gene7408, Gene8768, Gene1511, Gene483, Gene4986, Gene6898, Gene3675, Gene1998, Gene8607, Gene5057, Gene1497, Gene108, Gene9967, Gene9293, Gene8791, Gene7624, Gene4956, Gene649, Gene8024, Gene9926, Gene6028, Gene5439, Gene4725, Gene7545, Gene3936, Gene8205, Gene4002, Gene7999, Gene689, Gene4737"
9,13,32,"Gene8857, Gene2241, Gene8263, Gene6122, Gene7202, Gene4444, Gene7623, Gene9049, Gene7451, Gene6586, Gene6270, Gene3106, Gene5140, Gene2853, Gene6354, Gene7669, Gene1949, Gene9091, Gene7751, Gene9201, Gene6371, Gene73, Gene8653, Gene6428, Gene284, Gene3077, Gene8947, Gene5518, Gene1962, Gene2898, Gene1335, Gene6720"
