,cluster,#genes,genes
0,1,274,"Gene7350, Gene7754, Gene8000, Gene2566, Gene4931, Gene6858, Gene8360, Gene6695, Gene2854, Gene8789, Gene2747, Gene4759, Gene661, Gene7876, Gene4798, Gene2304, Gene7893, Gene5929, Gene9483, Gene4984, Gene2928, Gene4093, Gene7232, Gene8141, Gene4993, Gene9777, Gene2790, Gene6862, Gene2397, Gene3001, Gene644, Gene5015, Gene8291, Gene6178, Gene4149, Gene4118, Gene1663, Gene9074, Gene8471, Gene8954, Gene1176, Gene4299, Gene1380, Gene6292, Gene891, Gene5808, Gene9217, Gene1214, Gene1682, Gene958, Gene1542, Gene2906, Gene3519, Gene1742, Gene6286, Gene6769, Gene7712, Gene3969, Gene6958, Gene9619, Gene2284, Gene8290, Gene6287, Gene1284, Gene6007, Gene4110, Gene1266, Gene700, Gene1084, Gene8445, Gene8358, Gene9096, Gene5415, Gene8806, Gene351, Gene3671, Gene7670, Gene1804, Gene8376, Gene7506, Gene1834, Gene5510, Gene9615, Gene9971, Gene4364, Gene6139, Gene235, Gene9180, Gene7932, Gene4402, Gene4539, Gene1883, Gene2068, Gene2591, Gene2042, Gene3274, Gene8155, Gene919, Gene4721, Gene6748, Gene4404, Gene4372, Gene1304, Gene4547, Gene2391, Gene5301, Gene2775, Gene4231, Gene602, Gene6773, Gene5538, Gene3461, Gene7983, Gene9316, Gene9934, Gene3809, Gene4866, Gene1091, Gene6781, Gene3514, Gene8802, Gene6704, Gene7404, Gene3521, Gene6576, Gene3742, Gene3757, Gene495, Gene3103, Gene3016, Gene3913, Gene7410, Gene7466, Gene5551, Gene1487, Gene2595, Gene6144, Gene888, Gene2569, Gene886, Gene2404, Gene3429, Gene9357, Gene9435, Gene5554, Gene3314, Gene8731, Gene3407, Gene9351, Gene8462, Gene5237, Gene3517, Gene7598, Gene7635, Gene1708, Gene4389, Gene7870, Gene633, Gene8831, Gene5816, Gene752, Gene2512, Gene9779, Gene5723, Gene7521, Gene2823, Gene7163, Gene9981, Gene4731, Gene9099, Gene1382, Gene2282, Gene7519, Gene9874, Gene4391, Gene3083, Gene4038, Gene2325, Gene4941, Gene9670, Gene2528, Gene6783, Gene4795, Gene1680, Gene8826, Gene8613, Gene8566, Gene668, Gene8029, Gene4502, Gene7963, Gene2239, Gene8712, Gene4666, Gene1985, Gene2099, Gene4054, Gene8734, Gene1791, Gene2060, Gene2963, Gene7801, Gene3672, Gene7590, Gene7818, Gene5574, Gene1292, Gene9294, Gene5945, Gene900, Gene7207, Gene3799, Gene9018, Gene8023, Gene4815, Gene4997, Gene510, Gene7941, Gene5245, Gene3447, Gene457, Gene3216, Gene862, Gene7588, Gene7200, Gene9123, Gene5984, Gene7822, Gene9787, Gene5625, Gene8671, Gene5481, Gene5440, Gene525, Gene3057, Gene7374, Gene7276, Gene7736, Gene9820, Gene489, Gene7900, Gene4257, Gene4123, Gene4565, Gene4510, Gene2537, Gene5658, Gene288, Gene9685, Gene1216, Gene6553, Gene5646, Gene9524, Gene7024, Gene9662, Gene7938, Gene5196, Gene1945, Gene2165, Gene9887, Gene7059, Gene5420, Gene3904, Gene2470, Gene6994, Gene5344, Gene613, Gene7119, Gene6037, Gene2143, Gene7817, Gene7914, Gene4318, Gene3747"
1,3,104,"Gene7124, Gene9617, Gene7878, Gene9898, Gene1168, Gene5448, Gene9977, Gene1512, Gene9221, Gene1350, Gene1829, Gene6393, Gene5372, Gene166, Gene1665, Gene2483, Gene7014, Gene6794, Gene8626, Gene5152, Gene2667, Gene3165, Gene3600, Gene7869, Gene9638, Gene6882, Gene4443, Gene8065, Gene4806, Gene2513, Gene7041, Gene2929, Gene7081, Gene4033, Gene976, Gene7061, Gene9462, Gene8314, Gene7936, Gene5519, Gene1489, Gene8890, Gene9936, Gene9185, Gene9043, Gene1550, Gene6967, Gene5076, Gene3067, Gene7479, Gene8152, Gene7488, Gene5471, Gene9341, Gene292, Gene5375, Gene5458, Gene3729, Gene7130, Gene8637, Gene21, Gene6276, Gene3290, Gene925, Gene8876, Gene185, Gene809, Gene569, Gene287, Gene9812, Gene8674, Gene2252, Gene672, Gene8592, Gene5680, Gene6411, Gene2515, Gene3875, Gene2098, Gene8430, Gene8278, Gene8694, Gene5282, Gene8017, Gene9404, Gene1630, Gene163, Gene6165, Gene6504, Gene5801, Gene4076, Gene908, Gene5234, Gene4585, Gene3680, Gene5121, Gene7827, Gene625, Gene5562, Gene4063, Gene1244, Gene570, Gene49, Gene262"
2,16,29,"Gene8128, Gene7269, Gene8702, Gene5209, Gene7703, Gene2972, Gene9145, Gene5833, Gene2368, Gene6034, Gene3798, Gene7372, Gene3869, Gene2568, Gene6810, Gene8739, Gene1679, Gene2420, Gene6647, Gene8059, Gene7896, Gene2949, Gene334, Gene1187, Gene1165, Gene1494, Gene2616, Gene6333, Gene5459"
3,2,177,"Gene5540, Gene8154, Gene7865, Gene9563, Gene1612, Gene6868, Gene7839, Gene4141, Gene1710, Gene7973, Gene2535, Gene5698, Gene4071, Gene7344, Gene2125, Gene2927, Gene7206, Gene8764, Gene630, Gene3565, Gene5253, Gene1435, Gene1618, Gene5164, Gene1636, Gene3894, Gene1095, Gene2746, Gene370, Gene6871, Gene6877, Gene7661, Gene1869, Gene5943, Gene6998, Gene3864, Gene9184, Gene3054, Gene116, Gene6151, Gene9829, Gene8176, Gene222, Gene4292, Gene1366, Gene8012, Gene7862, Gene5480, Gene1830, Gene4464, Gene9944, Gene2889, Gene5412, Gene1678, Gene6563, Gene8476, Gene7672, Gene8596, Gene6159, Gene4356, Gene7873, Gene7016, Gene5161, Gene3028, Gene8123, Gene2578, Gene2605, Gene1055, Gene4787, Gene7722, Gene6201, Gene4625, Gene5041, Gene7884, Gene6798, Gene2237, Gene9114, Gene7548, Gene3819, Gene145, Gene4373, Gene8945, Gene6022, Gene4341, Gene9985, Gene5258, Gene5067, Gene1486, Gene1976, Gene7523, Gene527, Gene6302, Gene245, Gene6735, Gene599, Gene4634, Gene6549, Gene7828, Gene8663, Gene4182, Gene5860, Gene530, Gene5397, Gene7721, Gene8164, Gene385, Gene3974, Gene9761, Gene13, Gene9575, Gene1781, Gene9797, Gene8804, Gene7739, Gene5044, Gene9708, Gene8172, Gene1539, Gene3412, Gene7174, Gene9102, Gene7879, Gene984, Gene4845, Gene3935, Gene3658, Gene2524, Gene9861, Gene2292, Gene7513, Gene34, Gene5127, Gene1334, Gene3090, Gene3701, Gene7700, Gene3240, Gene8815, Gene8330, Gene6731, Gene3529, Gene8668, Gene7557, Gene9953, Gene2635, Gene3204, Gene1098, Gene3373, Gene4505, Gene4733, Gene5475, Gene6600, Gene2689, Gene9952, Gene758, Gene6925, Gene5403, Gene2129, Gene8600, Gene7547, Gene3262, Gene7599, Gene5957, Gene5987, Gene6768, Gene4179, Gene8519, Gene5831, Gene36, Gene2459, Gene5, Gene6519, Gene371, Gene1161, Gene5460, Gene3124, Gene2101"
4,8,43,"Gene1399, Gene7220, Gene9406, Gene9165, Gene3740, Gene9012, Gene8964, Gene6006, Gene7727, Gene5950, Gene9800, Gene8325, Gene3044, Gene5254, Gene3613, Gene1367, Gene8161, Gene1951, Gene8946, Gene2918, Gene5820, Gene4014, Gene8397, Gene4482, Gene988, Gene4497, Gene5027, Gene2377, Gene9906, Gene8568, Gene9337, Gene618, Gene3563, Gene7212, Gene5202, Gene4948, Gene839, Gene9643, Gene2453, Gene5961, Gene1375, Gene5074, Gene5862"
5,9,43,"Gene6421, Gene7610, Gene3981, Gene8816, Gene2161, Gene7342, Gene5879, Gene5906, Gene9789, Gene4896, Gene7824, Gene4114, Gene5709, Gene3010, Gene8542, Gene6972, Gene6663, Gene3782, Gene3860, Gene3899, Gene4504, Gene2196, Gene2109, Gene5230, Gene873, Gene7785, Gene3051, Gene6138, Gene7497, Gene7962, Gene1977, Gene8955, Gene5560, Gene8201, Gene5208, Gene5657, Gene5268, Gene3534, Gene6285, Gene8437, Gene592, Gene8156, Gene7357"
6,4,103,"Gene604, Gene4163, Gene5430, Gene7593, Gene4045, Gene1100, Gene2507, Gene6613, Gene1442, Gene798, Gene6565, Gene492, Gene8308, Gene9688, Gene2290, Gene9120, Gene559, Gene3786, Gene4631, Gene6117, Gene3902, Gene9785, Gene4017, Gene9445, Gene8464, Gene1112, Gene5454, Gene6809, Gene2559, Gene7453, Gene1243, Gene8395, Gene2019, Gene2508, Gene8313, Gene8469, Gene7241, Gene6960, Gene3149, Gene2288, Gene7910, Gene5479, Gene6282, Gene1577, Gene4311, Gene437, Gene3573, Gene2617, Gene4491, Gene854, Gene9033, Gene8701, Gene1811, Gene5743, Gene4281, Gene27, Gene3281, Gene4019, Gene8860, Gene6627, Gene6274, Gene6084, Gene3723, Gene2964, Gene5839, Gene8744, Gene7992, Gene9538, Gene6772, Gene4613, Gene3442, Gene902, Gene2309, Gene5770, Gene7180, Gene5993, Gene2204, Gene9320, Gene9974, Gene5600, Gene6636, Gene5934, Gene6984, Gene4780, Gene543, Gene3775, Gene5877, Gene1645, Gene6865, Gene828, Gene3498, Gene453, Gene4726, Gene1594, Gene8118, Gene5682, Gene4457, Gene4253, Gene3765, Gene7543, Gene6222, Gene2435, Gene9794"
7,12,31,"Gene209, Gene7906, Gene2974, Gene4805, Gene6023, Gene2104, Gene5396, Gene1843, Gene266, Gene1981, Gene5846, Gene7399, Gene4580, Gene2779, Gene2606, Gene5507, Gene4066, Gene1622, Gene8879, Gene8692, Gene3694, Gene7663, Gene3599, Gene8332, Gene9774, Gene2473, Gene7419, Gene695, Gene8234, Gene7989, Gene3616"
8,14,26,"Gene2727, Gene189, Gene589, Gene226, Gene1188, Gene7267, Gene5333, Gene5350, Gene1264, Gene9139, Gene8622, Gene715, Gene7984, Gene5408, Gene4154, Gene2488, Gene1150, Gene9207, Gene9995, Gene3123, Gene8260, Gene8296, Gene9261, Gene5901, Gene5921, Gene4387"
9,7,60,"Gene2182, Gene5992, Gene5690, Gene2653, Gene9424, Gene685, Gene254, Gene6088, Gene7659, Gene632, Gene4889, Gene2993, Gene3268, Gene3138, Gene3169, Gene6275, Gene1686, Gene3006, Gene8139, Gene529, Gene794, Gene4925, Gene8204, Gene6435, Gene8556, Gene137, Gene151, Gene7465, Gene1938, Gene3970, Gene7341, Gene9301, Gene7136, Gene248, Gene6261, Gene2713, Gene8650, Gene6831, Gene5970, Gene8992, Gene4083, Gene9006, Gene1797, Gene9640, Gene655, Gene6232, Gene4291, Gene2883, Gene4828, Gene9750, Gene148, Gene4134, Gene518, Gene4602, Gene1819, Gene6234, Gene1303, Gene6834, Gene7022, Gene8251"
