"cluster","cell_cluster","#cells","up_or_down","#genes","genes"
"1","0","245","down","178","Ppp3ca, mt-Atp8, Camk2n1, Olfm1, mt-Tm, Gm13339, Malat1, Cpe, Atp2b1, mt-Co3, Calm1, mt-Nd6, Eid1, Syt1, Apoe, Nrgn, Tmsb4x, Mal2, Ppp3r1, mt-Tv, Clu, Mt1, Camk2a, App, Aplp1, Tspan13, Rps15, Ywhab, Nrn1, Ndfip1, Gabra1, Rps8, 1700020I14Rik, mt-Tl1, Pcsk1n, Gm37108, Sparcl1, Aldoc, Sgip1, Ncald, Syt11, Mt2, Arpc5, Neurod6, Lmo4, Ccni, Tmem30a, Mif, Atp1a2, Gm10736, Gm11410, Nme7, Hpca, Cacnb4, mt-Tn, Baiap2, Gabrb3, Rbfox1, mt-Ta, Chn1, Ppp3cb, Dkk3, Actr3, Ptk2b, Abhd12, Scd2, Arpc2, Khdrbs3, Slc6a11, Gstm1, Uba52, Mef2c, Rasgrp1, Cap1, mt-Tl2, Lamp5, Zfp365, Homer1, Ntm, Dbi, Tcf4, mt-Ti, Ptpn4, Vip, Ndufa3, Anks1b, Rpl31-ps12, Scn1b, Cap2, AI593442, Srrm2, Ndrg3, Lingo1, Stxbp1, Adcy1, Sptbn1, Hnrnpa0, 2010107E04Rik, Brinp1, Acsbg1, Kif1a, 2010300C02Rik, Dock4, Hivep2, Fam131a, Atp6v1a, Gm7027, Osbpl1a, Epha4, Gm11353, Rps16, Ndrg2, Arpp21, Gm20721, Zeb2, Ppp2r2c, Eno1, Id2, Cadm2, Elmod1, Scn1a, Sv2a, Nefm, Zdhhc2, Nr3c2, Rock2, Nsg2, Fbxw7, Ogfrl1, Enc1, Egr1, Gng3, Ybx1, Sorl1, Atp1b2, Efhd2, Fam213a, 1110008P14Rik, Meg3, Gm26035, Abat, Nnat, Gucy1b3, Scn2a, Cxx1b, Camk2b, Tubb4a, Mt3, Spock2, Gm42418, Adgrl1, Tspan5, Cx3cl1, Ube2k, Ephx4, Rnd2, Gm23624, mt-Tp, Syne1, Sncb, Chd3os, Qk, Abi2, Rbfox3, Gm24447, Sparc, Lars2, Ndn, Gm26917, Camk2n2, Zcchc12, Resp18, Cldn11, Apod, Plekhb1, Hbb-bt, Hbb-bs, Pmch"
"2","1","177","up","2","Plp1, Mobp"
"3","1","177","down","307","Olfm1, Ppp3ca, Scd2, Calm1, Camk2a, Camk2n1, Enc1, Ptk2b, Chn1, Calm2, Syt1, Sparc, Cck, Adcy1, Qk, Mef2c, Slc6a11, Plekhb1, Atp2b1, Nrn1, Cnp, Zfp365, mt-Atp8, Lingo1, Nrgn, Sv2b, Ndrg2, Mbp, Sparcl1, Arpp21, Anks1b, Qdpr, Rasgrp1, Scd1, Kalrn, Baiap2, Mt1, Gpm6a, Ppp3r1, Apoe, Zbtb18, Cldn11, Tmsb4x, Slc17a7, Gabrb3, Tppp3, Mal2, Bcas1, Rps15, Apod, Ppp3cb, Dgkz, Nsmf, Nptx1, Nrxn1, Csrp1, Cap2, Aldoc, Fam49a, Rbfox1, Foxg1, Mal, Nptn, Atp1b1, Cryab, Cx3cl1, Gatm, Abat, 2010300C02Rik, Tubb4a, Ddn, Trf, Il33, Atp2b2, Cnih2, Gria2, Clu, Ubc, Atp1a1, Atp1a2, Tmem88b, Sept4, Pcsk1n, Khdrbs3, Dbi, Fbxl16, Neurod6, Fam131a, AI593442, Nsg2, S100b, Selenop, Ndrg1, Rpl38-ps2, Phlda3, mt-Tm, Itpr1, Cxx1a, Gprc5b, Sgip1, Egr1, Mapk1, Fam81a, 2310022B05Rik, Ndn, Sorbs2, Gria3, Myrf, Ppp1r14a, Malat1, Nsf, Gda, Homer1, Snap25, Cdkl5, Tspan13, Scn1b, Tspan2, Ppm1e, Dlgap3, Rock2, Prkce, Rnd2, Tmem30a, Gucy1b3, Rps12, Atp2a2, Capza2, Ano3, Wasf1, Calb2, Resp18, Aplp1, Rgs4, Kcnj3, Erbin, Ptpn4, Pgbd5, Cd81, Clic4, Ephx4, Tpm1, Lamp1, Plppr4, Plekhh1, Dbn1, Gabra4, Dynll1, Agt, Mog, Hlf, Psd, AW551984, Ahi1, Nell2, Ermn, Arpc2, Mag, Zcchc12, Epha4, Sirpa, Olig1, Ncald, Icam5, Litaf, Grin2a, Aspa, Ppp2r2c, Cnksr2, Dnajb2, Rtn4rl1, Prr18, 5031439G07Rik, Phldb1, Cyfip2, Sptbn2, Ugt8a, Slc6a9, Scn2a, Pdp1, Dlgap1, Sowaha, Celf2, Ndrg3, Ttyh2, Mapt, Gstm1, Fnbp1, Gna12, Tbr1, Camk2b, Cacnb4, Hivep2, Fth1, Dlgap4, Psat1, Coro1a, Slc12a2, Mt2, Npy, mt-Nd6, Cadm2, Frrs1l, Camk4, Prkcb, Neurod2, Nov, Tmem130, Tuba1b, Nap1l5, Chst1, Gpr37, Fam19a1, Nme7, Wipf3, Ptpn3, 3110035E14Rik, Syt7, Reps2, Fth-ps3, Cdk5r1, Arf3, Gjc3, Carhsp1, Slc4a10, Atp1b2, Psd3, Itih3, Nptxr, Ogfrl1, Kcnf1, Camk1d, Pacs2, Myo6, Syne1, Gprasp2, Ccp110, Gng11, Dkk3, Kcnj10, Pcsk2, Car2, Arpc5, Opalin, Cpne4, Mpped1, Lrrc4c, Gltp, Shank3, Nnat, Plcb1, Plk2, Snca, Wnk1, 1110008P14Rik, Efhd2, Bhlhe22, Ttc9b, Hap1, Desi1, Endod1, Camkk2, Slc24a2, Slc32a1, Pllp, Prkcd, Slain1, Wdr6, Pla2g16, Stum, Nrsn2, Pkp4, Eid1, Rnf13, Fa2h, Sst, Ndfip1, Efnb3, Degs1, Cntn2, Kcnab1, Baiap3, Gm6977, Supt7l, Cxx1b, Ctxn1, Necab1, Hpca, Zdhhc2, Sipa1l1, Pip4k2a, Pde1a, Kif5a, Fth-ps2, Crym, Cers2, Grb14, Sirt2, Gad2, Gm26461, Slc44a1, 6330403K07Rik, Pcp4, Vamp1, Pmch, Gfap, Gad1"
"4","2","127","down","148","Pmch, Rps8, Nap1l5, Slc17a6, Gm11353, Malat1, Gm42418, mt-Atp8, Scg2, Peg3, Gm37108, 6330403K07Rik, Slc1a2, Agt, Sparc, Rpl6, Eef1a1, Prkcb, Rpl11, Zcchc12, Rps8-ps1, Aplp1, Cck, Nnat, Resp18, Dzank1, Nrgn, Cartpt, Nxph1, Calm3, Gap43, Gm26917, Cbln4, Rps16, Gm5687, Ndfip1, Gprasp2, Pgrmc1, Rpl23a, Tcf7l2, Gm29257, Tmem255a, Fau, Gm15843, Rps9, Cbln2, Gm15421, Snap25, Rpl13, Rpsa-ps2, Ctxn3, Rps19, Rpl12, Ahi1, Rpl14, Lhfpl3, Gm20721, Ndn, Rpl17, Rpl22l1, Rps3a1, Rpl19, Gm9843, Gpm6b, Rps8-ps4, Rpl35a, Rps27a, Rpsa, Elavl2, Sv2a, mt-Nd6, RP23-149L23.1, Mt1, Cbln1, Aldoa, Bend6, Gm10076, Marcks, Kalrn, Gm3362, Mt3, Camkk2, Hnrnpa0, Slc17a7, Rpl23, Adcy1, Rit2, B630019K06Rik, Rps26, Rpl6l, Psd, Chd3os, Tcf4, Pfdn4, Cplx1, Grin2a, Mical2, mt-Tm, Kif1b, Rps16-ps2, Dtx1, Dnm1, Kif5a, Syn1, Fndc3a, Kif1a, Dclk1, Ppp1r9b, Hbb-bs, Homer1, Sncb, Zbtb20, Mef2c, 1110008P14Rik, Ncdn, Pip5k1c, Arf3, R3hdm4, Atp5d, Itpr1, Epn1, Tubb4a, Tmsb4x, Camk2a, Slc24a2, Chn1, Fam131a, Fkbp1a, Hpca, Ddn, Neurod6, Zbtb18, Mt2, Fam163b, Rasgrp1, Diras2, Atp2b1, 3110035E14Rik, Hbb-bt, Nsmf, Lars2, Gda, Cldn11, Rn18s-rs5, Cryab, Plekhb1, Apod, Hba-a1"
"5","3","122","up","3","Ttr, Gm42418, Enpp2"
"6","3","122","down","153","Mobp, Mbp, Nptxr, Hpcal1, Nr2f2, Plp1, Rpl41, Gda, Fth1, Mal, Lypd1, Pdp1, Glul, Nov, Ctxn1, Hpcal4, Atp2b4, Icam5, Camk2d, Tcf7l2, Slc17a6, Syt11, Qdpr, Kcnj10, Cnp, Ptpn4, Car12, Crip2, Thra, Ntng1, Nnat, Kcnc1, Bhlhe22, Synpr, Gm10736, Rims3, Arf3, Nap1l5, Sorbs2, Tspan2, Vsnl1, Nefm, Hap1, Negr1, Mapk1, Gatm, Atp2b1, Slc24a2, Rcan2, Prkcd, Syn2, Pcdh8, Plcb4, Sept4, Gm26917, Gjc3, Plppr4, Mag, Fndc5, Lmo3, Nrsn1, Mrps6, Plekhb1, Lars2, Crym, Slc30a3, Scn1a, Map4, Aldh1a1, Sparc, Kcnd2, Camta1, Rora, Mog, Spock3, Sv2a, Nefh, Scrt1, Adarb1, Rhob, Rps8, Kcnab2, Btbd3, Cbln2, Osbpl1a, Snca, Sema7a, Malat1, Epha4, Gabra1, Ly6h, Pou3f1, Hlf, Slc6a11, Clic6, Car2, Gm37108, Scg2, Fam81a, Prelp, Ogfrl1, Scn1b, Zic1, Ntm, mt-Atp8, Cldn11, Igfbp2, Enc1, Chd3os, Elavl4, Rnf13, Rap1gds1, AI593442, Edil3, Pde1a, Folr1, Rn7s1, Hpca, Cend1, Caln1, Gm11353, Il33, Bend6, Ndrg1, Ugt8a, Cplx1, Sulf1, Kl, Elavl2, Vamp1, Pmch, Apod, Rn18s-rs5, Bcas1, Csrp1, Rasgrp1, Cox8b, Gabra4, Gm26461, Calb1, Dbi, Kcne2, Igf2, 1500015O10Rik, Dcn, Pltp, Calml4, Rbp1, Sostdc1, Gm15564, Cul4b, Otx2, Prlr"
"7","4","101","up","1","Malat1"
"8","4","101","down","249","Snap25, Nrgn, Mef2c, Prkcb, 1110008P14Rik, Slc1a2, Kalrn, Diras2, Sparc, Sncb, Nnat, Dnm1, Stx1a, Dclk1, Arpp19, Homer1, Satb2, Egr1, Itpr1, Aldoa, Gm11549, Cplx1, Ier5, Calm3, Dlgap1, Tbr1, Mical2, Pgm2l1, Cck, Tspan7, Camkk2, Ttc9b, Agt, Clstn1, Calm2, Psd, Eef1a1, Slc17a6, Asap1, Syn1, Pak1, Kif1a, Fxyd7, Sptbn2, Stxbp1, Ngef, 3110035E14Rik, Tcf7l2, Ccl27a, Pip5k1c, Rps8, Slc17a7, Camk2n1, Prkar1b, Adcy1, Satb1, Enpp2, Efhd2, Fam81a, Atp2b2, R3hdm1, Stac2, Chn1, Fmnl1, Lamp5, Fam163b, Atp1a1, Mpped1, R3hdm2, Mapk10, Osbpl1a, Rps26, Sipa1l1, Rab6b, Pfn2, Rpsa, Selenop, Zcchc12, Ctxn1, Ipcef1, Cdk5r2, Ptgds, Serpini1, Kif5a, Tmem178, Stmn1, Peg3, Rpl19, Gng13, Rapgef4, Epop, Efnb3, Scg2, Zfp365, Golga7b, Dlg2, Mgll, Pcsk1n, Arf3, Rps9, Gm9843, Kcnb1, Kcnj4, Fam212b, Kcnh7, Cyfip2, Dkk3, Phyhip, Rhob, Gas7, 2010107E04Rik, Vsnl1, Pde4a, Phf24, Pde1a, Cabp1, Ttr, Plcb1, Cplx2, Eef1a2, Rpl13, Etv5, Pcsk2, Rims1, Kifc2, Gm13623, Meg3, Snhg11, Scg3, Nlk, Rph3a, Camk2g, Gm11353, Rpsa-ps2, Cacnb4, Pcdh7, Slc6a17, Epb41l1, Hivep2, Tmem132a, Dusp3, Cntnap1, Cd81, R3hdm4, Phactr1, Car2, Sv2b, Plp1, Pgrmc1, Dzank1, Ephx4, Nap1l5, Tmem255a, Gm10076, Rpl11, Atp6v1g2, Stx1b, Etl4, Scn1b, Dlg1, Sh3gl2, Fam107a, Cacng3, Syngr1, Nr2f2, Gm15421, Prkcd, Rpl14-ps1, Lhfpl3, Pmch, Arhgap32, Zic1, Cspg5, Rpl14, Nsg2, Klc1, Psd3, Gm37108, Fut9, Camk4, Pcp4l1, Gda, Klc2, Syp, Vim, Dusp14, Epn1, Crip2, Necab2, Rpl6, Crim1, Gm5905, Rgs4, Bsn, mt-Nd6, Htr2c, Sash1, mt-Atp8, Snhg14, B630019K06Rik, Hcn1, Enc1, Nrsn2, Cyp46a1, Ube2ql1, Mat2b, 9330162G02Rik, Cxcl14, Rpl6l, Mbp, Fam19a5, Ahi1, Tspan2, Tmem256, Arpc5, Ntng1, Ndn, Ptpn4, Snca, Gria1, Gprasp2, Efr3a, Calb2, Igfbp4, Kl, Ctxn3, Mal, Eid1, Fa2h, Pvalb, 6330403K07Rik, Slc6a11, Ncald, Hap1, Ugt8a, Ighm, Gatm, Mobp, Trf, Ndrg1, Lypd1, Gad2, Cnp, Npy, Resp18, Apod, Plekhb1, Mag, Igf2"
"9","5","88","down","225","Psd, Cnih2, Ddn, Nap1l5, Stmn1, Camk2a, App, Prkacb, Cabp7, Camta2, Zbtb20, Arf3, Gap43, Slc17a6, Rps8, Bend6, Nsmf, Sipa1l3, Dgkz, Peg3, Camk2n1, Trim2, Dpp10, Kalrn, Necab1, Chd3os, Atp2b4, Resp18, Elavl4, Ppp1r9b, Syt11, Hpca, Grin2a, Jph3, Gm37108, Syt4, Cpne6, Sptbn2, Stum, Slc1a2, Gm11353, Zwint, Shisa6, Cacnb4, Mt1, Mt3, Ndfip1, Selenow, Sparc, Ncdn, Gm13340, Gm13339, Kcnab2, Nudt4, Wasf1, Eid1, Nptx1, Dnm3, Gfap, Edil3, Wipf3, Crym, Gabra1, Gria1, Pcdh7, Rps16, Tpt1, Camk2d, Ptk2b, Tceal9, Sowaha, 6330403K07Rik, Zbtb18, Nr3c2, Zcchc12, Dner, mt-Atp8, Rpsa, Fkbp1a, mt-Co3, Rps9, Mmp17, Cbln2, Oxr1, Prkar1a, Homer3, Spink8, Tmsb10, Thra, Gm11410, Arhgef25, Rps8-ps1, Dzank1, Tcf4, Mef2c, Scn1a, Prrt1, Cck, Sv2a, Elavl2, Rpl6, Gm11512, Mt2, Snhg11, Marcks, Rpl17, mt-Tm, Pgrmc1, Bcl11b, Tanc1, Klhl2, Gm5687, Ugt8a, Cadm4, Hap1, Fut9, Impact, Plppr2, Iqgap2, Timp2, Kcnf1, Plcb4, Rasl10a, Cartpt, Rit2, Rims3, Mal, Plcxd2, Camk2n2, Plp1, Nefm, Dst, Camkv, Neurod2, Tcf7l2, Dlgap3, Ppp3ca, Sept7, Doc2b, Gm2115, Pcdh20, Gatm, Rcan2, Mobp, Dlg1, Hlf, Arl6ip1, Calb2, Src, Ctxn3, Foxg1, Kbtbd11, Mbp, Ptprd, Agt, Nrsn1, 1700020I14Rik, Cplx2, Neurod6, Scg2, Wdr6, Ccni, Tagln3, Slc17a7, Kcnip2, Efhd2, Pmch, Osbpl1a, Enpp2, Arpp19, Mag, Nrsn2, Arhgap39, St6galnac5, Prkcb, Pantr1, Tmsb4x, Gabra5, Gprasp2, Ahi1, Sept3, Rps3a1, Zeb2, Pcp4l1, Mast3, Sec14l1, Sh3bgrl3, Wbscr17, Plppr4, Cbln4, Car2, Cit, Sphkap, Mmd, Camk1d, 1110008P14Rik, Ndn, Chn1, Icam5, Cnp, 2010300C02Rik, Camk2b, Kcnab1, Rasgrf1, Fam131a, Itpka, Rprml, Mical2, Tspan2, Rgs14, Hbb-bs, Calm3, Rab40b, Fam163b, Pdp1, Ppfia2, Epha7, Atp2b1, Prkca, Cryab, Gria2, Nrgn, Adcy1, Nckap1, Gm24447"
"10","6","59","up","12","Adarb1, Prkcd, Ccdc136, Pdp1, Pcp4, Rora, Ptpn4, Ramp3, Tcf7l2, Ptpn3, Plcb4, Zic1"
