"cluster","cell_cluster","#cells","up_or_down","#genes","genes"
"1","0","1355","up","2","Gene553, Gene4320"
"2","0","1355","down","536","Gene6310, Gene9627, Gene2937, Gene9545, Gene6383, Gene8054, Gene2812, Gene543, Gene5204, Gene9722, Gene7391, Gene3003, Gene3020, Gene8716, Gene4684, Gene5922, Gene7753, Gene2648, Gene9692, Gene3975, Gene5719, Gene9112, Gene5283, Gene2072, Gene4699, Gene8810, Gene7927, Gene3743, Gene5490, Gene3187, Gene4012, Gene3762, Gene1324, Gene7064, Gene8734, Gene171, Gene7138, Gene92, Gene4285, Gene5245, Gene5799, Gene3069, Gene9389, Gene1749, Gene7304, Gene8954, Gene303, Gene2386, Gene131, Gene9421, Gene1797, Gene8786, Gene3194, Gene5286, Gene9735, Gene8294, Gene3263, Gene4129, Gene4044, Gene7096, Gene8160, Gene2284, Gene1152, Gene3617, Gene7012, Gene1255, Gene7545, Gene7969, Gene100, Gene4459, Gene5171, Gene6060, Gene2275, Gene2306, Gene8144, Gene881, Gene4688, Gene8973, Gene3641, Gene7134, Gene5416, Gene2577, Gene9649, Gene6220, Gene6052, Gene1044, Gene960, Gene2358, Gene1060, Gene3442, Gene6171, Gene1947, Gene6563, Gene9728, Gene5114, Gene7989, Gene7014, Gene6172, Gene9498, Gene4964, Gene250, Gene8575, Gene313, Gene9072, Gene8297, Gene9654, Gene6933, Gene4226, Gene6934, Gene7219, Gene1223, Gene5852, Gene6592, Gene8536, Gene8216, Gene7578, Gene7479, Gene1846, Gene9927, Gene9710, Gene4805, Gene9771, Gene3434, Gene214, Gene9786, Gene4915, Gene117, Gene129, Gene5614, Gene2932, Gene2342, Gene4571, Gene5385, Gene3783, Gene7966, Gene8599, Gene8693, Gene8302, Gene8523, Gene9075, Gene4985, Gene2592, Gene7806, Gene3121, Gene7636, Gene6086, Gene6850, Gene6599, Gene7076, Gene268, Gene9181, Gene5678, Gene5099, Gene4597, Gene9701, Gene3572, Gene4444, Gene5901, Gene124, Gene4890, Gene6011, Gene2763, Gene2772, Gene9332, Gene3544, Gene3426, Gene5225, Gene3103, Gene2135, Gene3843, Gene5237, Gene6368, Gene5951, Gene8676, Gene9885, Gene477, Gene2614, Gene7183, Gene5107, Gene1120, Gene4375, Gene4354, Gene6607, Gene2226, Gene101, Gene6654, Gene2037, Gene2105, Gene5628, Gene2562, Gene8350, Gene4552, Gene834, Gene3445, Gene65, Gene291, Gene5195, Gene8879, Gene8935, Gene7459, Gene1973, Gene855, Gene7476, Gene3840, Gene6939, Gene2214, Gene7216, Gene1717, Gene4663, Gene785, Gene9719, Gene3869, Gene2740, Gene9954, Gene8, Gene6602, Gene4208, Gene7895, Gene5728, Gene9300, Gene6781, Gene5730, Gene5613, Gene5441, Gene4115, Gene6825, Gene2506, Gene1191, Gene9813, Gene9984, Gene2341, Gene6450, Gene2589, Gene3947, Gene6149, Gene4082, Gene2701, Gene8766, Gene6948, Gene6828, Gene9731, Gene9293, Gene5161, Gene1460, Gene5673, Gene6518, Gene4666, Gene4482, Gene1309, Gene1649, Gene2991, Gene8312, Gene3907, Gene3056, Gene2934, Gene2244, Gene1613, Gene3080, Gene8577, Gene7237, Gene5069, Gene2756, Gene5454, Gene7347, Gene8966, Gene5921, Gene5174, Gene7182, Gene8271, Gene7589, Gene9083, Gene894, Gene6185, Gene3131, Gene6848, Gene3591, Gene7672, Gene3966, Gene8748, Gene9976, Gene9694, Gene6272, Gene4179, Gene5200, Gene675, Gene1971, Gene4298, Gene6568, Gene5876, Gene8283, Gene2569, Gene9234, Gene3867, Gene6534, Gene6751, Gene3252, Gene1886, Gene6230, Gene6253, Gene8870, Gene2610, Gene8955, Gene5443, Gene478, Gene6063, Gene3387, Gene6105, Gene8823, Gene6690, Gene9477, Gene647, Gene3162, Gene7253, Gene945, Gene4622, Gene4656, Gene8024, Gene6271, Gene6972, Gene32, Gene9798, Gene241, Gene2109, Gene7107, Gene8580, Gene6945, Gene8181, Gene6288, Gene5817, Gene8574, Gene5536, Gene5060, Gene4097, Gene7642, Gene4414, Gene6845, Gene348, Gene95, Gene4250, Gene1318, Gene4714, Gene3433, Gene6578, Gene223, Gene7093, Gene3514, Gene4119, Gene7899, Gene7276, Gene4966, Gene681, Gene2538, Gene2272, Gene4920, Gene359, Gene6239, Gene2221, Gene8544, Gene862, Gene8639, Gene530, Gene9561, Gene9856, Gene7570, Gene4607, Gene8372, Gene3150, Gene3594, Gene8240, Gene2148, Gene2514, Gene4271, Gene9269, Gene753, Gene2637, Gene5460, Gene8900, Gene5276, Gene8972, Gene9452, Gene8102, Gene4162, Gene7415, Gene1280, Gene6672, Gene6561, Gene3035, Gene9039, Gene8386, Gene864, Gene7370, Gene6081, Gene4575, Gene9448, Gene1036, Gene1533, Gene4028, Gene9271, Gene9874, Gene704, Gene6175, Gene7018, Gene556, Gene4561, Gene3188, Gene8816, Gene6545, Gene3193, Gene9210, Gene8117, Gene4173, Gene707, Gene520, Gene9004, Gene9765, Gene8922, Gene7688, Gene8373, Gene4340, Gene9999, Gene7721, Gene3255, Gene8831, Gene1872, Gene6416, Gene243, Gene2203, Gene7348, Gene1091, Gene9901, Gene5924, Gene3211, Gene6419, Gene1168, Gene4818, Gene7598, Gene393, Gene1570, Gene8920, Gene8839, Gene9230, Gene1836, Gene1471, Gene7161, Gene5036, Gene2771, Gene7279, Gene2626, Gene6084, Gene555, Gene1790, Gene4509, Gene4817, Gene2893, Gene3742, Gene4351, Gene2688, Gene9686, Gene4302, Gene3501, Gene3531, Gene2070, Gene1630, Gene9836, Gene343, Gene3560, Gene8348, Gene1489, Gene777, Gene8084, Gene6106, Gene6453, Gene7448, Gene7399, Gene474, Gene531, Gene9840, Gene3651, Gene1401, Gene3227, Gene1437, Gene6363, Gene5148, Gene1879, Gene1819, Gene7331, Gene2766, Gene4994, Gene4389, Gene7875, Gene806, Gene1777, Gene8686, Gene9255, Gene3780, Gene9565, Gene6139, Gene1974, Gene1830, Gene1181, Gene2408, Gene5215, Gene5183, Gene6661, Gene627, Gene7810, Gene5935, Gene9593, Gene5875, Gene7195, Gene7425, Gene8512, Gene494, Gene7175, Gene4396, Gene5942, Gene9790, Gene1706, Gene3639, Gene6961, Gene2515, Gene4628, Gene5004, Gene3373, Gene5196, Gene7754, Gene4356, Gene7588, Gene4395, Gene2627, Gene6100, Gene3674, Gene4633, Gene467, Gene2502, Gene3340"
"3","1","1173","down","86","Gene9649, Gene5283, Gene3373, Gene1223, Gene5334, Gene7545, Gene4082, Gene9498, Gene5628, Gene2386, Gene4513, Gene343, Gene5441, Gene9927, Gene3263, Gene3869, Gene6561, Gene1242, Gene739, Gene3194, Gene4839, Gene9363, Gene2342, Gene8216, Gene9220, Gene3572, Gene9735, Gene5574, Gene6741, Gene8193, Gene3227, Gene9421, Gene8580, Gene5673, Gene101, Gene6220, Gene6011, Gene4275, Gene250, Gene9452, Gene1879, Gene9813, Gene6288, Gene2562, Gene5245, Gene8350, Gene8360, Gene492, Gene7578, Gene4356, Gene785, Gene3975, Gene8823, Gene3450, Gene881, Gene105, Gene477, Gene2358, Gene8807, Gene4561, Gene8297, Gene5491, Gene4985, Gene3797, Gene2740, Gene719, Gene7175, Gene675, Gene8065, Gene32, Gene3003, Gene208, Gene65, Gene2893, Gene3103, Gene2284, Gene441, Gene8054, Gene3340, Gene6976, Gene2648, Gene9545, Gene3, Gene5195, Gene1255, Gene9181"
"4","2","1156","down","72","Gene3, Gene448, Gene6255, Gene2342, Gene62, Gene675, Gene553, Gene4320, Gene5673, Gene6383, Gene3373, Gene9627, Gene6407, Gene9722, Gene5768, Gene981, Gene6310, Gene2812, Gene4504, Gene1223, Gene5204, Gene7875, Gene2937, Gene9545, Gene110, Gene543, Gene881, Gene9363, Gene8054, Gene8810, Gene7859, Gene3282, Gene8900, Gene131, Gene6961, Gene7304, Gene5799, Gene9735, Gene5119, Gene4684, Gene8716, Gene1255, Gene6494, Gene3069, Gene1797, Gene7391, Gene8048, Gene9112, Gene171, Gene4129, Gene250, Gene3797, Gene5171, Gene2306, Gene7182, Gene9786, Gene6052, Gene7459, Gene2577, Gene8065, Gene948, Gene2893, Gene303, Gene9181, Gene1973, Gene5628, Gene7012, Gene5334, Gene9701, Gene1242, Gene5374, Gene3340"
"5","3","772","down","215","Gene3340, Gene1255, Gene6310, Gene5799, Gene9181, Gene5880, Gene8810, Gene3819, Gene7459, Gene6976, Gene8676, Gene1846, Gene2342, Gene8181, Gene1420, Gene2812, Gene4551, Gene6230, Gene553, Gene5196, Gene7304, Gene9712, Gene9722, Gene6741, Gene4012, Gene6383, Gene5559, Gene171, Gene4688, Gene9430, Gene5374, Gene4684, Gene1973, Gene948, Gene4571, Gene2937, Gene9545, Gene6052, Gene2109, Gene5204, Gene2315, Gene4320, Gene8649, Gene8414, Gene8054, Gene3187, Gene4334, Gene5719, Gene9627, Gene3762, Gene5171, Gene149, Gene8939, Gene4208, Gene303, Gene7955, Gene9141, Gene3571, Gene9701, Gene3743, Gene4699, Gene4599, Gene1152, Gene3445, Gene2697, Gene9234, Gene1242, Gene7179, Gene7989, Gene5225, Gene4302, Gene543, Gene5029, Gene9692, Gene3, Gene7754, Gene448, Gene5951, Gene4165, Gene3020, Gene92, Gene4964, Gene9042, Gene8716, Gene7159, Gene7182, Gene9220, Gene6149, Gene1227, Gene6255, Gene2275, Gene5490, Gene1797, Gene2072, Gene2824, Gene2888, Gene6812, Gene7969, Gene9710, Gene4771, Gene9112, Gene2893, Gene739, Gene9728, Gene291, Gene4462, Gene9885, Gene5203, Gene6592, Gene3373, Gene124, Gene2637, Gene6239, Gene343, Gene4129, Gene7416, Gene3238, Gene7927, Gene6220, Gene2256, Gene6933, Gene8786, Gene3003, Gene6654, Gene5334, Gene8240, Gene2284, Gene5875, Gene8226, Gene3069, Gene2766, Gene2426, Gene989, Gene567, Gene4538, Gene1318, Gene8145, Gene4552, Gene467, Gene5385, Gene4839, Gene4994, Gene6609, Gene2306, Gene499, Gene4354, Gene7014, Gene5948, Gene8574, Gene7753, Gene2502, Gene7577, Gene5700, Gene6934, Gene4622, Gene2701, Gene2327, Gene2625, Gene7908, Gene5232, Gene8360, Gene6828, Gene7253, Gene5673, Gene1060, Gene7219, Gene1306, Gene4115, Gene8536, Gene6848, Gene2199, Gene881, Gene9332, Gene8244, Gene5922, Gene5614, Gene2627, Gene753, Gene167, Gene5730, Gene348, Gene3434, Gene6253, Gene6041, Gene7693, Gene6599, Gene2934, Gene6363, Gene2648, Gene8628, Gene6661, Gene9976, Gene8766, Gene1802, Gene5166, Gene6954, Gene5454, Gene7391, Gene7636, Gene4656, Gene221, Gene4915, Gene313, Gene2226, Gene5237, Gene1570, Gene8900, Gene214, Gene2506, Gene9075, Gene5099, Gene9735, Gene834, Gene4444, Gene5060"
"6","4","719","down","273","Gene9545, Gene8054, Gene3975, Gene7545, Gene3003, Gene4082, Gene9927, Gene3194, Gene3263, Gene9498, Gene8350, Gene4320, Gene9389, Gene3020, Gene1324, Gene9692, Gene5441, Gene101, Gene4513, Gene1242, Gene2284, Gene739, Gene9813, Gene3572, Gene6561, Gene8302, Gene6220, Gene8216, Gene2562, Gene4839, Gene2648, Gene129, Gene8297, Gene9421, Gene8193, Gene3056, Gene6850, Gene2386, Gene9452, Gene2342, Gene9735, Gene9649, Gene477, Gene5574, Gene3544, Gene553, Gene4044, Gene1749, Gene2937, Gene9042, Gene785, Gene7182, Gene8823, Gene6741, Gene3426, Gene3227, Gene9220, Gene7578, Gene8973, Gene5114, Gene3907, Gene9854, Gene1879, Gene4012, Gene6288, Gene7479, Gene7842, Gene7476, Gene6383, Gene32, Gene6310, Gene8580, Gene3947, Gene7183, Gene8807, Gene5922, Gene2756, Gene2358, Gene4179, Gene4985, Gene8599, Gene313, Gene95, Gene65, Gene3442, Gene5283, Gene5921, Gene9654, Gene2740, Gene5678, Gene7134, Gene4029, Gene7995, Gene6518, Gene278, Gene3743, Gene8960, Gene4275, Gene5204, Gene441, Gene5719, Gene4459, Gene5195, Gene4561, Gene232, Gene3433, Gene208, Gene9627, Gene881, Gene1060, Gene1846, Gene3843, Gene7391, Gene9941, Gene7444, Gene1630, Gene7646, Gene7076, Gene250, Gene4784, Gene1036, Gene1120, Gene7806, Gene1947, Gene131, Gene14, Gene348, Gene4119, Gene2589, Gene8734, Gene2610, Gene9840, Gene2214, Gene1797, Gene3639, Gene4699, Gene241, Gene8294, Gene7279, Gene4093, Gene8716, Gene6074, Gene5148, Gene2763, Gene3125, Gene4818, Gene724, Gene5924, Gene6545, Gene1206, Gene9039, Gene4250, Gene6171, Gene2812, Gene6592, Gene8144, Gene3531, Gene6416, Gene543, Gene647, Gene8870, Gene8102, Gene8861, Gene2072, Gene2514, Gene1460, Gene7899, Gene1471, Gene8954, Gene7096, Gene6086, Gene3, Gene1152, Gene8283, Gene4684, Gene2105, Gene8084, Gene9771, Gene8767, Gene7927, Gene6449, Gene555, Gene5852, Gene2306, Gene2109, Gene5490, Gene9083, Gene6105, Gene1886, Gene4129, Gene3641, Gene8816, Gene429, Gene3514, Gene5728, Gene4262, Gene714, Gene7753, Gene9686, Gene535, Gene6100, Gene6060, Gene9142, Gene969, Gene9075, Gene6945, Gene5454, Gene6006, Gene3187, Gene6599, Gene8780, Gene527, Gene6172, Gene5174, Gene5443, Gene4509, Gene9112, Gene5625, Gene1508, Gene8024, Gene6568, Gene4951, Gene9146, Gene4541, Gene3308, Gene5689, Gene6106, Gene4375, Gene5409, Gene8449, Gene945, Gene8786, Gene1868, Gene4663, Gene4395, Gene5105, Gene5200, Gene3212, Gene1312, Gene4920, Gene2272, Gene6534, Gene4097, Gene4628, Gene2220, Gene7347, Gene8355, Gene8536, Gene2864, Gene7219, Gene2079, Gene1777, Gene2995, Gene214, Gene2614, Gene3674, Gene1878, Gene4444, Gene2502, Gene5118, Gene8, Gene5213, Gene2369, Gene9065, Gene5614, Gene2341, Gene9728, Gene4536, Gene3387, Gene9722, Gene4915, Gene7014, Gene3340"
"7","5","693","down","173","Gene803, Gene1168, Gene9854, Gene2130, Gene4275, Gene1044, Gene6726, Gene4320, Gene4617, Gene9722, Gene9042, Gene1749, Gene6934, Gene7016, Gene2577, Gene6561, Gene5385, Gene4551, Gene2893, Gene8942, Gene1846, Gene1649, Gene232, Gene1830, Gene7064, Gene8955, Gene6383, Gene8847, Gene4513, Gene9627, Gene8734, Gene3279, Gene2342, Gene7955, Gene7391, Gene5501, Gene3056, Gene553, Gene2426, Gene6925, Gene2275, Gene1879, Gene3, Gene1868, Gene5204, Gene9239, Gene3227, Gene9786, Gene5283, Gene6060, Gene8954, Gene1242, Gene543, Gene7688, Gene7370, Gene8048, Gene7989, Gene5282, Gene9649, Gene7179, Gene6006, Gene3373, Gene1797, Gene7646, Gene4688, Gene3879, Gene5305, Gene9654, Gene5876, Gene6592, Gene5334, Gene7753, Gene5901, Gene862, Gene5022, Gene7969, Gene9127, Gene101, Gene3572, Gene3139, Gene4699, Gene8565, Gene2562, Gene2812, Gene5286, Gene2515, Gene2931, Gene3410, Gene6609, Gene4285, Gene2295, Gene8798, Gene3263, Gene4340, Gene3641, Gene8160, Gene3308, Gene3804, Gene6396, Gene5368, Gene6900, Gene7014, Gene2072, Gene7927, Gene7138, Gene8523, Gene3069, Gene5490, Gene5416, Gene8117, Gene9771, Gene7545, Gene7441, Gene9534, Gene6220, Gene9076, Gene5969, Gene4575, Gene4351, Gene6524, Gene3187, Gene4396, Gene2569, Gene9498, Gene4475, Gene343, Gene8169, Gene3434, Gene8716, Gene8580, Gene3121, Gene5161, Gene7636, Gene9112, Gene8216, Gene9421, Gene4129, Gene8879, Gene6100, Gene8911, Gene7219, Gene8639, Gene6591, Gene6848, Gene6585, Gene6185, Gene7012, Gene214, Gene2614, Gene2502, Gene32, Gene4356, Gene6964, Gene6945, Gene2937, Gene7183, Gene5200, Gene9255, Gene2306, Gene9901, Gene8526, Gene4666, Gene4915, Gene4119, Gene778, Gene6230, Gene2740, Gene2506, Gene4985, Gene5099, Gene8599, Gene8350, Gene3340"
"8","6","465","up","9","Gene1255, Gene3340, Gene9181, Gene6741, Gene6976, Gene1242, Gene7459, Gene5374, Gene9220"
"9","6","465","down","696","Gene5441, Gene9042, Gene5196, Gene4082, Gene9430, Gene5799, Gene6310, Gene6074, Gene4839, Gene8810, Gene8414, Gene9927, Gene2888, Gene2315, Gene3571, Gene6230, Gene8302, Gene948, Gene4256, Gene5574, Gene149, Gene4974, Gene7842, Gene9141, Gene9498, Gene8350, Gene4513, Gene7304, Gene8193, Gene6396, Gene5203, Gene8649, Gene2812, Gene171, Gene3337, Gene7646, Gene7989, Gene4302, Gene2893, Gene8847, Gene9722, Gene739, Gene2127, Gene1973, Gene7159, Gene7955, Gene6052, Gene4599, Gene2502, Gene3819, Gene4081, Gene7754, Gene9786, Gene482, Gene4571, Gene9701, Gene8939, Gene9234, Gene3445, Gene4462, Gene2669, Gene7545, Gene4208, Gene4562, Gene2426, Gene6661, Gene4165, Gene2256, Gene5118, Gene2819, Gene3238, Gene6964, Gene6531, Gene713, Gene7570, Gene8936, Gene5948, Gene9592, Gene7908, Gene7179, Gene2336, Gene236, Gene2604, Gene4688, Gene6934, Gene4684, Gene8240, Gene6954, Gene6812, Gene824, Gene567, Gene5385, Gene6977, Gene1508, Gene7370, Gene535, Gene467, Gene5951, Gene8360, Gene1306, Gene4617, Gene7854, Gene3172, Gene6605, Gene2783, Gene8355, Gene167, Gene542, Gene1593, Gene448, Gene5171, Gene7441, Gene6925, Gene2382, Gene6041, Gene675, Gene9849, Gene6239, Gene6288, Gene8236, Gene2627, Gene8943, Gene303, Gene7577, Gene9649, Gene8244, Gene1879, Gene2751, Gene8145, Gene8408, Gene4536, Gene4093, Gene65, Gene5291, Gene258, Gene2220, Gene3227, Gene8780, Gene4994, Gene6640, Gene7269, Gene2941, Gene9999, Gene5875, Gene1318, Gene1749, Gene7229, Gene8917, Gene8807, Gene553, Gene8960, Gene124, Gene2803, Gene2457, Gene5970, Gene3391, Gene3263, Gene8351, Gene4018, Gene1261, Gene7029, Gene5452, Gene319, Gene1693, Gene9076, Gene8482, Gene4656, Gene4128, Gene9065, Gene1721, Gene291, Gene2638, Gene3175, Gene3663, Gene8548, Gene4964, Gene232, Gene2780, Gene7693, Gene4557, Gene9710, Gene6654, Gene3890, Gene3281, Gene6395, Gene2957, Gene3450, Gene8565, Gene221, Gene3004, Gene2637, Gene7726, Gene3548, Gene3966, Gene6933, Gene7631, Gene5204, Gene2622, Gene4288, Gene3919, Gene9452, Gene9674, Gene8766, Gene6383, Gene3769, Gene9331, Gene7398, Gene2073, Gene6514, Gene1446, Gene9840, Gene125, Gene8580, Gene6149, Gene172, Gene6848, Gene6253, Gene1649, Gene3322, Gene2038, Gene492, Gene7266, Gene2342, Gene496, Gene8808, Gene5916, Gene3286, Gene441, Gene278, Gene5766, Gene8298, Gene5968, Gene8216, Gene6255, Gene6576, Gene954, Gene2534, Gene9003, Gene3347, Gene804, Gene2079, Gene1802, Gene8574, Gene499, Gene4127, Gene1948, Gene3762, Gene4510, Gene8628, Gene7837, Gene3441, Gene1570, Gene2130, Gene6609, Gene4561, Gene5514, Gene9764, Gene7253, Gene753, Gene5107, Gene7090, Gene9854, Gene4239, Gene8538, Gene2793, Gene8955, Gene2304, Gene4012, Gene3725, Gene9945, Gene2166, Gene8029, Gene2515, Gene338, Gene3936, Gene9293, Gene7276, Gene7880, Gene2517, Gene5935, Gene1651, Gene6363, Gene2105, Gene2738, Gene3804, Gene714, Gene6850, Gene9736, Gene6554, Gene8798, Gene1698, Gene7995, Gene5072, Gene981, Gene6494, Gene4280, Gene9690, Gene3947, Gene3194, Gene1686, Gene5166, Gene2766, Gene129, Gene4387, Gene5149, Gene5082, Gene4269, Gene1302, Gene2701, Gene3125, Gene5719, Gene5395, Gene4774, Gene3696, Gene5630, Gene9941, Gene5105, Gene3544, Gene3229, Gene463, Gene4692, Gene4439, Gene2106, Gene2889, Gene6224, Gene6281, Gene7176, Gene7567, Gene9627, Gene1305, Gene827, Gene6990, Gene6386, Gene3452, Gene5278, Gene7444, Gene8517, Gene7203, Gene9976, Gene9127, Gene4922, Gene8619, Gene1181, Gene8602, Gene5179, Gene9512, Gene7445, Gene277, Gene9343, Gene6220, Gene5225, Gene880, Gene3840, Gene4184, Gene6999, Gene3907, Gene4622, Gene6672, Gene2121, Gene6638, Gene8169, Gene4849, Gene5479, Gene7080, Gene2307, Gene5099, Gene1094, Gene1324, Gene2072, Gene5507, Gene8416, Gene1133, Gene4369, Gene2672, Gene4423, Gene92, Gene5673, Gene8656, Gene5377, Gene9605, Gene4606, Gene8361, Gene527, Gene648, Gene9949, Gene4657, Gene6481, Gene4609, Gene5189, Gene8590, Gene7882, Gene6828, Gene3069, Gene543, Gene1798, Gene778, Gene5752, Gene4963, Gene6589, Gene4456, Gene8399, Gene3572, Gene628, Gene5283, Gene2726, Gene1878, Gene7969, Gene5783, Gene4951, Gene5716, Gene4699, Gene1279, Gene4817, Gene3743, Gene9053, Gene2275, Gene9024, Gene3, Gene101, Gene3071, Gene6437, Gene4868, Gene1454, Gene4354, Gene3056, Gene7636, Gene1868, Gene9956, Gene8942, Gene7014, Gene4115, Gene6416, Gene142, Gene414, Gene5750, Gene4944, Gene4867, Gene6994, Gene6518, Gene6015, Gene3139, Gene91, Gene5730, Gene9728, Gene5549, Gene4902, Gene6996, Gene2562, Gene2937, Gene4637, Gene1754, Gene1897, Gene5490, Gene5686, Gene6228, Gene759, Gene9307, Gene9133, Gene7991, Gene8138, Gene729, Gene3381, Gene4935, Gene3768, Gene3403, Gene9547, Gene5833, Gene785, Gene135, Gene6106, Gene4414, Gene5454, Gene6705, Gene2438, Gene4552, Gene8998, Gene1036, Gene9303, Gene9707, Gene4748, Gene3824, Gene8321, Gene2070, Gene940, Gene3057, Gene8856, Gene7998, Gene3531, Gene4706, Gene8786, Gene273, Gene2327, Gene4409, Gene7214, Gene9112, Gene6544, Gene7352, Gene2569, Gene5282, Gene9037, Gene3350, Gene3410, Gene8449, Gene9266, Gene3373, Gene2848, Gene1280, Gene9987, Gene5560, Gene1923, Gene5232, Gene1383, Gene4275, Gene8716, Gene5764, Gene5218, Gene800, Gene9474, Gene924, Gene8226, Gene2756, Gene8823, Gene7927, Gene4765, Gene5325, Gene2373, Gene8684, Gene95, Gene6243, Gene3584, Gene1979, Gene2824, Gene6774, Gene6852, Gene4076, Gene6068, Gene3433, Gene8438, Gene9548, Gene384, Gene14, Gene4985, Gene1315, Gene4818, Gene560, Gene3160, Gene3331, Gene8478, Gene3480, Gene8008, Gene5843, Gene5921, Gene1286, Gene2350, Gene4601, Gene2533, Gene6616, Gene2932, Gene8938, Gene1024, Gene3534, Gene5305, Gene7899, Gene6084, Gene8748, Gene4129, Gene7578, Gene9967, Gene611, Gene9844, Gene823, Gene4827, Gene1797, Gene7534, Gene320, Gene2200, Gene4784, Gene923, Gene2934, Gene4262, Gene390, Gene4119, Gene2386, Gene1312, Gene1215, Gene2835, Gene9647, Gene2834, Gene5648, Gene4248, Gene8263, Gene2424, Gene2450, Gene9957, Gene434, Gene3803, Gene1021, Gene6566, Gene5736, Gene5206, Gene6545, Gene6623, Gene558, Gene3434, Gene1471, Gene6240, Gene8471, Gene7569, Gene2368, Gene5237, Gene2203, Gene8496, Gene9167, Gene389, Gene9853, Gene343, Gene137, Gene4395, Gene5148, Gene5005, Gene1120, Gene174, Gene9966, Gene353, Gene9332, Gene8946, Gene2843, Gene5334, Gene9977, Gene4228, Gene3573, Gene860, Gene9122, Gene8078, Gene6591, Gene2132, Gene9061, Gene5523, Gene5161, Gene4086, Gene5853, Gene4046, Gene32, Gene4633, Gene2306, Gene8489, Gene4947, Gene1205, Gene803, Gene9294, Gene3259, Gene1720, Gene6823, Gene6257, Gene6688, Gene3223, Gene5924, Gene9039, Gene4058, Gene5614, Gene942, Gene3859, Gene724, Gene3662, Gene5806, Gene1661, Gene8863, Gene9285, Gene5693, Gene8886, Gene1717, Gene6086, Gene5093, Gene719, Gene2861, Gene7601, Gene4250, Gene5035, Gene2440, Gene2740, Gene6175, Gene4509, Gene9534, Gene6736, Gene6198, Gene4444, Gene8536, Gene7314, Gene7183, Gene2578, Gene2864, Gene2214, Gene6185, Gene7219, Gene2506, Gene4320"
"10","7","426","down","154","Gene8499, Gene919, Gene2577, Gene5197, Gene8798, Gene4320, Gene824, Gene1044, Gene803, Gene2783, Gene3308, Gene9042, Gene1168, Gene8942, Gene553, Gene2342, Gene1749, Gene6726, Gene3975, Gene9545, Gene7016, Gene8863, Gene1846, Gene1463, Gene4147, Gene8350, Gene6383, Gene8523, Gene171, Gene3056, Gene9627, Gene8054, Gene4256, Gene9654, Gene4699, Gene2105, Gene3020, Gene2937, Gene7391, Gene5204, Gene3194, Gene7646, Gene4165, Gene3743, Gene9433, Gene6561, Gene9389, Gene8160, Gene5490, Gene3003, Gene8716, Gene8734, Gene9722, Gene3, Gene3373, Gene1797, Gene6318, Gene9498, Gene4082, Gene7545, Gene131, Gene6592, Gene1545, Gene543, Gene2931, Gene6419, Gene2072, Gene4285, Gene8917, Gene8954, Gene7927, Gene3641, Gene7753, Gene9112, Gene6060, Gene7134, Gene7688, Gene2648, Gene8526, Gene5922, Gene4129, Gene8684, Gene9692, Gene7908, Gene7612, Gene5334, Gene4057, Gene3187, Gene2306, Gene4044, Gene935, Gene5237, Gene8297, Gene9771, Gene2812, Gene6310, Gene8117, Gene1152, Gene9076, Gene2341, Gene1613, Gene9296, Gene8935, Gene250, Gene1060, Gene214, Gene8294, Gene65, Gene6769, Gene4395, Gene7014, Gene7012, Gene4375, Gene6945, Gene6171, Gene5768, Gene739, Gene9534, Gene9719, Gene6086, Gene8, Gene6920, Gene4915, Gene8536, Gene1706, Gene9075, Gene7479, Gene7219, Gene9735, Gene4444, Gene3434, Gene4179, Gene2502, Gene313, Gene5614, Gene2284, Gene3340, Gene4839, Gene7806, Gene9728, Gene6741, Gene2614, Gene9885, Gene5118, Gene7314, Gene3531, Gene881, Gene7441, Gene5099, Gene5195, Gene5171, Gene7636, Gene4684, Gene9220"
