"cluster","cell_cluster","#cells","up_or_down","#genes","genes"
"1","0","1980","down","2","ENSMUSG00000018339, ENSMUSG00000064341"
"2","1","441","up","3","ENSMUSG00000035202, ENSMUSG00000021665, ENSMUSG00000039145"
"3","1","441","down","2","ENSMUSG00000064339, ENSMUSG00000064337"
"4","2","370","up","1","ENSMUSG00000018339"
"5","3","303","down","4","ENSMUSG00000064339, ENSMUSG00000064337, ENSMUSG00000064370, ENSMUSG00000064341"
"6","4","281","down","3","ENSMUSG00000064339, ENSMUSG00000092341, ENSMUSG00000024661"
"7","5","239","up","1","ENSMUSG00000024608"
"8","5","239","down","1","ENSMUSG00000024953"
"9","6","233","up","1","ENSMUSG00000026189"
"10","6","233","down","1","ENSMUSG00000028307"
"11","7","231","up","3","ENSMUSG00000063903, ENSMUSG00000028222, ENSMUSG00000040808"
"12","7","231","down","4","ENSMUSG00000032758, ENSMUSG00000092341, ENSMUSG00000059412, ENSMUSG00000064339"
"13","8","227","up","1","ENSMUSG00000028017"
"14","9","222","up","3","ENSMUSG00000060961, ENSMUSG00000018339, ENSMUSG00000039145"
"15","10","217","up","4","ENSMUSG00000041644, ENSMUSG00000030781, ENSMUSG00000018339, ENSMUSG00000092341"
"16","10","217","down","1","ENSMUSG00000032758"
"17","11","216","up","2","ENSMUSG00000025194, ENSMUSG00000024935"
"18","11","216","down","3","ENSMUSG00000092341, ENSMUSG00000030945, ENSMUSG00000018339"
"19","12","199","up","1","ENSMUSG00000038462"
"20","12","199","down","2","ENSMUSG00000092341, ENSMUSG00000064341"
"21","13","196","up","1","ENSMUSG00000039145"
"22","13","196","down","4","ENSMUSG00000064339, ENSMUSG00000064337, ENSMUSG00000064370, ENSMUSG00000092341"
"23","14","195","up","1","ENSMUSG00000023829"
"24","14","195","down","4","ENSMUSG00000030945, ENSMUSG00000027513, ENSMUSG00000028307, ENSMUSG00000026576"
"25","15","190","up","1","ENSMUSG00000027870"
"26","16","185","up","1","ENSMUSG00000031725"
"27","17","184","up","1","ENSMUSG00000003623"
"28","17","184","down","1","ENSMUSG00000002204"
"29","18","173","up","1","ENSMUSG00000021612"
"30","18","173","down","6","ENSMUSG00000002204, ENSMUSG00000032758, ENSMUSG00000024661, ENSMUSG00000064370, ENSMUSG00000027359, ENSMUSG00000064363"
"31","19","168","up","1","ENSMUSG00000019818"
"32","19","168","down","5","ENSMUSG00000002204, ENSMUSG00000024661, ENSMUSG00000031818, ENSMUSG00000026576, ENSMUSG00000059412"
"33","20","148","up","1","ENSMUSG00000032050"
"34","20","148","down","2","ENSMUSG00000064351, ENSMUSG00000024953"
"35","21","148","up","1","ENSMUSG00000023089"
"36","21","148","down","2","ENSMUSG00000030945, ENSMUSG00000015401"
"37","22","148","up","1","ENSMUSG00000036181"
"38","22","148","down","9","ENSMUSG00000002204, ENSMUSG00000024661, ENSMUSG00000064351, ENSMUSG00000024953, ENSMUSG00000060002, ENSMUSG00000027359, ENSMUSG00000028307, ENSMUSG00000026576, ENSMUSG00000064370"
