"cluster","cell_cluster","#cells","up_or_down","#genes","genes"
"1","0","1361","up","1","Gene8588"
"2","0","1361","down","461","Gene6201, Gene608, Gene2921, Gene4935, Gene864, Gene2946, Gene4648, Gene6487, Gene6607, Gene1921, Gene7720, Gene1032, Gene126, Gene6463, Gene4749, Gene3922, Gene1541, Gene7890, Gene7537, Gene3948, Gene5977, Gene3651, Gene3123, Gene9989, Gene8165, Gene4027, Gene2582, Gene4478, Gene3362, Gene8275, Gene8729, Gene2534, Gene408, Gene8676, Gene6675, Gene8954, Gene8927, Gene6489, Gene7254, Gene4856, Gene4197, Gene1835, Gene1450, Gene7544, Gene2572, Gene9683, Gene5916, Gene824, Gene8266, Gene8468, Gene163, Gene3336, Gene1337, Gene5211, Gene4704, Gene5616, Gene422, Gene4415, Gene7093, Gene1071, Gene4271, Gene4122, Gene7094, Gene9953, Gene3901, Gene533, Gene1135, Gene9039, Gene3729, Gene7030, Gene1878, Gene7110, Gene5136, Gene4883, Gene9482, Gene8748, Gene1637, Gene9511, Gene7701, Gene5233, Gene9271, Gene8776, Gene5953, Gene7451, Gene8595, Gene1082, Gene3495, Gene1837, Gene597, Gene8947, Gene1706, Gene6070, Gene9525, Gene6337, Gene1190, Gene5448, Gene6380, Gene7535, Gene5565, Gene9985, Gene4347, Gene7270, Gene7361, Gene2473, Gene3642, Gene1592, Gene3952, Gene5182, Gene6230, Gene8882, Gene3063, Gene1803, Gene9067, Gene843, Gene415, Gene5620, Gene5552, Gene9475, Gene3780, Gene5054, Gene5029, Gene6867, Gene989, Gene599, Gene7290, Gene809, Gene6082, Gene9695, Gene550, Gene102, Gene9716, Gene344, Gene2171, Gene3312, Gene574, Gene2157, Gene2741, Gene4711, Gene8262, Gene3157, Gene2744, Gene5771, Gene1959, Gene4952, Gene4578, Gene9497, Gene958, Gene1466, Gene5359, Gene1199, Gene5045, Gene3883, Gene654, Gene2716, Gene8740, Gene4166, Gene8313, Gene4628, Gene7557, Gene7365, Gene1025, Gene592, Gene4402, Gene2482, Gene663, Gene7396, Gene3814, Gene9951, Gene1262, Gene2088, Gene9574, Gene2839, Gene1206, Gene4125, Gene5347, Gene2850, Gene7809, Gene5878, Gene1373, Gene6674, Gene794, Gene4563, Gene7850, Gene909, Gene63, Gene7026, Gene6705, Gene7373, Gene1657, Gene9421, Gene1377, Gene3582, Gene6874, Gene2773, Gene2642, Gene5788, Gene7011, Gene4808, Gene6809, Gene501, Gene7461, Gene9073, Gene535, Gene7232, Gene1737, Gene1456, Gene7117, Gene2328, Gene4161, Gene5692, Gene7645, Gene1124, Gene25, Gene7382, Gene9128, Gene6795, Gene7984, Gene2001, Gene9543, Gene9770, Gene5194, Gene6797, Gene5013, Gene2690, Gene3521, Gene6790, Gene8436, Gene3537, Gene3794, Gene9009, Gene8358, Gene9193, Gene7198, Gene8936, Gene3028, Gene4710, Gene6439, Gene6802, Gene7296, Gene7978, Gene2867, Gene3902, Gene5402, Gene7399, Gene6204, Gene6970, Gene2347, Gene8065, Gene5840, Gene2878, Gene7326, Gene9371, Gene7372, Gene6677, Gene4746, Gene921, Gene9114, Gene3575, Gene731, Gene3714, Gene9944, Gene9822, Gene9804, Gene7630, Gene387, Gene1159, Gene7005, Gene5215, Gene5177, Gene2224, Gene2739, Gene6688, Gene7265, Gene5848, Gene4246, Gene7186, Gene9535, Gene6037, Gene9034, Gene9660, Gene863, Gene2792, Gene7888, Gene2858, Gene3115, Gene2031, Gene6667, Gene6926, Gene6144, Gene3866, Gene8092, Gene1027, Gene9886, Gene9867, Gene9083, Gene7757, Gene4776, Gene2634, Gene4471, Gene1472, Gene8640, Gene5413, Gene3893, Gene8664, Gene9942, Gene6239, Gene3513, Gene9569, Gene4513, Gene8433, Gene4734, Gene9684, Gene1848, Gene2714, Gene3629, Gene9835, Gene2314, Gene3432, Gene6653, Gene3990, Gene266, Gene988, Gene7015, Gene3758, Gene392, Gene7129, Gene3940, Gene1023, Gene3935, Gene9016, Gene5949, Gene9410, Gene7472, Gene8309, Gene3459, Gene3639, Gene9005, Gene9692, Gene5251, Gene9444, Gene2986, Gene8726, Gene4527, Gene7922, Gene7722, Gene2358, Gene8011, Gene215, Gene682, Gene5464, Gene30, Gene865, Gene5876, Gene4898, Gene3696, Gene3251, Gene3485, Gene3643, Gene1653, Gene3262, Gene6254, Gene4173, Gene8202, Gene6870, Gene8988, Gene1446, Gene6218, Gene4469, Gene9183, Gene8650, Gene1079, Gene5834, Gene3500, Gene3267, Gene5650, Gene9842, Gene8722, Gene2943, Gene1629, Gene9469, Gene2541, Gene8579, Gene4975, Gene3268, Gene6120, Gene3850, Gene7522, Gene7048, Gene5968, Gene9123, Gene7944, Gene3637, Gene2107, Gene1570, Gene5369, Gene5289, Gene6253, Gene4842, Gene6042, Gene5275, Gene7304, Gene9063, Gene8103, Gene8638, Gene199, Gene6228, Gene8752, Gene8861, Gene409, Gene7716, Gene6352, Gene9459, Gene2897, Gene6593, Gene3705, Gene9914, Gene1268, Gene4719, Gene5447, Gene6272, Gene6326, Gene5727, Gene8377, Gene7218, Gene595, Gene5329, Gene7021, Gene8903, Gene444, Gene5783, Gene1880, Gene776, Gene7897, Gene5080, Gene5001, Gene6222, Gene8445, Gene3404, Gene4475, Gene1480, Gene3862, Gene2138, Gene208, Gene6828, Gene7226, Gene5217, Gene5015, Gene750, Gene3430, Gene5806, Gene9384, Gene5470, Gene3949, Gene2543, Gene1619, Gene8415, Gene829, Gene2682, Gene2979, Gene9396, Gene628"
"3","1","1252","down","62","Gene6973, Gene9822, Gene2921, Gene1135, Gene8588, Gene864, Gene6201, Gene2716, Gene4648, Gene5359, Gene5166, Gene4628, Gene4406, Gene4749, Gene608, Gene595, Gene3814, Gene3922, Gene3651, Gene2572, Gene5916, Gene5765, Gene163, Gene4478, Gene4935, Gene6487, Gene4197, Gene7890, Gene9063, Gene1071, Gene5136, Gene126, Gene2711, Gene6489, Gene7544, Gene2946, Gene3432, Gene8927, Gene6607, Gene3902, Gene1190, Gene3901, Gene5953, Gene6272, Gene5565, Gene2171, Gene6593, Gene1637, Gene597, Gene9985, Gene8436, Gene9453, Gene8676, Gene3092, Gene921, Gene9128, Gene5211, Gene863, Gene7372, Gene3157, Gene628, Gene9590"
"4","2","1150","down","73","Gene8588, Gene7015, Gene9548, Gene8954, Gene9683, Gene1092, Gene5211, Gene6675, Gene8468, Gene5233, Gene59, Gene2534, Gene1835, Gene7372, Gene5670, Gene5045, Gene577, Gene5152, Gene3729, Gene3495, Gene7093, Gene3642, Gene3776, Gene7365, Gene1450, Gene4271, Gene7290, Gene4883, Gene3063, Gene6019, Gene550, Gene8313, Gene886, Gene7537, Gene4563, Gene3087, Gene5448, Gene4704, Gene5182, Gene2984, Gene102, Gene9525, Gene9099, Gene9590, Gene1536, Gene2505, Gene8936, Gene8861, Gene824, Gene4347, Gene5611, Gene6517, Gene5359, Gene2305, Gene8595, Gene2826, Gene7720, Gene3459, Gene912, Gene2794, Gene2714, Gene1848, Gene5015, Gene3723, Gene6782, Gene8076, Gene9224, Gene1032, Gene1598, Gene8642, Gene7791, Gene628, Gene4935"
"5","3","774","down","217","Gene2171, Gene6653, Gene8927, Gene7372, Gene628, Gene6674, Gene142, Gene4648, Gene3582, Gene1026, Gene6070, Gene9590, Gene4652, Gene3304, Gene9342, Gene5166, Gene9322, Gene6404, Gene1135, Gene7791, Gene5668, Gene1921, Gene1499, Gene3651, Gene6201, Gene6522, Gene59, Gene9390, Gene3998, Gene2121, Gene6489, Gene804, Gene9406, Gene9695, Gene7701, Gene5502, Gene7845, Gene921, Gene1837, Gene4478, Gene163, Gene4611, Gene2503, Gene4749, Gene3814, Gene863, Gene2338, Gene1092, Gene2921, Gene5359, Gene6795, Gene8076, Gene8652, Gene731, Gene829, Gene5227, Gene9451, Gene2826, Gene9482, Gene2706, Gene4935, Gene5552, Gene9295, Gene2734, Gene1466, Gene1671, Gene7295, Gene7254, Gene2572, Gene2794, Gene4619, Gene422, Gene3922, Gene1071, Gene577, Gene5616, Gene608, Gene9989, Gene3274, Gene9867, Gene1598, Gene8781, Gene188, Gene8165, Gene864, Gene2984, Gene8016, Gene6487, Gene3168, Gene1541, Gene9475, Gene597, Gene2582, Gene6782, Gene3328, Gene838, Gene4197, Gene2946, Gene3123, Gene2237, Gene1878, Gene7544, Gene4628, Gene9109, Gene5977, Gene1032, Gene5953, Gene6019, Gene2858, Gene4572, Gene2716, Gene4710, Gene3901, Gene3157, Gene6607, Gene126, Gene4405, Gene595, Gene1637, Gene1345, Gene9822, Gene8478, Gene165, Gene3521, Gene9413, Gene8366, Gene7890, Gene7656, Gene9224, Gene3336, Gene7720, Gene5219, Gene5834, Gene344, Gene9953, Gene9646, Gene2482, Gene3251, Gene8182, Gene4027, Gene4087, Gene8123, Gene8748, Gene9444, Gene7537, Gene6463, Gene1190, Gene5013, Gene1536, Gene9371, Gene5565, Gene3794, Gene1561, Gene9215, Gene3667, Gene2818, Gene7473, Gene1079, Gene8642, Gene9496, Gene4807, Gene3312, Gene2570, Gene4776, Gene7182, Gene9396, Gene9772, Gene8266, Gene9985, Gene5136, Gene8882, Gene1942, Gene1284, Gene6239, Gene7757, Gene2024, Gene3516, Gene6704, Gene1592, Gene3876, Gene9128, Gene2001, Gene7978, Gene7535, Gene2598, Gene3432, Gene9039, Gene6082, Gene4060, Gene2157, Gene794, Gene2369, Gene909, Gene9546, Gene9326, Gene1817, Gene1653, Gene5840, Gene4980, Gene5464, Gene7733, Gene2986, Gene1826, Gene9716, Gene4898, Gene4347, Gene8277, Gene2792, Gene6230, Gene809, Gene8588, Gene7557, Gene1803, Gene3896, Gene2839, Gene6870, Gene3780"
"6","4","740","down","249","Gene8468, Gene8954, Gene9683, Gene7537, Gene7720, Gene6675, Gene5233, Gene7290, Gene1032, Gene2534, Gene4347, Gene1835, Gene4704, Gene1450, Gene9543, Gene3729, Gene7093, Gene7365, Gene3642, Gene4883, Gene4563, Gene8588, Gene3948, Gene4271, Gene3495, Gene3063, Gene59, Gene422, Gene8266, Gene5448, Gene5977, Gene8740, Gene102, Gene8262, Gene4935, Gene8595, Gene1541, Gene4711, Gene5670, Gene577, Gene3940, Gene5765, Gene6517, Gene8386, Gene5166, Gene6272, Gene1072, Gene5029, Gene5771, Gene4922, Gene5568, Gene6797, Gene864, Gene550, Gene5182, Gene4856, Gene6201, Gene574, Gene2946, Gene4125, Gene608, Gene2714, Gene9151, Gene663, Gene1190, Gene8436, Gene3362, Gene5211, Gene3780, Gene5878, Gene2744, Gene8165, Gene6883, Gene4749, Gene918, Gene1135, Gene8275, Gene5620, Gene2505, Gene3850, Gene533, Gene6337, Gene4161, Gene7110, Gene1499, Gene3513, Gene2794, Gene1921, Gene8640, Gene6487, Gene1456, Gene6019, Gene2482, Gene1466, Gene3123, Gene7451, Gene8776, Gene5045, Gene6439, Gene7326, Gene4255, Gene2850, Gene9953, Gene1592, Gene1199, Gene4813, Gene6970, Gene5054, Gene9695, Gene2473, Gene912, Gene7192, Gene5217, Gene4122, Gene1848, Gene824, Gene9234, Gene5611, Gene5275, Gene5015, Gene6070, Gene9410, Gene9770, Gene3922, Gene9842, Gene2984, Gene2826, Gene9067, Gene2157, Gene25, Gene6230, Gene7333, Gene9497, Gene163, Gene8377, Gene4628, Gene4648, Gene3079, Gene4578, Gene654, Gene9590, Gene6607, Gene9371, Gene2921, Gene8433, Gene3637, Gene843, Gene7890, Gene2741, Gene3336, Gene1262, Gene3723, Gene6059, Gene6144, Gene9985, Gene9773, Gene402, Gene1206, Gene1878, Gene4415, Gene7198, Gene7535, Gene9039, Gene1025, Gene3825, Gene7941, Gene1067, Gene3866, Gene7472, Gene1472, Gene9063, Gene3851, Gene3485, Gene8988, Gene8882, Gene2049, Gene7645, Gene1890, Gene682, Gene9073, Gene9716, Gene1474, Gene909, Gene7999, Gene1619, Gene1880, Gene4027, Gene4246, Gene9867, Gene1803, Gene9050, Gene371, Gene3115, Gene4952, Gene5396, Gene4710, Gene5848, Gene9101, Gene4898, Gene8072, Gene5727, Gene126, Gene3108, Gene1124, Gene3901, Gene3430, Gene6218, Gene8520, Gene2986, Gene1637, Gene7021, Gene6667, Gene5637, Gene6463, Gene4559, Gene63, Gene1071, Gene8103, Gene9224, Gene6926, Gene3312, Gene9376, Gene3537, Gene9474, Gene215, Gene8642, Gene5120, Gene5949, Gene4719, Gene8424, Gene1976, Gene2543, Gene5470, Gene6782, Gene2328, Gene5953, Gene5753, Gene9569, Gene5565, Gene8076, Gene3814, Gene1837, Gene9475, Gene597, Gene6082, Gene794, Gene5136, Gene9128, Gene628"
"7","5","616","down","151","Gene8068, Gene3274, Gene5227, Gene7011, Gene7890, Gene142, Gene5765, Gene5177, Gene864, Gene1499, Gene434, Gene5916, Gene1553, Gene7270, Gene3922, Gene9326, Gene6201, Gene1921, Gene3948, Gene8468, Gene8676, Gene608, Gene778, Gene1135, Gene2921, Gene2904, Gene5359, Gene4423, Gene5045, Gene4749, Gene1451, Gene731, Gene2572, Gene250, Gene626, Gene7982, Gene8227, Gene163, Gene6014, Gene8954, Gene1082, Gene1541, Gene630, Gene7544, Gene8729, Gene3123, Gene8165, Gene6487, Gene5674, Gene574, Gene5620, Gene9822, Gene1835, Gene7720, Gene1190, Gene9683, Gene2946, Gene1337, Gene4935, Gene4246, Gene1032, Gene4197, Gene5015, Gene8520, Gene2716, Gene2171, Gene7322, Gene6607, Gene989, Gene4648, Gene1302, Gene6463, Gene9132, Gene8386, Gene8266, Gene4628, Gene3336, Gene3892, Gene4478, Gene9271, Gene7557, Gene6663, Gene5136, Gene188, Gene3798, Gene8436, Gene4157, Gene5347, Gene3651, Gene5977, Gene2850, Gene3639, Gene2582, Gene4027, Gene1637, Gene3814, Gene4585, Gene9042, Gene5234, Gene7373, Gene654, Gene3432, Gene3901, Gene9985, Gene9569, Gene1724, Gene3312, Gene1803, Gene6230, Gene9023, Gene4799, Gene1071, Gene4271, Gene4790, Gene1592, Gene4952, Gene7535, Gene9114, Gene9716, Gene6082, Gene9989, Gene8776, Gene577, Gene7451, Gene5953, Gene7537, Gene8882, Gene9497, Gene809, Gene1878, Gene409, Gene126, Gene9520, Gene9942, Gene2157, Gene1837, Gene2764, Gene3780, Gene59, Gene9128, Gene5949, Gene7005, Gene8588, Gene5565, Gene1880, Gene2024, Gene344, Gene794, Gene6782, Gene628, Gene9590"
"8","6","550","down","178","Gene3642, Gene4478, Gene8676, Gene5670, Gene7438, Gene630, Gene213, Gene4197, Gene5765, Gene2921, Gene6973, Gene5102, Gene864, Gene5916, Gene3651, Gene3798, Gene3729, Gene3714, Gene5359, Gene2682, Gene9406, Gene6070, Gene4829, Gene3758, Gene162, Gene5136, Gene626, Gene4762, Gene1921, Gene731, Gene1619, Gene2582, Gene126, Gene912, Gene9683, Gene2422, Gene1135, Gene2572, Gene3667, Gene7322, Gene9695, Gene1278, Gene4347, Gene6912, Gene163, Gene6201, Gene6284, Gene7290, Gene1466, Gene8729, Gene7415, Gene1759, Gene608, Gene5177, Gene1082, Gene2634, Gene8068, Gene3495, Gene9371, Gene3948, Gene3392, Gene5583, Gene1337, Gene9543, Gene1127, Gene5620, Gene7365, Gene8070, Gene9703, Gene2706, Gene8370, Gene447, Gene3274, Gene5015, Gene9822, Gene6989, Gene4271, Gene4166, Gene7544, Gene2716, Gene9224, Gene4484, Gene2534, Gene408, Gene6675, Gene2598, Gene6517, Gene6874, Gene5448, Gene7647, Gene188, Gene5347, Gene5152, Gene7093, Gene5166, Gene4749, Gene8366, Gene7001, Gene6487, Gene8740, Gene9093, Gene4563, Gene8954, Gene5080, Gene4883, Gene371, Gene9496, Gene102, Gene9295, Gene3459, Gene7682, Gene3252, Gene4354, Gene809, Gene422, Gene5481, Gene3350, Gene402, Gene3492, Gene4648, Gene6351, Gene4628, Gene1722, Gene5233, Gene5217, Gene7537, Gene7, Gene6607, Gene142, Gene3336, Gene7944, Gene3940, Gene415, Gene7270, Gene5700, Gene2667, Gene8262, Gene5701, Gene3850, Gene111, Gene5579, Gene1637, Gene9646, Gene3432, Gene9746, Gene3922, Gene550, Gene8561, Gene9942, Gene1803, Gene2152, Gene3814, Gene4799, Gene6463, Gene2915, Gene3901, Gene2451, Gene663, Gene1835, Gene3552, Gene2265, Gene6082, Gene6059, Gene4239, Gene574, Gene1071, Gene4898, Gene5565, Gene9867, Gene7005, Gene7850, Gene5953, Gene9548, Gene1472, Gene9985, Gene597, Gene2946, Gene9128"
"9","7","425","up","3","Gene628, Gene9590, Gene2826"
"10","7","425","down","644","Gene2706, Gene6780, Gene7372, Gene6019, Gene6404, Gene2794, Gene2121, Gene4652, Gene9342, Gene8954, Gene9322, Gene9451, Gene5502, Gene3304, Gene8076, Gene3998, Gene4255, Gene6522, Gene577, Gene142, Gene4343, Gene3651, Gene2984, Gene8927, Gene6782, Gene4611, Gene2503, Gene213, Gene5670, Gene2505, Gene7094, Gene1598, Gene3168, Gene1671, Gene829, Gene9000, Gene921, Gene7701, Gene4648, Gene9703, Gene8386, Gene1092, Gene2818, Gene6070, Gene8781, Gene3392, Gene2734, Gene5233, Gene4478, Gene8468, Gene6489, Gene8642, Gene863, Gene9406, Gene6973, Gene6790, Gene838, Gene7791, Gene59, Gene9295, Gene9646, Gene6011, Gene5765, Gene1345, Gene4922, Gene5472, Gene4572, Gene5227, Gene4087, Gene5611, Gene2237, Gene1897, Gene9543, Gene3723, Gene5551, Gene2024, Gene9413, Gene1835, Gene1942, Gene7014, Gene8016, Gene1054, Gene3521, Gene5120, Gene5753, Gene3811, Gene3274, Gene4197, Gene3798, Gene595, Gene3350, Gene6291, Gene4980, Gene7333, Gene3328, Gene8921, Gene6431, Gene6704, Gene9396, Gene2714, Gene5579, Gene3063, Gene1561, Gene2338, Gene9349, Gene4761, Gene4796, Gene1071, Gene9683, Gene5616, Gene482, Gene9115, Gene9215, Gene188, Gene4632, Gene1284, Gene7656, Gene5219, Gene4405, Gene9546, Gene8836, Gene3948, Gene9365, Gene3814, Gene1079, Gene5027, Gene3876, Gene9444, Gene597, Gene8458, Gene8478, Gene481, Gene6797, Gene9945, Gene8640, Gene9695, Gene3157, Gene8277, Gene2218, Gene2570, Gene2882, Gene2422, Gene1135, Gene5834, Gene2203, Gene2369, Gene681, Gene881, Gene1536, Gene8161, Gene7182, Gene1976, Gene6239, Gene9678, Gene5152, Gene9722, Gene163, Gene2921, Gene9482, Gene2582, Gene5846, Gene9475, Gene2123, Gene3495, Gene5359, Gene981, Gene3896, Gene4807, Gene7733, Gene9579, Gene9306, Gene9989, Gene4762, Gene6160, Gene4905, Gene162, Gene9296, Gene6829, Gene7695, Gene7873, Gene1882, Gene2347, Gene8497, Gene3251, Gene963, Gene620, Gene6675, Gene5464, Gene4060, Gene439, Gene4183, Gene3794, Gene4585, Gene2556, Gene1848, Gene5194, Gene1072, Gene2534, Gene673, Gene1845, Gene782, Gene9224, Gene8810, Gene5071, Gene685, Gene8465, Gene6195, Gene9428, Gene4981, Gene5046, Gene3922, Gene7093, Gene9233, Gene692, Gene7978, Gene1788, Gene7757, Gene5565, Gene7502, Gene126, Gene3758, Gene1759, Gene1653, Gene4203, Gene9751, Gene7940, Gene6201, Gene5552, Gene2701, Gene8952, Gene540, Gene4110, Gene8366, Gene4953, Gene8100, Gene7751, Gene8527, Gene1921, Gene1216, Gene532, Gene91, Gene1499, Gene3993, Gene9023, Gene1826, Gene3433, Gene9496, Gene1296, Gene7647, Gene3364, Gene6517, Gene6813, Gene4114, Gene8050, Gene2381, Gene2568, Gene102, Gene4271, Gene5088, Gene7290, Gene6907, Gene614, Gene4749, Gene4482, Gene7750, Gene1127, Gene1050, Gene7365, Gene1877, Gene3078, Gene2343, Gene3667, Gene1935, Gene9853, Gene3784, Gene2346, Gene9668, Gene4563, Gene3044, Gene5620, Gene2640, Gene5166, Gene9660, Gene4883, Gene729, Gene4776, Gene6189, Gene9714, Gene2462, Gene7254, Gene1927, Gene8737, Gene1817, Gene1377, Gene3513, Gene5017, Gene4813, Gene8532, Gene2450, Gene2171, Gene344, Gene9343, Gene5255, Gene2031, Gene9773, Gene3917, Gene821, Gene2598, Gene4475, Gene2876, Gene949, Gene2572, Gene7055, Gene9130, Gene1270, Gene8370, Gene2760, Gene9752, Gene5668, Gene5953, Gene1172, Gene6391, Gene5275, Gene5768, Gene629, Gene9256, Gene8424, Gene2667, Gene2879, Gene8104, Gene9410, Gene2605, Gene7415, Gene7489, Gene4125, Gene7405, Gene7699, Gene1931, Gene6836, Gene2634, Gene3869, Gene1069, Gene4043, Gene1466, Gene743, Gene5583, Gene194, Gene1155, Gene3033, Gene4013, Gene6560, Gene6487, Gene3959, Gene3937, Gene2536, Gene9962, Gene1332, Gene8748, Gene4711, Gene7556, Gene8721, Gene4926, Gene7544, Gene1336, Gene1444, Gene5771, Gene8736, Gene4829, Gene4602, Gene1017, Gene4479, Gene4263, Gene5102, Gene3360, Gene8892, Gene3776, Gene2647, Gene9008, Gene8638, Gene6101, Gene3079, Gene9429, Gene4000, Gene4907, Gene6255, Gene9565, Gene550, Gene4729, Gene7843, Gene7371, Gene5448, Gene2047, Gene1325, Gene3575, Gene8814, Gene9500, Gene6596, Gene4560, Gene8668, Gene5613, Gene5136, Gene1067, Gene6096, Gene1207, Gene436, Gene5582, Gene2980, Gene5139, Gene4123, Gene1400, Gene2449, Gene6722, Gene4900, Gene8375, Gene511, Gene9028, Gene3696, Gene9994, Gene2049, Gene310, Gene5664, Gene1837, Gene8250, Gene4276, Gene3729, Gene4361, Gene3990, Gene3940, Gene8262, Gene9274, Gene548, Gene7326, Gene4945, Gene9123, Gene3773, Gene7530, Gene9113, Gene3825, Gene3123, Gene4628, Gene8873, Gene6059, Gene992, Gene9822, Gene1450, Gene5204, Gene6463, Gene6055, Gene8704, Gene7018, Gene4821, Gene2635, Gene1785, Gene3324, Gene8774, Gene5182, Gene1970, Gene6048, Gene418, Gene7497, Gene954, Gene1414, Gene2541, Gene1249, Gene4583, Gene4848, Gene2394, Gene809, Gene7134, Gene7878, Gene750, Gene9887, Gene9519, Gene3527, Gene4027, Gene3014, Gene5013, Gene5217, Gene3465, Gene3430, Gene7633, Gene5401, Gene2716, Gene8494, Gene9370, Gene1637, Gene350, Gene2979, Gene4421, Gene2791, Gene745, Gene1853, Gene7734, Gene4468, Gene593, Gene8561, Gene402, Gene215, Gene875, Gene5342, Gene8801, Gene6351, Gene6330, Gene8407, Gene1971, Gene592, Gene3901, Gene1446, Gene8919, Gene8000, Gene270, Gene8843, Gene8337, Gene6996, Gene4246, Gene1905, Gene6607, Gene6874, Gene329, Gene4699, Gene5195, Gene8332, Gene6082, Gene1866, Gene977, Gene5764, Gene1880, Gene30, Gene814, Gene4406, Gene7894, Gene2001, Gene5571, Gene5840, Gene4327, Gene6222, Gene794, Gene6995, Gene6186, Gene2451, Gene608, Gene199, Gene8956, Gene7890, Gene8455, Gene5531, Gene5704, Gene4738, Gene462, Gene3570, Gene7275, Gene2573, Gene7824, Gene6628, Gene5092, Gene5197, Gene5512, Gene8595, Gene711, Gene1360, Gene7265, Gene663, Gene912, Gene5822, Gene2198, Gene1430, Gene24, Gene2405, Gene6043, Gene2437, Gene1940, Gene1878, Gene1576, Gene111, Gene8402, Gene4887, Gene3862, Gene3594, Gene2542, Gene630, Gene1397, Gene5878, Gene2339, Gene4469, Gene6967, Gene9469, Gene4480, Gene3336, Gene5727, Gene7557, Gene9311, Gene6401, Gene8474, Gene5084, Gene7106, Gene2744, Gene8625, Gene4144, Gene248, Gene6593, Gene3852, Gene7490, Gene9702, Gene574, Gene864, Gene4885, Gene6144, Gene7153, Gene1800, Gene4030, Gene2944, Gene3485, Gene6903, Gene8167, Gene1262, Gene2445, Gene8070, Gene4759, Gene8495, Gene5580, Gene3096, Gene2553, Gene1980, Gene3075, Gene2764, Gene6870, Gene8433, Gene3312, Gene6828, Gene6272, Gene9953, Gene6653, Gene4746, Gene1720, Gene8436, Gene6256, Gene6927, Gene4298, Gene9548, Gene5806, Gene9985, Gene6970, Gene4935, Gene2946"
