,cluster,#genes,genes
0,1,218,"hbae3, LOC100334599, hbbe3, elavl3, krt4, otpa, cyt1l, gadd45gb.1, LOC797032, hbbe2, krt8, LOC103911087, elavl4, dct, fabp11a, LOC100003669, phox2bb, col1a1a, cldni, vim, fmoda, myl10, ca2, tmsb4x, lmo2, egr2b, cyp26b1, neurod1, hapln1a, otpb, slc45a2, insm1b, insm1a, mafba, dlx1a, fhl2a, gsx1, gch2, prdm12b, tgfbi, scrt2, fosab, pvalb8, postnb, sox10, her2, LOC100534909, drgx, col1a1b, pmelb, wu:fc01d11, nansb, egfl7, gsx2, dlx2a, onecutl, her15.1, zgc:85866, id1, cyp26c1, myl13, mdka, col11a1a, pmela, akr1b1, neurod4, tnnt2a, junbb, slc1a3a, nhlh2, col1a2, actb1, ednrab, her12, her6, zgc:158291, cplx2l, atf3, tpm4a, pmp22a, bhlhe40, LOC103910167, gap43, neurog1, LOC103908616, hand2, ascl1a, sox4a, zgc:162730, LOC100001360, jag1a, prtga, tuba1c, her4.3, rgs2, col2a1b, arpc1b, lrrn1, ctgfa, sparc, olig2, tuba1a, LOC798927, wu:fj16a03, uncx, bmp5, lmx1ba, h1f0, eya2, nova2, col4a5, zfp36l1a, cmyb, fli1a, gcm2, eppk1, LOC103910930, emp2, mitfa, jun, wu:fb77a09, si:ch211-67e16.11, foxg1a, cldn1, pitx3, cldn5b, si:ch211-201m7.3, sox4b, stxbp1a, ucmaa, ntn1a, LOC103911021, hmp19, slit2, foxn4, sp8a, epha4a, dusp5, nrn1a, hmx3a, her9, ebf2, nkx6.1, p4ha1b, pou3f1, col15a1b, clu, cebpa, zgc:86896, pax2a, alcama, h1fx, bhlhe22, rpe65a, ndrg3a, rab11bb, cbx7a, igfbp2a, sult2st1, fgfr3, serpinh1a, actn1, sdprb, LOC101882446, lama5, zgc:77517, prdm16, vcana, actb2, atp1a3a, crabp2a, klf6a, cthrc1a, atp1a1a.4, six6b, sfrp2, zgc:110283, nkx2.7, rps2, sox21a, zgc:158328, sulf2b, cd81a, meis3, oc90, ywhag2, stmn2b, dlx5a, ascl1b, matn4, epha7, rtn1a, LOC100536415, rplp1, pbld2, vcanb, hey1, col5a3a, igfbp1a, LOC103910332, isl2a, angptl4, chac1, celf3a, LOC101885082, cnn2, junba, col7a1l, LOC103909023, zbtb16a, tubb5, ptgs2a, ankrd39, olig3, pleca, tfap2b, hoxc4a, dag1"
1,17,28,"hbbe1.1, dlb, rbfox1l, krt5, tyrp1b, spon1b, wu:fc46h12, ca15a, tmem88a, ebf3, pcolcea, fezf1, si:zfos-2330d3.3, b3gnt5a, nkx2.9, si:dkey-222f2.1, nkx2.2b, LOC103909385, vamp2, eng2a, fstl1a, gng3, hmx4, LOC100149066, sfrp5, si:ch211-255p10.3, tm6sf2, hoxc13a"
2,9,47,"si:ch211-5k11.12, cyt1, icn2, zgc:193505, tnnc2, acta1b, acta1a, atp1b1b, hsp90aa1.1, aldoab, dla, LOC100538028, olig4, zgc:86709, zgc:109868, hfe2, thbs4b, LOC563393, atp2a1, nexn, onecut1, pah, fabp7a, sox18, tmsb, nkx6.2, si:ch211-251b21.1, anxa1b, cbfa2t3, zgc:114181, six3b, si:dkey-12l12.1, flncb, cdh6, camk2d2, mab21l1, six1b, isl1, pax6b, si:ch211-156j16.1, kpna2, si:dkey-85k7.7, meis2b, ak1, scg3, plod1a, mdkb"
3,11,42,"si:ch211-5k11.2, hbae1, krt91, anxa1c, aqp1a.1, vwde, mpeg1.1, ppm1j, mllt11, col9a2, foxa1, nr5a2, hist1h4l, cdh17, LOC571582, col9a3, igf2b, zgc:195075, flt4, LOC103908893, epb41b, hhex, fxyd2, LOC101885270, LOC103912061, grem2, and1, tbcelb, LOC101886664, LOC101884537, LOC103911935, grem2b, LOC101884521, atp6v1c1b, LOC100005614, nog2, LOC103910427, col9a1a, tmem8a, itpr3, LOC101886495, LOC101886690"
4,12,41,"MGC173646, mfap4, zgc:110712, zgc:173915, cfd, loxl5b, zgc:110333, LOC100331195, LOC100003868, LOC103909690, LOC101883507, LOC103909354, ch25hl1.2, fgf20b, trpv6, LOC559461, crhbp, fam217b, LOC103909644, isg15, wu:fi38e05, oxgr1a.1, zgc:194930, si:ch211-210b2.1, zgc:194209, stxbp1b, zgc:194948, LOC101886714, LOC799039, LOC100535225, pax9, zgc:172122, LOC100330452, LOC101886296, LOC101885587, plekha8, ehf, LOC103909012, ap5s1, LOC101884390, LOC103911171"
5,6,76,"hm:zewp0073, actc1a, MGC174155, si:dkey-26g8.4, zgc:174855, wu:fa26c03, si:dkey-269i1.3, si:dkey-239j18.3, wu:fb36g12, ntd5, LOC100537766, msgn1, LOC100536033, tagln2, fzd8b, apoc1l, tnnt1, fn1a, fn1b, apoeb, kcnj1a.3, mylz3, gfi1aa, szl, ttna, tfa, aldh1a2, ttnb, pitx2, rbm24a, cdx4, hspb1, shha, smyd1b, si:ch211-152c2.3, rdh10a, LOC101886965, si:ch211-163l21.8, foxd3, si:dkey-103d23.5, LOC101884747, cdx1a, ripply1, dld, eve1, LOC101885036, sp5l, si:ch211-152f23.5, prdm1a, id3, cxcl12a, myf5, unc45b, foxa2, six7, shhb, gpr182, gata5, cx43.4, akap12b, foxc1a, xbp1, dynll1, tbx1, zgc:194678, si:ch211-202h22.8, LOC100332070, tmx2a, lmo4a, zic2a, fgf8a, LOC101885197, otx1b, foxi1, LOC103909079, ugt8"
6,25,22,"he1a, he1b, myl1, si:dkey-261h17.1, rx3, ckma, tmem38a, klhl41b, si:ch1073-110a20.1, crestin, phox2a, mafa, hbaa1, serpinh1b, tfap2a, dlx3b, si:ch211-131k2.3, her3, LOC556668, LOC103910004, gpm6ab, trim63a"
7,3,142,"nanos3, LOC101885394, zgc:158463, dnd1, LOC101882117, zgc:77118, aplnrb, cfl1l, gmnn, si:dkey-261j4.4, si:ch211-241j12.3, gb:am422109, LOC103910762, nmnat1, gtf3ab, LOC103911058, f13a1b, si:rp71-45k5.2, pm20d1.1, blf, wbp1lb, ddx4, ccnb2, znrf2b, drl, LOC100148648, LOC101882814, LOC101885531, hel-dr5, LOC100330497, ifnlr1, exd1, sox19b, zgc:112531, si:dkeyp-98a7.5, snapc1a, si:ch211-132b12.8, zgc:153352, LOC103911445, ccnb1, si:ch73-303b9.1, alox5b.3, foxa, gal3st3, tram1, LOC101885485, gyg1a, zgc:114123, si:ch211-235e9.8, npdc1, si:ch211-160d20.3, aqp9b, tmem150ab, kpna7, si:ch211-145c1.1, zgc:55413, zgc:174712, zgc:56231, gig2o, si:ch211-250e5.16, p4hb, im:7136940, acap3b, zgc:113293, tbx16, LOC103911695, LOC100537074, her5, tbpl2, LOC100006634, si:dkeyp-46h3.8, klf17, zar1l, si:dkey-30h22.11, LOC100331689, ctdspl2b, cpeb1b, LOC103911844, zgc:113425, ccne1, LOC100149388, c17h15orf52, LOC570474, zgc:66432, grem1a, LOC100538023, LOC100537088, si:dkey-241l7.2, LOC563918, LOC100149164, LOC100538025, rnf126, si:dkey-261j4.3, sinup, sntg2, si:dkeyp-98a7.4, fam113, si:ch73-95l15.3, si:dkey-30j22.5, tdrd5, tob1a, org, rnf146, pkn1b, LOC101883616, rad21l1, LOC100002545, LOC103910255, taf4b, specc1, LOC562104, LOC797085, adck5, LOC100535504, hsd17b8, LOC101882447, LOC100334925, rxfp2b, LOC101882011, p2rx4a, zcchc11, cdca7a, si:ch211-265o23.1, znf653, LOC100535338, mos, LOC100004917, LOC100538256, LOC101885302, si:ch73-116f3.3, cxcl11.8, LOC563328, tbc1d9, snx33, zar1, si:ch211-14a17.6, si:rp71-56i13.6, thop1, LOC101883310, LOC100329742, ppp1r3g, trmt6"
8,16,29,"LOC100006216, lye, LOC100334652, ta, alas2, LOC557268, frzb, tbx24, sox32, pou5f3, foxa3, gsc, ripply2, tbx6, marcksl1b, calr3b, gid8b, stm, lft2, cyp26a1, lamtor1, lft1, admp, ved, shisa2, LOC103909127, rbm38, lhx1a, jam2a"
9,13,39,"foxi3a, LOC793940, myl7, helt, rem2, si:xx-by187g17.1, gata1a, LOC101882859, LOC101884382, mcf2la, pdgfc, LOC103910476, sst2, LOC556422, LOC101885640, olfm2a, LOC101886565, LOC101885536, si:dkey-47k20.1, or106-5, stoml3b, LOC103911566, b3gnt2l, spryd7a, si:dkey-261e22.4, LOC100150584, LOC101885280, klhdc1, si:ch211-272h9.3, LOC101883587, si:ch73-7i4.2, si:dkey-251i10.2, LOC100332343, LOC101886928, zgc:66156, alox5b.2, LOC100148249, ankrd29, wu:fc46e01"
