,cluster,#genes,genes
0,2,154,"hbae3, LOC100334599, si:ch211-5k11.12, krt4, otpa, LOC569335, cyt1, cyt1l, icn, gadd45gb.1, LOC797032, icn2, hbbe2, krt8, zgc:193505, LOC103911087, elavl4, fabp11a, acta1a, cldni, vim, krt5, hsp90aa1.1, fmoda, aldoab, myl10, ca2, lmo2, egr2b, cyp26b1, neurod1, otpb, slc45a2, sost, insm1b, insm1a, si:dkey-152p16.6, dlx1a, dla, LOC100538028, gsx1, prdm12b, pvalb8, postnb, ponzr5, zgc:109868, pmelb, wu:fc01d11, nansb, gsx2, dlx2a, onecutl, hfe2, id1, myl13, pmela, neurod4, tnnt2a, thbs4b, LOC563393, nhlh2, actb1, ednrab, atp2a1, eng2b, cplx2l, nexn, onecut1, gap43, neurog1, hand2, fabp7a, LOC100001360, sox18, tmsb, rgs2, nkx6.2, arpc1b, ctgfa, sparc, olig2, si:ch211-251b21.1, anxa1b, cbfa2t3, bmp5, lmx1ba, zgc:114181, eya2, nova2, cmyb, fli1a, si:dkey-12l12.1, gcm2, LOC103910930, flncb, mitfa, LOC101886860, wu:fb77a09, camk2d2, foxg1a, cldn5b, agrp, sox4b, stxbp1a, ucmaa, ntn1a, mab21l1, epha4a, nrn1a, nkx6.1, pou3f1, six1b, col15a1b, clu, cebpa, zgc:86896, isl1, bhlhe22, rab11bb, igfbp2a, LOC101882446, pax6b, vcana, atp1a3a, cthrc1a, six6b, zgc:110283, sox21a, zgc:158328, si:ch211-156j16.1, meis3, kpna2, ywhag2, stmn2b, dlx5a, ascl1b, rtn1a, LOC100536415, bmp10, si:dkey-85k7.7, meis2b, plk2b, ucp3, ak1, vcanb, col5a3a, scg3, isl2a, plod1a, mdkb, LOC103909023, ptgs2a, olig3, hoxc4a"
1,21,25,"hbbe1.1, dlb, rbfox1l, tyrp1b, spon1b, wu:fc46h12, ca15a, tmem88a, pcolcea, si:zfos-2330d3.3, b3gnt5a, nkx2.9, si:dkey-222f2.1, hmx3, LOC103909385, vamp2, eng2a, nkx2.5, fstl1a, gng3, hmx4, LOC100149066, si:ch211-255p10.3, tm6sf2, hoxc13a"
2,5,116,"hbbe3, elavl3, dct, LOC100003669, col1a1a, tmsb4x, hapln1a, mafba, fhl2a, gch2, tgfbi, scrt2, fosab, sox10, her2, LOC100534909, drgx, col1a1b, egfl7, her15.1, zgc:85866, cyp26c1, mdka, col11a1a, akr1b1, junbb, slc1a3a, col1a2, her12, her6, zgc:158291, atf3, tpm4a, pmp22a, bhlhe40, LOC103910167, LOC103908616, ascl1a, sox4a, zgc:162730, jag1a, prtga, tuba1c, her4.3, col2a1b, lrrn1, tuba1a, LOC798927, wu:fj16a03, uncx, h1f0, col4a5, zfp36l1a, eppk1, emp2, jun, si:ch211-67e16.11, cldn1, pitx3, si:ch211-201m7.3, LOC103911021, hmp19, slit2, foxn4, sp8a, dusp5, hmx3a, her9, ebf2, p4ha1b, kdrl, pax2a, alcama, h1fx, rpe65a, ndrg3a, cbx7a, sult2st1, fgfr3, serpinh1a, actn1, dkk3b, sdprb, lama5, zgc:77517, prdm16, actb2, crabp2a, klf6a, atp1a1a.4, sfrp2, nkx2.7, rps2, sulf2b, cd81a, oc90, matn4, epha7, rplp1, pbld2, hey1, igfbp1a, LOC103910332, angptl4, chac1, celf3a, LOC101885082, cnn2, junba, col7a1l, zbtb16a, tubb5, ankrd39, pleca, tfap2b, dag1"
3,16,32,"si:ch211-5k11.2, hbae1, krt91, anxa1c, aqp1a.1, vwde, mpeg1.1, ppm1j, foxa1, hist1h4l, cdh17, col9a3, igf2b, flt4, epb41b, hhex, fxyd2, LOC103912061, grem2, and1, tbcelb, LOC101886664, LOC101884537, LOC103911935, grem2b, LOC101884521, atp6v1c1b, LOC103910427, tmem8a, itpr3, LOC101886495, LOC101886690"
4,9,48,"MGC173646, mfap4, zgc:110712, zgc:173915, cfd, loxl5b, inab, zgc:110333, LOC100331195, LOC100005689, LOC100003868, LOC103909690, LOC101883507, LOC103909354, mmp24, si:ch211-202h22.9, ch25hl1.2, fgf20b, trpv6, LOC559461, crhbp, fam217b, LOC103909644, isg15, wu:fi38e05, oxgr1a.1, zgc:194930, si:ch211-210b2.1, zgc:194209, stxbp1b, zgc:194948, LOC101886714, LOC799039, LOC100535225, pax9, zgc:172122, LOC100330452, LOC101886296, LOC100006583, LOC101885587, plekha8, onecut3, ehf, pparab, LOC103909012, ap5s1, LOC101884390, LOC103911171"
5,10,47,"hm:zewp0073, actc1a, MGC174155, si:dkey-26g8.4, zgc:174153, zgc:174855, ctslb, ctsl1b, wu:fa26c03, si:dkey-269i1.3, MGC174857, si:dkey-239j18.3, wu:fb36g12, MGC174152, LOC100536033, tagln2, apoc1l, kcnj1a.5, fn1a, apoeb, kcnj1a.3, ttna, agr2, tfa, ttnb, pitx2, cdx4, hspb1, shha, smyd1b, si:ch211-152c2.3, foxd3, LOC101885036, si:ch211-152f23.5, id3, unc45b, six7, shhb, gpr182, xbp1, pnocb, lmo4a, zic2a, fgf8a, LOC101885197, foxi1, ugt8"
6,13,35,"emilin3a, LOC100537803, lcp1, cx43, islr2, LOC100536821, crabp1b, scrt1a, fabp7b, myh7bb, slc12a3, her4.2, LOC100006062, nkx2.2a, itpk1a, dbx1b, sox1b, mcamb, foxd1l, gfap, ecscr, tbx2a, b3gnt7l, klf5b, itpk1, fezf2, pax1a, LOC100150043, lyz, ctsl.1, cryba2b, slc5a8l, zgc:162707, ret, pitx1"
7,20,27,"tnni2b.1, tpma, myog, mylpfa, tnnc2, acta1b, atp1b1b, ckmb, olig4, klhl41b, si:ch1073-110a20.1, zgc:86709, srl, dbx1a, pah, mybphb, cd63, podxl, six3b, cdh6, tp63, hmgn2, txlnbb, rbm47, LOC100536659, casz1, ntn1b"
8,14,35,"LOC100537766, msgn1, fzd8b, ta, frzb, tbx24, szl, aldh1a2, foxa3, rdh10a, LOC101886965, si:ch211-163l21.8, si:dkey-103d23.5, tbx6, cdx1a, marcksl1b, ripply1, eve1, sp5l, stm, cxcl12a, myf5, foxa2, gata5, cx43.4, akap12b, foxc1a, dynll1, tbx1, zgc:194678, si:ch211-202h22.8, LOC100332070, tmx2a, otx1b, LOC103909079"
9,3,146,"nanos3, LOC101885394, zgc:158463, dnd1, LOC101882117, zgc:77118, aplnrb, cfl1l, gmnn, si:dkey-261j4.4, si:ch211-241j12.3, gb:am422109, LOC103910762, nmnat1, gtf3ab, LOC103911058, si:rp71-45k5.2, pm20d1.1, blf, wbp1lb, ddx4, ccnb2, im:6904482, znrf2b, drl, LOC100148648, LOC101882814, LOC101885531, hel-dr5, LOC100330497, ifnlr1, exd1, sox19b, zgc:112531, si:dkeyp-98a7.5, snapc1a, ca7, si:ch211-132b12.8, zgc:153352, LOC103911445, ccnb1, cdca9, si:ch73-303b9.1, alox5b.3, foxa, gal3st3, tram1, LOC101885485, gyg1a, zgc:114123, npdc1, si:ch211-160d20.3, aqp9b, tmem150ab, kpna7, si:ch211-145c1.1, zgc:55413, zgc:174712, zgc:56231, gig2o, si:ch211-250e5.16, p4hb, im:7136940, acap3b, zgc:113293, LOC103911695, LOC100537074, her5, tbpl2, LOC100006634, si:dkeyp-46h3.8, klf17, zar1l, si:dkey-30h22.11, LOC100331689, ctdspl2b, cpeb1b, LOC103911844, si:dkey-93n13.2, zgc:113425, ccne1, LOC100149388, c17h15orf52, LOC570474, zgc:66432, grem1a, LOC100538023, LOC100537088, si:dkey-241l7.2, LOC563918, LOC100149164, LOC100538025, rnf126, si:dkey-261j4.3, sinup, sntg2, si:dkeyp-98a7.4, fam113, si:ch73-95l15.3, si:dkey-30j22.5, tdrd5, tob1a, org, rnf146, pkn1b, LOC101883616, rad21l1, LOC100002545, LOC103910255, taf4b, specc1, LOC562104, LOC797085, adck5, LOC100535504, hsd17b8, zgc:101765, LOC101882447, spint2, LOC100334925, rxfp2b, LOC101882011, p2rx4a, zcchc11, cdca7a, si:ch211-265o23.1, znf653, LOC100535338, mos, LOC100004917, LOC100538256, LOC101885302, si:ch73-116f3.3, cxcl11.8, si:zfos-452g4.1, LOC563328, tbc1d9, snx33, zar1, si:ch211-14a17.6, si:rp71-56i13.6, thop1, LOC101883310, LOC100329742, ppp1r3g, trmt6"
