"cluster","cell_cluster","#cells","up_or_down","#genes","genes"
"1","0","1344","down","61","Gene538, Gene6634, Gene2372, Gene6950, Gene7337, Gene8368, Gene4706, Gene3202, Gene95, Gene8640, Gene2618, Gene5103, Gene185, Gene4530, Gene6134, Gene9668, Gene3198, Gene4607, Gene6643, Gene3291, Gene5837, Gene6071, Gene6107, Gene3937, Gene8094, Gene5524, Gene9739, Gene3364, Gene8299, Gene1854, Gene6812, Gene626, Gene2935, Gene2405, Gene2279, Gene2667, Gene2719, Gene7091, Gene3059, Gene7791, Gene8221, Gene3283, Gene6255, Gene9303, Gene6726, Gene1313, Gene1797, Gene3898, Gene721, Gene8264, Gene4063, Gene4992, Gene2735, Gene4794, Gene6587, Gene7911, Gene8483, Gene2453, Gene7433, Gene484, Gene5443"
"2","1","1211","up","2","Gene185, Gene3202"
"3","1","1211","down","493","Gene8640, Gene4607, Gene5103, Gene95, Gene9472, Gene6643, Gene9779, Gene8080, Gene3291, Gene4706, Gene6134, Gene6107, Gene8395, Gene9298, Gene8411, Gene1403, Gene1265, Gene5684, Gene3246, Gene5619, Gene9518, Gene2460, Gene213, Gene9165, Gene8330, Gene3826, Gene3523, Gene565, Gene4669, Gene551, Gene729, Gene5431, Gene1940, Gene1579, Gene9354, Gene9449, Gene6196, Gene4264, Gene8299, Gene1951, Gene1223, Gene1854, Gene3110, Gene2284, Gene5524, Gene6987, Gene3701, Gene457, Gene7791, Gene8399, Gene2719, Gene6417, Gene460, Gene3292, Gene9746, Gene2405, Gene5888, Gene5683, Gene721, Gene6743, Gene9959, Gene2023, Gene1719, Gene9541, Gene2558, Gene3549, Gene8360, Gene8221, Gene2261, Gene6952, Gene984, Gene3094, Gene1313, Gene1999, Gene5239, Gene6265, Gene9303, Gene5449, Gene1266, Gene1320, Gene1911, Gene5580, Gene5326, Gene388, Gene3364, Gene5222, Gene250, Gene9993, Gene1797, Gene6823, Gene4885, Gene8853, Gene4079, Gene7520, Gene5583, Gene9757, Gene5800, Gene4379, Gene4229, Gene9281, Gene4176, Gene5596, Gene2419, Gene5897, Gene5983, Gene8252, Gene4794, Gene3720, Gene1461, Gene6887, Gene7499, Gene3673, Gene7674, Gene6343, Gene9895, Gene8468, Gene5827, Gene5982, Gene6615, Gene1551, Gene5004, Gene6307, Gene4326, Gene6471, Gene2735, Gene8336, Gene5289, Gene7453, Gene154, Gene3937, Gene32, Gene3212, Gene5156, Gene1537, Gene6623, Gene8541, Gene381, Gene1130, Gene6384, Gene7159, Gene8152, Gene7767, Gene6726, Gene9365, Gene3889, Gene8735, Gene8993, Gene5837, Gene8, Gene1249, Gene7421, Gene2453, Gene78, Gene7482, Gene6601, Gene8899, Gene7924, Gene9125, Gene8483, Gene7173, Gene6224, Gene1967, Gene1698, Gene7871, Gene7911, Gene7976, Gene9006, Gene4996, Gene8973, Gene9203, Gene8301, Gene9071, Gene5308, Gene7991, Gene1067, Gene9106, Gene8768, Gene2725, Gene7216, Gene6072, Gene6916, Gene5852, Gene5248, Gene7231, Gene8792, Gene6465, Gene2484, Gene241, Gene6747, Gene4172, Gene4773, Gene3272, Gene1877, Gene9433, Gene9133, Gene9288, Gene6051, Gene328, Gene5532, Gene3406, Gene8257, Gene4127, Gene9142, Gene5740, Gene1505, Gene2031, Gene9187, Gene6970, Gene5772, Gene7589, Gene7947, Gene3332, Gene3702, Gene7956, Gene8405, Gene5100, Gene7738, Gene6388, Gene9364, Gene888, Gene6303, Gene726, Gene3486, Gene9231, Gene5755, Gene1429, Gene4942, Gene7561, Gene1341, Gene4530, Gene4286, Gene9255, Gene8176, Gene9785, Gene2932, Gene83, Gene6704, Gene2625, Gene4987, Gene260, Gene4658, Gene714, Gene8813, Gene359, Gene7781, Gene7479, Gene5064, Gene5981, Gene4632, Gene5976, Gene8666, Gene4353, Gene8643, Gene2818, Gene9496, Gene7523, Gene2169, Gene1062, Gene4515, Gene6520, Gene338, Gene8174, Gene7337, Gene6950, Gene3353, Gene5687, Gene9506, Gene7844, Gene3239, Gene4263, Gene3613, Gene9725, Gene944, Gene3509, Gene3303, Gene2482, Gene6749, Gene3274, Gene5677, Gene6579, Gene1402, Gene2695, Gene6571, Gene5076, Gene8141, Gene3743, Gene5569, Gene9627, Gene9614, Gene8609, Gene5655, Gene2228, Gene8926, Gene8631, Gene813, Gene5113, Gene3857, Gene1521, Gene5414, Gene9688, Gene2656, Gene8088, Gene140, Gene6013, Gene9448, Gene480, Gene6019, Gene549, Gene5319, Gene8322, Gene5775, Gene2624, Gene6728, Gene3198, Gene6110, Gene993, Gene4003, Gene4974, Gene7884, Gene9168, Gene3587, Gene1646, Gene517, Gene3736, Gene35, Gene3224, Gene4307, Gene4149, Gene9928, Gene7146, Gene6526, Gene345, Gene9509, Gene9399, Gene7549, Gene5083, Gene3074, Gene4390, Gene750, Gene4472, Gene2807, Gene8810, Gene6981, Gene8320, Gene5584, Gene2649, Gene3940, Gene3413, Gene3350, Gene5407, Gene2305, Gene7085, Gene7462, Gene8094, Gene40, Gene6106, Gene5288, Gene4294, Gene6392, Gene6214, Gene8717, Gene8770, Gene6191, Gene8346, Gene238, Gene5934, Gene8126, Gene1794, Gene6172, Gene1252, Gene4137, Gene6550, Gene9374, Gene165, Gene2837, Gene9324, Gene784, Gene8999, Gene9761, Gene3690, Gene8745, Gene3287, Gene5639, Gene2376, Gene2315, Gene6687, Gene1082, Gene1530, Gene6378, Gene9994, Gene3126, Gene259, Gene2636, Gene5088, Gene1935, Gene6205, Gene8623, Gene4389, Gene8827, Gene7361, Gene6142, Gene5586, Gene1271, Gene1090, Gene560, Gene1498, Gene4818, Gene9612, Gene5943, Gene6047, Gene8694, Gene4686, Gene222, Gene225, Gene2503, Gene5282, Gene2019, Gene1100, Gene358, Gene6912, Gene5910, Gene1694, Gene2671, Gene9707, Gene5549, Gene9442, Gene2513, Gene371, Gene6278, Gene5531, Gene9370, Gene6873, Gene3540, Gene9854, Gene7242, Gene6920, Gene6001, Gene2341, Gene2142, Gene1499, Gene8532, Gene1132, Gene6812, Gene9099, Gene310, Gene741, Gene9318, Gene5739, Gene2251, Gene3585, Gene584, Gene97, Gene6639, Gene9813, Gene9828, Gene6794, Gene70, Gene2137, Gene692, Gene4862, Gene3691, Gene91, Gene7053, Gene7172, Gene2883, Gene453, Gene7283, Gene8678, Gene7975, Gene6167, Gene1473, Gene867, Gene3806, Gene856, Gene1961, Gene6943, Gene5611, Gene4399, Gene8987, Gene3795, Gene2618, Gene4355, Gene3078, Gene1825, Gene3255, Gene369, Gene7414, Gene5313, Gene7550, Gene107, Gene3541, Gene2372, Gene7433"
"4","2","981","down","76","Gene2618, Gene6634, Gene1223, Gene241, Gene3110, Gene2284, Gene381, Gene6952, Gene5431, Gene8540, Gene8899, Gene3074, Gene7975, Gene6463, Gene154, Gene8853, Gene2023, Gene9993, Gene9959, Gene7878, Gene4260, Gene6156, Gene8257, Gene5583, Gene5064, Gene457, Gene5907, Gene4669, Gene7839, Gene6812, Gene2372, Gene3332, Gene5443, Gene4632, Gene4115, Gene78, Gene3198, Gene8770, Gene9472, Gene9779, Gene4326, Gene4224, Gene1951, Gene5983, Gene3509, Gene7766, Gene8999, Gene4885, Gene6743, Gene6566, Gene2279, Gene150, Gene8993, Gene7549, Gene9249, Gene8264, Gene2484, Gene6823, Gene8976, Gene2831, Gene3239, Gene4063, Gene6424, Gene1067, Gene9437, Gene3526, Gene1055, Gene7459, Gene249, Gene1878, Gene4706, Gene3395, Gene484, Gene7433, Gene9045, Gene185"
"5","3","915","down","246","Gene3110, Gene9779, Gene9472, Gene2284, Gene8540, Gene9449, Gene6952, Gene5431, Gene457, Gene5583, Gene6643, Gene4669, Gene381, Gene8853, Gene6463, Gene4260, Gene9959, Gene3332, Gene9993, Gene1719, Gene2023, Gene3202, Gene5683, Gene7839, Gene185, Gene7146, Gene7878, Gene3701, Gene6156, Gene7730, Gene6743, Gene4264, Gene8770, Gene8252, Gene729, Gene8735, Gene4353, Gene1940, Gene4115, Gene4326, Gene3074, Gene5103, Gene5983, Gene1223, Gene8080, Gene32, Gene5222, Gene6823, Gene7781, Gene1265, Gene8993, Gene9288, Gene3292, Gene4885, Gene5443, Gene7421, Gene6196, Gene6520, Gene1579, Gene4607, Gene9071, Gene95, Gene7871, Gene213, Gene8899, Gene4706, Gene9541, Gene6566, Gene4127, Gene9133, Gene888, Gene6615, Gene2695, Gene1878, Gene9106, Gene3937, Gene3406, Gene5076, Gene4294, Gene6987, Gene9249, Gene750, Gene5800, Gene7549, Gene3291, Gene2261, Gene5747, Gene551, Gene6134, Gene8411, Gene2649, Gene6950, Gene249, Gene2031, Gene6747, Gene6571, Gene8094, Gene7674, Gene9410, Gene3134, Gene6601, Gene9746, Gene5982, Gene388, Gene8221, Gene83, Gene8643, Gene9688, Gene9437, Gene8405, Gene2625, Gene9965, Gene5619, Gene5827, Gene5088, Gene8301, Gene3673, Gene2460, Gene5326, Gene2831, Gene1130, Gene8541, Gene6628, Gene3540, Gene7766, Gene2453, Gene8640, Gene1341, Gene3549, Gene6051, Gene5055, Gene4742, Gene2608, Gene6657, Gene4636, Gene9440, Gene5580, Gene3239, Gene6214, Gene2558, Gene2636, Gene3078, Gene3246, Gene4003, Gene720, Gene8956, Gene154, Gene8141, Gene5584, Gene2818, Gene7589, Gene4632, Gene8395, Gene196, Gene5248, Gene7337, Gene4355, Gene9785, Gene1249, Gene1434, Gene7459, Gene1313, Gene1951, Gene9523, Gene7159, Gene741, Gene5607, Gene1298, Gene1403, Gene480, Gene6107, Gene5083, Gene5755, Gene8792, Gene1911, Gene717, Gene9281, Gene8299, Gene9761, Gene1648, Gene9165, Gene3353, Gene328, Gene4337, Gene8694, Gene538, Gene1498, Gene6920, Gene7763, Gene2883, Gene7022, Gene6550, Gene5852, Gene8631, Gene4974, Gene8152, Gene4773, Gene9506, Gene7453, Gene8999, Gene9092, Gene3587, Gene7670, Gene2719, Gene1537, Gene9354, Gene3877, Gene7091, Gene4530, Gene6142, Gene6873, Gene1999, Gene1551, Gene929, Gene1961, Gene3585, Gene6916, Gene7482, Gene7561, Gene3395, Gene599, Gene699, Gene1694, Gene1067, Gene2405, Gene4996, Gene4079, Gene453, Gene7970, Gene6587, Gene6820, Gene1062, Gene9303, Gene369, Gene570, Gene2372, Gene7924, Gene6406, Gene5004, Gene4794, Gene9187, Gene8973, Gene6343, Gene484, Gene9045, Gene7433"
"6","4","633","up","5","Gene7433, Gene5443, Gene8540, Gene4808, Gene484"
"7","4","633","down","546","Gene7878, Gene3395, Gene7839, Gene1624, Gene5306, Gene5754, Gene8640, Gene6566, Gene1878, Gene956, Gene8519, Gene2279, Gene4260, Gene3720, Gene4379, Gene8136, Gene5100, Gene9260, Gene2035, Gene9249, Gene3074, Gene3065, Gene9018, Gene4286, Gene5239, Gene5449, Gene1477, Gene818, Gene4353, Gene3503, Gene1797, Gene8987, Gene5897, Gene626, Gene8745, Gene9365, Gene721, Gene223, Gene7791, Gene8320, Gene7469, Gene9433, Gene4115, Gene8853, Gene9993, Gene3364, Gene3031, Gene8964, Gene9707, Gene1705, Gene1374, Gene3882, Gene5291, Gene196, Gene4082, Gene8330, Gene6908, Gene5610, Gene9518, Gene306, Gene7187, Gene8245, Gene107, Gene1690, Gene249, Gene3541, Gene6794, Gene7603, Gene3151, Gene7871, Gene1496, Gene3444, Gene1359, Gene5524, Gene1047, Gene4013, Gene8063, Gene1265, Gene7085, Gene4176, Gene4697, Gene856, Gene7766, Gene6463, Gene3796, Gene9045, Gene3332, Gene3132, Gene1434, Gene5440, Gene8212, Gene7589, Gene7026, Gene5255, Gene3226, Gene9442, Gene8765, Gene2618, Gene72, Gene6156, Gene2944, Gene3110, Gene140, Gene6743, Gene900, Gene890, Gene381, Gene9133, Gene3526, Gene1382, Gene9523, Gene2656, Gene685, Gene6952, Gene4652, Gene1223, Gene6858, Gene2719, Gene3095, Gene3549, Gene4620, Gene7231, Gene49, Gene4069, Gene4653, Gene4939, Gene2037, Gene6540, Gene6217, Gene7730, Gene327, Gene9168, Gene6107, Gene8956, Gene7778, Gene9410, Gene1266, Gene1836, Gene770, Gene8722, Gene1787, Gene204, Gene7459, Gene457, Gene219, Gene8863, Gene559, Gene741, Gene6889, Gene185, Gene7850, Gene9303, Gene9860, Gene8139, Gene8735, Gene3715, Gene5793, Gene8768, Gene9417, Gene1296, Gene3705, Gene2444, Gene3765, Gene929, Gene6579, Gene2831, Gene3840, Gene5029, Gene7549, Gene2438, Gene7911, Gene6047, Gene4607, Gene5888, Gene8080, Gene4982, Gene2284, Gene8134, Gene6742, Gene4057, Gene585, Gene95, Gene8380, Gene2955, Gene7981, Gene8176, Gene8483, Gene6764, Gene4326, Gene6406, Gene971, Gene5992, Gene37, Gene1227, Gene5826, Gene6072, Gene8711, Gene4947, Gene7913, Gene4472, Gene874, Gene1698, Gene8993, Gene7803, Gene6496, Gene4294, Gene8635, Gene2170, Gene5116, Gene4577, Gene8073, Gene9931, Gene7888, Gene7522, Gene9702, Gene9437, Gene8276, Gene1854, Gene6278, Gene5174, Gene5934, Gene8752, Gene3217, Gene9834, Gene9425, Gene4669, Gene7970, Gene5431, Gene717, Gene8688, Gene3254, Gene6739, Gene8770, Gene5253, Gene7287, Gene7285, Gene3789, Gene6479, Gene4494, Gene7210, Gene7087, Gene4236, Gene6004, Gene2735, Gene748, Gene1246, Gene985, Gene1334, Gene5031, Gene6, Gene6307, Gene2756, Gene4444, Gene9959, Gene1215, Gene1719, Gene7947, Gene4145, Gene5597, Gene9288, Gene2023, Gene6970, Gene6945, Gene7683, Gene4441, Gene2685, Gene4515, Gene3295, Gene2973, Gene229, Gene5583, Gene2028, Gene1871, Gene3287, Gene4514, Gene8810, Gene4734, Gene7422, Gene9181, Gene1920, Gene3321, Gene6134, Gene906, Gene997, Gene2372, Gene2421, Gene8795, Gene3348, Gene154, Gene637, Gene9388, Gene4548, Gene5385, Gene6327, Gene1461, Gene8976, Gene5619, Gene944, Gene3701, Gene3367, Gene3291, Gene3512, Gene7898, Gene1648, Gene4686, Gene738, Gene7540, Gene714, Gene3974, Gene7008, Gene1403, Gene3721, Gene2809, Gene6194, Gene2273, Gene8017, Gene6884, Gene888, Gene3743, Gene2110, Gene9069, Gene1999, Gene3178, Gene2519, Gene8299, Gene8615, Gene4262, Gene2669, Gene9668, Gene8008, Gene2646, Gene8300, Gene2328, Gene3877, Gene6501, Gene2791, Gene3191, Gene2935, Gene78, Gene3212, Gene9943, Gene1085, Gene4706, Gene6214, Gene69, Gene8542, Gene673, Gene9051, Gene4677, Gene4412, Gene5400, Gene8554, Gene5580, Gene7670, Gene1272, Gene5983, Gene7550, Gene4413, Gene7604, Gene6303, Gene6110, Gene6265, Gene8983, Gene9148, Gene9633, Gene6474, Gene7053, Gene6885, Gene4845, Gene1835, Gene7455, Gene6534, Gene9503, Gene5772, Gene3821, Gene4064, Gene1429, Gene9627, Gene2460, Gene75, Gene4729, Gene4662, Gene5088, Gene974, Gene6493, Gene4259, Gene38, Gene7569, Gene1618, Gene8606, Gene6336, Gene9204, Gene6635, Gene4526, Gene7016, Gene32, Gene1616, Gene9203, Gene4962, Gene8087, Gene3202, Gene7956, Gene3531, Gene2254, Gene6548, Gene5055, Gene8898, Gene6857, Gene9509, Gene5687, Gene4825, Gene9607, Gene8746, Gene1967, Gene7716, Gene729, Gene8666, Gene8441, Gene3246, Gene4475, Gene9578, Gene6377, Gene6524, Gene3203, Gene5351, Gene2014, Gene4291, Gene2767, Gene4990, Gene6615, Gene516, Gene6189, Gene6556, Gene5960, Gene538, Gene6864, Gene1856, Gene9165, Gene726, Gene1067, Gene3572, Gene5240, Gene8893, Gene4391, Gene6704, Gene6614, Gene6758, Gene4920, Gene4278, Gene2191, Gene9772, Gene9965, Gene8115, Gene2814, Gene9985, Gene3655, Gene3174, Gene3134, Gene3775, Gene429, Gene2666, Gene5565, Gene3225, Gene2050, Gene6601, Gene784, Gene1133, Gene1602, Gene274, Gene1271, Gene3198, Gene4307, Gene44, Gene1934, Gene3094, Gene358, Gene2486, Gene6823, Gene4127, Gene692, Gene8978, Gene5655, Gene5620, Gene2637, Gene5569, Gene338, Gene9960, Gene2671, Gene2020, Gene549, Gene3908, Gene9194, Gene7542, Gene2311, Gene3484, Gene8702, Gene8446, Gene9186, Gene6343, Gene5103, Gene8174, Gene6359, Gene4752, Gene812, Gene4369, Gene6020, Gene6086, Gene222, Gene4596, Gene4904, Gene517, Gene6571, Gene4903, Gene7164, Gene3078, Gene2029, Gene3406, Gene1919, Gene4079, Gene3256, Gene345, Gene4058, Gene4330, Gene8395, Gene3403, Gene4530, Gene8824, Gene4619, Gene1455, Gene3677, Gene5735, Gene4794, Gene5289, Gene2288, Gene8221, Gene2624, Gene3239, Gene6713, Gene9877, Gene9688, Gene2405, Gene4996, Gene8926, Gene1313, Gene8, Gene4885"
"8","5","631","down","146","Gene4082, Gene140, Gene3702, Gene9178, Gene7433, Gene8640, Gene185, Gene1265, Gene4379, Gene3202, Gene8080, Gene5306, Gene5443, Gene196, Gene95, Gene4607, Gene5239, Gene3701, Gene2279, Gene1624, Gene6643, Gene3720, Gene3549, Gene6107, Gene6134, Gene484, Gene1797, Gene9472, Gene5754, Gene2719, Gene9633, Gene721, Gene5524, Gene8745, Gene8330, Gene5619, Gene3715, Gene5100, Gene5103, Gene956, Gene9518, Gene9018, Gene626, Gene8299, Gene3266, Gene2618, Gene3291, Gene6950, Gene6196, Gene9433, Gene8136, Gene6072, Gene8320, Gene9095, Gene3395, Gene2372, Gene4176, Gene7085, Gene7791, Gene5449, Gene1403, Gene9779, Gene9303, Gene1266, Gene5945, Gene4706, Gene7878, Gene3364, Gene2558, Gene6987, Gene4286, Gene1313, Gene6601, Gene8221, Gene2417, Gene1215, Gene8411, Gene9165, Gene3541, Gene8395, Gene3094, Gene8416, Gene1285, Gene1999, Gene3655, Gene5897, Gene8089, Gene5888, Gene72, Gene8987, Gene2035, Gene107, Gene7159, Gene5326, Gene818, Gene9746, Gene8483, Gene538, Gene5580, Gene8768, Gene6438, Gene6465, Gene8063, Gene4996, Gene1854, Gene4794, Gene4264, Gene856, Gene1164, Gene6908, Gene5610, Gene3212, Gene8152, Gene944, Gene1821, Gene5661, Gene238, Gene1967, Gene9203, Gene4289, Gene2284, Gene4079, Gene2669, Gene1698, Gene3246, Gene5687, Gene7947, Gene9281, Gene4530, Gene726, Gene2405, Gene8666, Gene430, Gene9168, Gene381, Gene6303, Gene7924, Gene6579, Gene5308, Gene6343, Gene8810, Gene6224, Gene8, Gene8899, Gene1877, Gene4773"
"9","6","548","down","104","Gene4853, Gene6568, Gene4145, Gene8136, Gene8245, Gene3473, Gene2405, Gene3274, Gene5837, Gene5103, Gene6939, Gene7871, Gene95, Gene3202, Gene276, Gene6643, Gene249, Gene213, Gene6200, Gene9392, Gene1878, Gene7911, Gene3937, Gene457, Gene388, Gene8930, Gene6134, Gene3291, Gene7976, Gene8558, Gene1429, Gene2372, Gene9324, Gene8299, Gene3246, Gene9472, Gene4013, Gene1403, Gene5619, Gene741, Gene538, Gene185, Gene6987, Gene1646, Gene6743, Gene9779, Gene616, Gene1911, Gene2955, Gene2460, Gene1313, Gene5888, Gene7105, Gene9757, Gene3162, Gene9746, Gene4706, Gene6265, Gene9668, Gene9354, Gene2544, Gene8411, Gene7173, Gene2555, Gene1551, Gene7839, Gene222, Gene2667, Gene8395, Gene6107, Gene1999, Gene8221, Gene4607, Gene4794, Gene1459, Gene3031, Gene5326, Gene4079, Gene2226, Gene7499, Gene6550, Gene6307, Gene3395, Gene5586, Gene6224, Gene4530, Gene7577, Gene328, Gene956, Gene2618, Gene6610, Gene6471, Gene5004, Gene2837, Gene3212, Gene9303, Gene5248, Gene8540, Gene7561, Gene7924, Gene7159, Gene5443, Gene8640, Gene7433"
"10","7","545","down","160","Gene3473, Gene9757, Gene6794, Gene8899, Gene6463, Gene7766, Gene6156, Gene3065, Gene6657, Gene4145, Gene2831, Gene1429, Gene3364, Gene1265, Gene5449, Gene7911, Gene6568, Gene6952, Gene8136, Gene8770, Gene223, Gene5837, Gene4013, Gene2735, Gene5055, Gene5934, Gene1296, Gene2284, Gene770, Gene8520, Gene5597, Gene8606, Gene6587, Gene5103, Gene5897, Gene5583, Gene5869, Gene5888, Gene9959, Gene2372, Gene95, Gene5431, Gene3110, Gene984, Gene1878, Gene9965, Gene7871, Gene2023, Gene4853, Gene213, Gene7146, Gene3486, Gene3134, Gene1719, Gene154, Gene714, Gene6887, Gene1421, Gene6307, Gene3523, Gene6601, Gene3937, Gene9354, Gene4355, Gene3291, Gene460, Gene3191, Gene381, Gene1616, Gene1006, Gene8299, Gene2667, Gene8999, Gene429, Gene5222, Gene388, Gene538, Gene3701, Gene7781, Gene6134, Gene5524, Gene8735, Gene4669, Gene8399, Gene3332, Gene4288, Gene600, Gene5983, Gene5619, Gene4475, Gene3078, Gene5083, Gene6574, Gene9993, Gene364, Gene750, Gene4515, Gene2405, Gene3198, Gene358, Gene3815, Gene7947, Gene7479, Gene8615, Gene3406, Gene7301, Gene1999, Gene8775, Gene3162, Gene7791, Gene1341, Gene32, Gene1854, Gene3031, Gene6098, Gene9203, Gene1951, Gene7499, Gene4706, Gene2755, Gene9318, Gene8640, Gene5033, Gene4885, Gene1403, Gene6502, Gene1911, Gene741, Gene6107, Gene6928, Gene4127, Gene6534, Gene6571, Gene7173, Gene4079, Gene8993, Gene1551, Gene7561, Gene2618, Gene902, Gene4326, Gene676, Gene6047, Gene3202, Gene4794, Gene6823, Gene225, Gene956, Gene3239, Gene1062, Gene7549, Gene4942, Gene8745, Gene2837, Gene1313, Gene9761, Gene1067, Gene1877, Gene3395, Gene7433"
