"cluster","cell_cluster","#cells","up_or_down","#genes","genes"
"1","0","167","down","67","Gm24447, mt-Rnr1, Gm23624, mt-Rnr2, Gm26035, Rnu5g, mt-Atp8, Olfm1, Supt7l, Camk2n1, Apoe, mt-Tm, Ptk2b, Gm24265, Gm26917, Malat1, Sparcl1, Sez6, Enc1, Gm42418, Chn1, mt-Tv, Sparc, Aplp1, Baiap2, Mt1, Kif1a, Syt1, Ndrg2, Slc6a11, Pcsk1n, mt-Ta, Aldoc, Neurod6, Gm26461, Rn7s1, mt-Nd6, Arpp21, 1700020I14Rik, Nnat, Srrm2, Kif1b, Clu, mt-Tn, Tubb4a, Atp1b2, Serpine2, Nrn1, mt-Tc, 9330162G02Rik, Cap2, Mef2c, Qk, Plekhb1, Zcchc12, Resp18, Rn18s-rs5, Gprasp2, Mt2, Cx3cl1, Plp1, mt-Tf, mt-Tp, Apod, Cldn11, Pmch, Hba-a2"
"2","1","165","down","132","Ddn, mt-Tm, mt-Tn, mt-Tl1, Slc1a2, Gm13339, Nap1l5, Arf3, mt-Tv, mt-Ti, Camk2a, mt-Tf, Nptxr, Peg3, mt-Tw, Syt11, mt-Tc, mt-Th, Wasf1, Cnih2, Slc17a6, mt-Tq, mt-Tl2, Psd, Aplp1, Crym, Sptbn2, mt-Tp, Fkbp1a, mt-Ta, mt-Atp8, Rims3, Ccni, Sv2a, Eef1a1, mt-Tr, Cck, Gm6272, Thra, Apoe, Slc30a3, Camta2, Icam5, Ncdn, Stum, Kalrn, Hpcal4, Rcan2, 6330403K07Rik, Ppp1r9b, Gm10736, Pmch, Gpd2, 1700020I14Rik, Gfap, Bhlhe22, Sez6, Supt7l, Prepl, Resp18, Trim2, Rps8, Gm24447, Ptk2b, Cpne6, Malat1, Gm11353, Ctxn1, Sparc, mt-Tt, Zbtb20, Zbtb18, Agt, Arl6ip1, Mink1, Bcl11b, Impact, Tcf7l2, Eid1, Agap2, Cnp, Fgf13, Gria2, Iqsec2, Hlf, Aktip, Slc17a7, Cacnb4, Bend6, Plcb4, Psmc5, Elavl4, Nsmf, Sowaha, Ndfip1, Plp1, Elavl2, Ina, Lmo3, Gap43, Gstm1, Sgip1, Spock3, Cabp7, Mobp, Scg2, Ptpn4, Kcnip2, Enpp2, Cbln2, Gm23624, Plppr4, Tspan2, Calm3, Jph3, Gda, Calb2, Enc1, Synpr, Tmsb4x, Gm26035, Pcp4l1, Mal, Pdp1, Nptx1, Mbp, Gatm, Lypd1, Cbln4, Cryab, Rn7s1, Nr2f2"
"3","2","154","up","1","Plp1"
"4","2","154","down","248","Olfm1, Camk2n1, Ppp3ca, Camk2a, Calm1, Ptk2b, Scd2, Syt1, Calm2, mt-Atp8, Qk, Enc1, Mt1, Chn1, Plekhb1, Apoe, Nrgn, Mbp, Ppp3r1, Zfp365, Sparc, Cnp, Malat1, Cck, Cldn11, mt-Tm, Slc6a11, Sparcl1, Mobp, Slc17a7, Nsmf, Cryab, Sez6, Nrn1, Lingo1, Apod, mt-Tl2, Nptxr, Gpm6a, Rasgrp1, Supt7l, Atp1a2, Trf, Clu, mt-Ta, Sv2b, Pcsk1n, Ndrg2, Olig1, Mef2c, Nptx1, Tubb4a, Qdpr, Gda, Aldoc, Ppp3cb, Atp2b1, Aplp1, Mal, Stum, Hlf, Tspan2, Gprc5b, Bcas1, Anks1b, Ndrg1, Gabrb3, mt-Tv, Ugt8a, Fam131a, Ermn, Khdrbs3, Rnd2, Gstm1, Csrp1, Ddn, Epha4, Gabra4, Nsg2, Cx3cl1, Tppp3, Zbtb18, Celf5, Gatm, Baiap2, Atp1a1, Adcy1, Sept4, Kif1b, Arpp21, Gpr37, Cd81, Tecr, Homer1, Kcnv1, Ndrg3, Plppr4, Itpr1, Scn1b, Mt2, Myrf, Ncald, Cnih2, Anln, Sox10, Gjc3, 1700020I14Rik, Fam49a, Rnu5g, Selenop, Ttyh2, Baiap3, Scn2a, Fbxw7, Gria2, Il33, Gm15427, Kalrn, Ano3, Mid1ip1, mt-Ti, Camk4, 2010300C02Rik, Grin2a, Wasf1, Mog, Eid1, Atp1b2, Myo6, Neurod6, S100b, Dynll1, 5031439G07Rik, Impact, Tspan13, Gng11, Kif5a, Mapk1, Dgkz, Slc12a2, Ubc, Nr3c2, Neurod2, Carhsp1, Erbin, Scd1, Efnb3, Dbn1, Fbxl16, Etnppl, Cyfip2, Mef2a, Fth1, Dlgap3, Hap1, Icam5, Snca, Rdx, Nov, Cdkl5, Endod1, Dlgap4, Ppp1r14a, Phf24, Tmsb4x, Dbi, Mag, Dock10, Gm23624, Tpm1, AI593442, Rgs4, Gltp, Ptgds, Crmp1, Kcnj10, Syt13, Fa2h, Ndfip1, Resp18, Agt, Tmem88b, Slc44a1, Syt7, Mal2, Fam81a, Sox2ot, Car2, Sorbs2, Ahi1, Psat1, Litaf, Hpca, Pacs2, Tmem130, Actr3, Lrrn2, Pllp, Nrsn2, Wnk1, Jam3, Rock2, Gm24447, Hivep2, Kcnip2, Wipf3, Ndn, Gnai2, Cacnb4, Vat1l, Arhgef10, Prr18, Gm26035, Cap2, mt-Tp, Opalin, Gucy1b3, Lpar1, A730017C20Rik, Pdp1, Lgi3, Pde1a, Sccpdh, Nnat, Gna12, Efhd2, Peg10, Nap1l5, Cntn2, Zcchc12, Slc32a1, Dkk3, Tspyl2, Tmcc3, Ptpn4, Phldb1, 1110008P14Rik, Calb2, Psd, Pip4k2a, Prkcd, Rn7s1, Abca2, Vamp1, Sirt2, Aqp4, Gm26461, Gad2"
"5","3","134","down","112","mt-Atp8, mt-Tm, mt-Tv, Malat1, mt-Tl1, Gm42418, Gm13339, mt-Tn, mt-Tf, Apoe, mt-Tl2, Ndfip1, mt-Tw, mt-Ta, Rn18s-rs5, Hlf, Slc17a6, Slc1a2, Cpe, Eef1a1, mt-Ti, Mt1, Sparcl1, Syt1, 1700020I14Rik, mt-Th, Aplp1, mt-Tq, Aldoc, mt-Tc, Gm26917, Syt11, Eid1, Atp1a2, Ccni, Cbln2, mt-Tp, Gm6272, Tcf7l2, Foxp1, Rps15, Clu, Gm37108, Nap1l5, Cbln4, Arl6ip1, mt-Tr, Gm6352, Rps8, Ywhab, Ncald, Nsf, Cbln1, Sez6, Elavl4, Stmn2, Rgs7bp, Lhfpl3, 2010107E04Rik, Sv2a, Scd2, mt-Te, Camta1, Tmem30a, Rn7s1, Tagln3, mt-Tt, Nrn1, Gm11353, Gm10736, Mt2, Gstm1, Gm26461, Pkia, Supt7l, Rpl37a, Uba52, Sgip1, Nxph1, Gm9800, Nsg2, Peg3, Zyg11b, Ddx6, Lrrc17, Fkbp1a, Anks1b, Tcaf1, Prepl, Bend6, Slc24a2, Rprd1a, Gm3511, Sptbn2, Dnajc5, Hdgf, Elavl2, Plekhb1, Itpa, Pcp4, Cldn11, Syn1, Qk, Spock1, Cplx1, Cck, Ptgds, Slc6a11, Trf, Ttr, Cryab, Apod"
"6","4","134","up","1","Pmch"
"7","4","134","down","79","Parpbp, Nap1l5, Malat1, Peg3, 6330403K07Rik, Ahi1, mt-Tm, Dlk1, Pgrmc1, mt-Tl1, Scg2, Nnat, Resp18, Rps8, Cartpt, Asb4, mt-Tf, Slc1a2, Gprasp2, Sparc, Eef1a1, Cga, Celf4, Mt3, Gad2, mt-Tn, Rpl19, mt-Tw, Snap25, Rpsa, mt-Te, Zcchc12, Gap43, Gaa, Gpm6b, Calm3, Mgst3, Tac1, Aplp1, Rpl17, Cplx1, Zdbf2, Tmem255a, Rps2, Cldn11, Pja1, Tceal9, Cck, mt-Tv, Prkacb, mt-Ti, Aldoc, Impact, Apod, mt-Tl2, Desi1, mt-Tq, mt-Ta, Fxyd6, Kalrn, Spock1, M6pr, Syn1, Baiap3, Tubb4a, B630019K06Rik, Gabrb3, mt-Tp, Mobp, Plp1, Sez6, Mbp, Slc24a2, Bcas1, Npy, Mal, Cryab, Cnp, Hba-a1"
"8","5","77","up","6","Tcf7l2, Adarb1, Rora, Prkcd, Ptpn4, Pcp4"
"9","5","77","down","388","Cit, Nrgn, Zic1, Olfm1, Shox2, Slc6a11, Sptbn1, Plekhg1, Pdp1, Ntng1, Ccdc136, Rgs16, Lef1, Gpr153, Plcb4, Amotl1, Ramp3, Tmsb4x, Synpo2, Atp1a2, Slc17a6, Ndrg2, Atp2a2, Vav3, Grm1, Cpe, Kitl, Ptpn3, Rap1gds1, Rgs4, Gm43398, Spock1, Rab3c, Hcn4, Rims3, Ndrg4, Gabra4, Clmn, Gda, Pitpnc1, Edil3, Nptx1, Ppp3ca, Spock2, Aldoc, Gabbr1, Nefh, Qk, Tcf4, Gm10076, Trnp1, Kif1a, Hlf, Atp1b2, Camk2a, Cpne9, mt-Atp8, Reep2, Nrip3, Ddn, Rab37, Baiap2, Psd, Kcnj10, 1810041L15Rik, Rgs8, Lrtm2, Gabbr2, mt-Tf, Bok, Patj, Malat1, Tnnt1, Nmnat2, Slc24a3, Syp, Nrxn1, Spock3, Hpcal4, Snap25, Myo5a, Uchl1, Ywhaz, Camk2n2, Tmem56, Neurod2, Elmo1, mt-Tm, Tpd52l1, Sst, Rps8, mt-Tv, Thy1, Cyp46a1, Mb21d2, Ildr2, Fam20c, Grm4, Pgrmc1, Sparc, 3110035E14Rik, Cxx1a, Tmsb10, Meg3, Dkk3, Gad1, Kcnip2, Icam5, Tubb4a, Prkacb, Fam131a, Cplx1, Gabrb3, Ppp3r1, Snca, Adgrf5, Hspa12a, Gpm6a, Chn1, Lhfp, Cdk5r1, Nsmf, Ctnnb1, Gria2, Ids, Ttr, Gad2, Zfhx3, Pde1a, Scn2b, mt-Ta, Pkia, Slc32a1, Clip3, Slc6a17, Rpl41, Gng3, Ncdn, Atp8a1, Cnr1, Kcnc2, Nt5dc3, Ttll7, Adra1b, Calm3, Eef1a1, Syt7, Neurod6, Mgst3, Rab6b, Sncb, Btbd3, mt-Tl1, Nrsn2, Prkca, Chrna4, Serpine2, Nov, 2010300C02Rik, Vamp1, Syn2, Foxg1, Bcl11b, Zmat4, Mal2, Gm26035, Atxn1, Pld3, Nell1, Adgra1, Map1a, Rasgrf2, Aplp2, Actr3, Atp6ap2, Aldh1a1, Nacc2, Phactr1, Lamp5, Hpca, Srrm2, Atp2b4, Dlgap3, Rpl13, Zfp423, Lrrn2, Tmem163, Ano3, Atp2b2, Fndc5, Pitpna, Prkch, mt-Te, Gpc1, Alcam, Eef1a2, Fndc4, Tanc1, Tubb3, Snrpn, Phyhip, Klhl2, Ahi1, Rbms3, Gabrd, Wipf3, Enah, Etnppl, Scrt1, Wdr89, Rpl11, Enpp2, Rps16, Kndc1, Ina, Ddah1, Synpr, Gnal, Rpl17, Reep1, Slc4a4, Slc29a1, Rasgef1a, Cd47, Sowaha, Rpsa-ps2, Slc22a17, 6330403K07Rik, Slc25a5, Stim2, RP23-149L23.1, Hspa8, Ptk2b, Slc9a3r1, Adprh, Bcas1, Samd5, Rps3a1, Fam81a, Ncald, Rps2, Rnu5g, Atp1a1, Sipa1l1, Rap1gap, Gm7206, Cdkl5, Syt9, Rps23, Lmo3, Sphkap, Gm24447, Pla2g7, Foxp2, Cacna1g, Fam163b, L1cam, Acsl3, Itpka, Unc13c, Scd1, Evl, Rasd1, Ldhb, Ctxn1, Acsbg1, Rpl19, Zeb2, Dcaf12l1, Xylt2, Rpl9, Pnmal2, Ncs1, Hcn2, Rorb, Gm23624, Ngef, Gm11353, Slc1a3, Egr1, Homer1, Rpl12, Crym, Ogfrl1, Gm26461, Mapk1, Enc1, Arpp21, Ephx4, Shank3, Mpped1, Hs6st1, Strbp, Tac1, Rgs7bp, Mef2a, Neurl1a, S100b, Rn7s1, Hnrnpa0, Bhlhe22, Asna1, Cxx1b, Map2k1, B230334C09Rik, Inpp5a, Lypd1, Ckmt1, Timp3, Rock2, Tbr1, Slc24a2, Svop, Eps8l2, Ttc9b, Cadps2, Mkl2, Nrxn3, Zbtb18, Fkbp4, Syngr3, St6galnac5, Cadm1, Serpini1, Gpr137, Mfge8, Efhd2, 1110008P14Rik, Abhd12, Epb41l1, Cnksr2, Gm8822, B4galt5, Vim, Ppp2r5d, Slc6a9, Sh3d19, Dpp6, Cdk17, Rcan2, Sema5a, Ldha, Mlf2, Megf9, Arpc5, Klhdc3, Tmem256, Clasp2, Sorl1, Rell2, Cabp7, Cdk16, Cygb, Necab2, Npy, Dnm3, Adgrb1, Peg13, Fxyd6, Cartpt, Gm7027, Ntrk3, Ppp1r9a, Dynll1, Gfap, Mef2c, Rsrc1, Unc5a, Slc30a3, 9330162G02Rik, Ly6h, Nnat, Tiam1, Chst1, Snhg11, Ndfip1, Igf2, Rbfox3, Nptxr, Sorbs2, Pmch, Clstn3, Wnt4, Etv1, Rasgrp1, Elavl2, Pcp4l1, Ctxn3"
"10","6","71","up","1","Malat1"
