"cluster","cell_cluster","#cells","up_or_down","#genes","genes"
"1","0","232","up","1","Plp1"
"2","0","232","down","331","Olfm1, Mbp, Camk2a, Ppp3ca, Enc1, Mobp, Camk2n1, Nrgn, Ptk2b, Scd2, Gpm6a, Plekhb1, Slc6a11, Qk, Cnp, Cck, Gm42418, Qdpr, Sparc, Chn1, Syt1, Nptx1, Sv2b, Apod, Cryab, Slc17a7, Ndrg2, Nptxr, Gatm, Car2, Baiap2, Mef2c, Atp1a2, Ddn, Fth1, Calm2, Tmsb4x, Gda, Sparcl1, Atp1a1, Atp2b1, Calm1, Bcas1, Adcy1, Mal, Fam131a, Arpp21, Tubb4a, Wasf1, Psd, Icam5, Ppp3r1, Aldoc, S100b, Nsg2, Sept4, Csrp1, Zbtb18, Ermn, Aldh1a1, Gria2, Cldn11, Zfp365, Il33, Nrn1, Rasgrp1, Dlgap3, Trf, Ndrg1, 2010300C02Rik, Lars2, Abat, mt-Tm, mt-Tv, Selenop, Atp1b2, Kalrn, Lingo1, Arf3, Celf5, Fbxl16, Snca, Itpka, Mapk1, Cnksr2, Neurod6, Mt1, Pip4k2a, Scd1, Khdrbs3, Gabrb3, Mal2, Fam49a, Mmd, Nsmf, Rnu5g, Chst1, Mmp17, Anln, Tbr1, mt-Atp8, Gm24265, Olig1, Nptn, Plppr4, Mag, Lmo4, Nov, Vamp1, Mir6236, Gm26917, Egr1, Foxg1, Grin2a, Prkcb, Tmcc3, Itpr1, Kcnip2, Resp18, Slc12a2, Apoe, Kcnf1, Fgf1, Pde1a, Malat1, Atp2b2, Stum, Dkk3, Tppp3, Crym, Hpcal4, mt-Tl1, Gng11, Agt, Mtpn, Pld3, Psd3, Ppp1r14a, Gjb1, Rn18s-rs5, Homer1, Tmem229a, Tspan2, Cplx2, Gm26723, Nell2, Pcsk1n, Sst, Gprc5b, Kcnj10, Gpr37, Prkce, Plppr2, Gjc2, 3110035E14Rik, Dnajb5, Plcb1, Rasgef1a, Tmem88b, Dlgap1, Nme7, Myrf, Nacc2, Sprn, Pacs2, Litaf, mt-Tl2, Arpp19, Tspan13, Clic4, Fam81a, mt-Nd6, Anks1b, Ephx4, Mt2, Ywhaz, Gm26035, Sptbn2, Mkl2, Ppp3cb, Tulp4, R3hdm1, Acsbg1, Rnf13, Gabrd, Wnk1, Serpine2, Gm26461, Sorbs2, Wipf3, Gm23624, Ncald, Ak5, Mog, Tmem178, Chgb, Lamp5, Rtn4rl1, Rbfox1, Itih3, Dgkz, Dbn1, Ctxn1, Nap1l5, Celf2, Sirpa, Sox2ot, Arpc5, Neurod2, Gm24447, Aplp1, Sez6l2, Bhlhe22, Syn2, Gm24407, Gm25106, Cnih2, Supt7l, Pgm2l1, Nova1, Ano3, Rn7s1, Lbh, Camk1d, Gm22122, Scn1b, Kif5b, Pgbd5, Ndrg3, St6galnac5, Ociad2, Phlda3, 2310022B05Rik, Cx3cl1, Slc6a9, Sash1, Gstm1, Macf1, Ncdn, Trim59, Fam212b, Pllp, Stx1a, Fnbp1, Klhl2, Mef2a, Kcnj3, Mical2, Mpped1, Gls, Kcnh3, Rnf112, Ndn, Myo6, Endod1, Abhd4, mt-Tw, Aspa, Pla2g7, Sowaha, Hcn2, Fa2h, Syt7, Ap1s1, Efhd2, Gm20721, Frrs1l, Zbtb20, Psat1, Dynll1, 5031439G07Rik, Sez6l, Carhsp1, Gabra4, Ptprs, Dlgap4, Opalin, Ttc9b, Peg3, Prdx1, Ogfrl1, Jam3, Gucy1b3, Desi1, Camkv, Tusc3, Slc4a4, Chchd10, Ap1s2, Zfhx3, Slc25a22, Hepacam, Hpca, C1qtnf4, Impact, Adgrb2, Coro1a, Nefh, Cnr1, Nrsn2, Gab1, Tspan5, Gprasp2, Tmem132a, Mid1ip1, Cap2, Atp2b4, Ldha, Fkbp1a, Cxx1a, Rnd2, Vip, Rit2, Gja1, Luzp2, Tmem130, Ugt8a, 1110008P14Rik, Camk2n2, Tcf7l2, Calb2, Slc17a6, Aqp4, Phldb1, Ahi1, Neat1, Vstm2l, Ddc, Prkcd, Ptgds, Ttr"
"3","1","215","up","3","Gm24447, Gm26035, Gm23624"
"4","1","215","down","84","mt-Rnr1, mt-Rnr2, Rn7s1, Gm26461, Rnu5g, Gm25106, mt-Atp8, Rnu2-10, mt-Co1, Gm22513, Gm25939, Apoe, Gm22614, Gm20594, Gm25682, Gm23973, Gm24146, Clu, Aldoc, Cpe, Rn7s2, Gm24105, Rn7sk, Sparcl1, Gm24265, Aplp1, mt-Nd6, Mt3, Ppp3ca, Scd2, Mt1, Gm24514, Slc1a2, Pcsk1n, Gm24407, Kif1a, Kif1b, Atp1a2, Gng3, Dbi, Apod, Oaz1, Cldn11, Ccni, Sncb, Cryab, Ctss, Stxbp1, mt-Tm, Mif, Ndufv3, S100a16, Qdpr, Sptbn1, Eid1, Slc6a11, Snap91, Mt2, Cplx1, Lars2, Gstm1, Qk, Trem2, Abat, B2m, Spock1, Plekhb1, Cyp46a1, Gm20721, Tubb4a, Olig1, C1qb, Tyrobp, S100b, Mir6236, Cnp, Sept4, Trf, Plp1, Hbb-bs, Gfap, Nnat, Nptxr, Pcp4"
"5","2","212","down","48","Gm42418, Malat1, Gm26917, Rn18s-rs5, Ptgds, Olfm1, Ttr, Camk2n1, Lars2, Mir6236, mt-Atp8, mt-Nd6, Gm10076, Nsg2, Sv2b, Tubb4a, Plp1, Arpp21, Baiap2, Fbn1, Kif1a, mt-Tm, Camk2a, Ddn, Mobp, Slc6a11, Aplp1, Ptk2b, Gm24265, Gm24407, 9330162G02Rik, Gabrb3, Gm15564, Qdpr, Plekhb1, Mal, Mog, Cplx1, Pacs2, Mbp, Cryab, Cnp, Cldn11, Gatm, Vamp1, Apod, Car2, Trf"
"6","3","208","down","266","mt-Rnr1, mt-Rnr2, Arf3, mt-Atp8, Cck, Gm28661, Ywhaz, mt-Nd1, Aldoa, Snap25, mt-Co1, Slc1a2, Slc17a7, Gm26461, mt-Nd2, Fkbp1a, Rn7s1, mt-Nd5, Ptgds, Cpe, Nptxr, Rtn1, Enc1, Dnm1, Psd, Chn1, Gm20594, Cyp46a1, Gm13341, Syn1, Calm1, Pgm2l1, Snap91, Mbp, Hpcal4, Camk2a, Spock1, Gpm6a, Calm2, Gm24447, Ctxn1, mt-Co2, Stxbp1, Gm26035, Kalrn, Diras2, Sparc, Tmsb4x, Pde1a, Psd3, Thra, Rps8, Clu, Wasf1, Rab6b, Aplp1, mt-Nd6, Sptbn2, Gng3, Slc17a6, Gm23624, Actb, Gda, Mt3, Stum, Mapk10, Serinc1, Camta2, Snca, Kif1a, Psap, Sptbn1, Adcy1, Trim9, Nptx1, Snx10, Prkcb, Rbfox2, Dlgap3, Sv2b, Sh3gl2, Syngr1, Ddn, Icam5, Sptan1, Nrgn, Peg3, Enpp2, Syn2, Mtpn, Itpr1, mt-Nd4l, Nap1l5, Rnu5g, Klc1, Cyfip2, Gria2, Pja2, Fbxl16, Mobp, Mkl2, Usmg5, Ube2ql1, Gls, Nckap1, Gas7, Prnp, Pfn2, Cplx1, Atxn10, Sncb, Gm11353, Epn1, Plp1, R3hdm4, Phyhip, Ctnnb1, Nsmf, Ppp3r1, Crym, Camkv, B2m, Ano3, Pip5k1c, Rnf187, Dmtn, Ppp1r9b, Rasgef1a, Syt1, 1110008P14Rik, Prkar1b, Pcdh1, Agt, Calm3, Add2, Dclk1, Fam163b, Adgrb2, Fam131a, Cdk5r1, Arhgap33, Ptprs, Olfm1, Mmp17, Ndufa4, Mef2c, Bsn, Erc2, Sept11, Dlg2, Ncdn, Sh3bgrl3, Crip2, Clip3, Cplx2, Oaz1, Ttr, Selenow, Pcp4l1, Slc6a17, Atp6v1c1, D430041D05Rik, Atp6v1g2, Hk1, Ociad1, Trim2, Nell2, Pld3, Kcnip2, Tsc22d1, Naa38, Plppr4, Arpp19, Chgb, Scg3, Pfkp, Gria3, Cacnb3, Gm25106, Synpr, Eno2, Mgst3, Rpl19, Atp6v1e1, Agap2, Bex2, Reps2, Lsm14b, Gm10419, Ppfia2, Scg5, Atp1a1, Brk1, Ptk2b, Mink1, Clta, 3110035E14Rik, Zfp365, Dctn3, Dynll1, Cspg5, Fam49a, Car2, Rn7s2, Map1lc3b, Mtfp1, Mapk1, C1qtnf4, Itpka, Gng13, Tbr1, Hbb-bs, Tyrobp, Slc30a3, Ptms, Plk2, Cacng3, Cnih2, Ttc9b, Baiap2, Zbtb18, Grin2a, Khdrbs3, Tcf7l2, Pdhb, Fxyd7, Klhl2, Trem2, Mical2, Mmd, Hspa12a, Amph, Ak5, Csrp1, Hexb, Rab40b, Aldh1a1, C1qb, Gatm, Bcas1, Scg2, Cnp, Bhlhe22, Ndrg1, Homer1, Ctss, Cpne6, Camk2n1, Npy, Efhd2, Cst7, Hbb-bt, Rn18s-rs5, Mal, Gad2, Plekhb1, Cnr1, Hcn2, Igf2, Hba-a1, Slc6a11, Nov, Slc6a3, Vamp1, Sst, Apod"
"7","4","29","up","17","Rn18s-rs5, Gm42418, Mir6240, Lars2, Gm26917, Gm26461, Gm15564, Rn7s1, Gm24265, Hba-a1, Hbb-bs, Ttr, Mir6236, Gm24245, Hbb-bt, Hba-a2, Enpp2"
"8","4","29","down","555","2410004P03Rik, Ccdc153, Fam216b, Dnah12, Ak7, Cfap65, Cfap43, Cfap100, Dnah10, Cfap44, Dnah6, Sntn, Tmem212, Myb, Gm25581, Gm45396, AF357399, Gm22513, Cfap46, Pifo, Cfap126, 1110017D15Rik, Gm24830, Dynlrb2, Dnah11, Lrrc23, Cd24a, Gm25682, Snora73b, Hdc, mt-Rnr2, Gm24407, Gm25890, Dnah9, Gm24270, Calml4, Rpph1, AA474408, Bbox1, Foxj1, Snora28, 1700016K19Rik, Gm26505, Gm24136, Gm25911, Gm22122, mt-Rnr1, Rarres2, Ppp3ca, Enkur, Calm1, Gm20594, Gm23153, Spef2, Rn7s2, BC001981, Gpx8, Rsph1, Folr1, Txnip, Camk2n1, 1700007K13Rik, Nrxn1, Cox8b, Gm23238, Calm2, Fhad1, Ywhaz, Syt11, Snap25, Uba2, Slc24a4, Gm24459, Enc1, Gm23935, Fbn1, Sncb, Tm4sf1, Pcsk1n, Hnrnpc, Ywhag, Bzw1, Pacsin1, Cadm2, Gm14630, Cyfip2, Desi1, Sptbn2, Rgs4, Habp4, Riiad1, Syne1, Kcnip4, Cntn1, Usp29, Gabbr1, Atp1b1, Tcaf1, Gm24105, Gm12346, Cfap54, Snap47, Gm26035, Tmsb4x, Calm3, Vsnl1, Prlr, Celf2, Gm24447, Cdk16, Dbi, Rpl38, Cdkn1c, Meig1, Snap91, Actb, Nrip3, Ndufa4, Spag6l, Gpi1, Gm25179, Gm6043, Stxbp1, Rap1gds1, Dynlrb1, Gm25106, Neurod2, Zyx, Arhgap27, Zyg11b, Clip3, Saraf, Aldoa, Eif3d, Dusp3, 9330132A10Rik, Stmn3, Fam183b, Camk2a, Grin2a, Adcy1, Vim, Ahnak, Atp5a1, Thra, Adgrb1, Med13l, Gria1, Gnao1, Rnu2-10, Rnu5g, Atraid, Ttn, Tcf25, Mcts1, Rps21, Hydin, Mllt11, Acot7, Rab35, Cox6c, Map1a, Ctnnb1, Nkrf, Lbx1, Gap43, Cdkn1b, Sipa1l1, Pmvk, Ube2k, Add1, Pfn2, Faf1, Sirpa, Ezr, Anks1b, Dnah5, Pdrg1, Map1b, Mlf2, Cdk5r1, Gm2a, Gipc1, Ncald, Pcdh17, Atrnl1, Gm22249, Tubb5, Amph, Dld, n-R5-8s1, Gria2, Rnf187, Rusc1, Sprn, Yipf3, Eid1, Bex2, Negr1, Spock1, Gfra4, Lmo1, Acaca, Uqcrq, Gnb2, Gls, Aebp1, Fry, Lrrn2, Fam19a1, Mrpl24, Grin1, Slc5a5, Nme1, Zfp36l1, Atp6v1c1, Hnrnph1, Syngr1, Chst1, Gnaq, Usp14, Zbtb4, Nnat, Phox2a, Cx3cl1, Ntm, Syt13, Ptprs, Gm24601, Nptx1, Slc35e2, Nars, B4galt6, Nsmce4a, Necab2, Chmp4b, Ncs1, Slc4a10, Ppp2r1a, Prelp, Sdf4, Sv2b, Hlf, Camsap1, Sez6, Spock2, Crls1, Gm23624, Ly6e, Maged1, Rims3, Sec24c, Myo9a, Usp10, Chd3os, Ndn, 2010107E04Rik, Anapc16, Slc2a1, Slc25a5, Cyp46a1, Ryr2, Got1, Sorcs3, Elovl4, Fam179b, Scn1b, Klf7, Syngr3, Prkag2, Aff3, Dnm1, Car11, C1qtnf4, Mrpl20, Adcy2, Syt1, Sdc3, Arfgef1, Vamp2, Cadm3, Eri3, Ube2ql1, Rit2, Auts2, Znrf1, Endod1, Nrn1, Pcnp, Cck, Nsd3, Copg2, Abi1, Atg3, Rbx1, Ppp3cb, Pltp, Gorasp2, Stk25, Trim46, Fau, Trim32, Prkar1a, Kcna2, Ckmt1, Myt1l, Dlgap3, Ptp4a2, Dalrd3, Snx27, Prkcb, Tprgl, Ndel1, 4933434E20Rik, Fkbp3, Cpne7, Eno2, Epb41l1, Cab39, Brsk2, Arf3, Rfng, Trpm3, Mef2c, Lsm4, Fxyd7, Id4, Pdhb, Cyb5b, Dgkz, Agap1, Trim2, Eif3g, Vstm2l, Nsg1, Fmr1, Slc1a2, Ppp2r2c, Scg5, Atp5h, Cox6a1, Nedd8, Inpp5j, Rab6a, Cplx2, Col4a3bp, Hsbp1, Dcun1d1, Ost4, Akt1, Actr3, B230334C09Rik, Ubald1, Rasgef1a, Limch1, Pja1, Tmem59l, Usp45, Gm11808, Actr2, Dclk1, Get4, March6, Pgm2l1, Snx10, Nsg2, Gabarap, Abhd12, Map1lc3b, Rap1gap, Snx3, Map2, Unc13a, Gm13889, Ctbp1, Cyc1, Igf2, Cachd1, Timm8b, Acap3, Naca, Kcnd2, Gabrg2, Malat1, Tecr, Cpne6, Gsk3a, Ap1s1, Cxx1a, Baiap2, Fkbp1a, Rcan3, Lrrtm2, Pclo, Reep2, Gatm, Cdk19, Gm22614, Pak1, Elavl4, Rangap1, Hspa12a, Smarcc2, Cfap69, Rab11fip4, Meg3, Ppp1r9b, Ythdf2, Rab3c, Mrpl51, Fbxo9, Capza2, Macf1, Erc2, Zbtb18, Kl, Higd2a, Vamp3, Gm15198, RP23-149L23.1, Pvalb, Ap2s1, Mrpl15, Eif6, 1600012H06Rik, Sdr39u1, Atp2b1, Smim10l1, Pip5k1c, Epn1, Ptprd, Rusc2, Neurl4, Adipor1, Pak3, Stub1, Rab6b, Grin2b, Chn1, Rbfox3, Pcsk2, Nus1, Cisd1, Creld1, Igfbp2, Rprd1a, Glrb, 1500015O10Rik, Cisd2, Camk2b, Adgrb3, Ppp3r1, Tmem246, Atp6v1b2, Wdr7, Hnrnpa0, Sh3gl2, Clta, Kif2a, Hapln4, Uchl1, Uhmk1, Psma1, Gpm6a, Stx1b, Osbpl2, Hras, Slc25a11, Slc30a9, Glrx5, Mapt, Car10, Slc24a3, Dctn3, Fbxl16, Osbpl1a, Gm17786, Prdx1, Hnrnpa3, Lmo3, Nap1l1, Ifitm3, Cct7, Svop, Sec62, Aplp1, Nrgn, Plk2, Atp6v1e1, Efhd2, Clstn3, Tom1l2, Map1lc3a, Phactr1, Evl, Sept8, Vps4a, Kifc2, Tspan7, Arpc3, Lamtor5, Gm15920, Cops3, Cbarp, Rnd2, Dbn1, Cplx1, Pde1a, Larp4b, Tm9sf2, Mapk1, Psmd12, Supt7l, Clasp1, Cnih2, Atp5c1, Tmem50b, Cab39l, Micu3, Snrpn, Stat1, Polr2c, Fkbp8, Dusp8, Neat1, Sowahc, Ift74, Frrs1l, Synpr, Kalrn, Msi2, Olfm1, Esd, Pitpna, Slc2a3, Brsk1, Gabrb3, Mgll, Spred1, Psd3, Gsn, Apba2, Gm9800, Slc24a2, Reps2, B3galnt1, Mboat7, Fez1, Cpne4, Faim2, Fgf13, Bend6, Cd47, Gabbr2, Tuba1b"
"9","5","21","up","17","Tnnt1, Ramp3, Shox2, Prkcd, Pcp4, Zic1, Rora, Amotl1, Adarb1, Ptpn3, Pdp1, Ntng1, Tcf7l2, Nsmf, Ccdc136, Cplx1, Ptpn4"
"10","5","21","down","563","Gm43398, Fam19a4, Rab37, Vipr2, Rgs16, Plekhg1, Synpo2, Eps8l2, Lef1, Kcnc2, Atp2a2, Cacng5, Cit, Slc24a2, Kitl, Rap1gds1, Plcb4, Nefh, Xylt2, Nrgn, Opn3, Npr1, Gda, Syt9, Ndrg2, Zfp385a, Kcnc1, Zmat4, Rims3, Prkch, Dlgap3, Gad1, Cpe, Spock2, AI593442, St3gal4, Elmo1, Nrip3, Vav3, Psd, Slc6a11, Acsl3, Gabra4, Reep2, Gabrd, Bok, Gpr153, Rtn1, Grm1, Gpm6a, Gpr12, Ube2e3, Grm4, Nov, Atp1b2, Sptbn1, Cldn12, Slc39a10, Lhfp, Trpc3, Gabbr2, Lrtm2, Ankrd34c, Clmn, Ids, Patj, Gria2, Rcsd1, Atp1a2, Rgs4, Tspan14, Pcp4l1, Sh3d19, Snca, Spock3, Edil3, 6330403K07Rik, Fhdc1, Tmsb4x, Cog8, Car7, Tpd52l1, Hcn2, Acvr1c, Rbms3, Ildr2, Selenop, Kif1a, Phactr1, Slc24a3, Slc17a6, Cplx2, Rnf152, Ldha, F2r, Rpl41, Lypd1, Serpini1, Rasgrp1, Prkacb, Hlf, Tusc3, Chrna4, Cnr1, Zfp804a, Eid1, Scrt1, Reps2, Inpp5a, Mapk1, Cacna1e, Basp1, Trnp1, Lrrtm1, Creg1, S100b, Atp2b1, Gm10076, Pitpnc1, Syt7, Ndrg4, Rps19, Ubr4, S100a16, Hcn1, Ppp3ca, Nptx1, Sst, Spock1, Slc25a5, Tmem229a, Mag, Nap1l5, Gabbr1, Aldh1a1, Dlgap4, mt-Tv, Dync1li2, Kif1b, Gm24601, Rap1gap, Synpr, Sprn, Olfm1, Ppp4r4, Sgpp2, Pde1a, Cdk5r1, Camk2n2, Cd164, Camk2n1, Rpl17, Cpne9, Baiap2, Ak5, Vstm2a, Inpp4b, Adarb2, Enc1, mt-Tf, Slc9a3r1, Kndc1, Atp5d, Nrxn3, Nell1, Atp6ap2, Cetn2, Scn4b, Gabra2, Src, Tubb4a, B230334C09Rik, Eml1, Kcnj10, Slitrk5, Rpl32, RP23-149L23.1, Fam20c, Qdpr, Plekhb1, Gm15843, Ano3, Tln2, Rab3c, Adra1b, Map2, Rps16-ps2, n-R5-8s1, Map1lc3a, Marcks, Rabgap1l, mt-Nd6, Rsrc1, Ldhb, Ifi27, Zfhx3, Nmnat2, Mb21d2, Foxg1, Rpl35a, Crym, Grasp, Rasgef1a, Ptprj, Lrrtm2, Ddn, Cd47, Gja1, Cnp, Trps1, Dlg2, Adora1, Lrrn2, Adipor2, Me3, Hap1, Alcam, Nptn, Gpr37l1, Fam222a, Fam171a1, Ier5, Celf4, Paqr8, Gm24265, Ywhaq, Cck, 1810041L15Rik, Ywhaz, Vwc2, Malat1, Nptxr, Stac2, Gm8292, Mal2, Slc1a3, 2210016L21Rik, Rpl13, Micu1, Rgs8, Eef1a2, Ywhab, Srgap1, mt-Rnr1, Adcy8, Wdr82, Slitrk4, Coro2b, Fth-ps2, Scd2, Mfge8, Clstn3, Gm15772, Map4, Adgrb1, Rpl17-ps9, Ppp1r9a, Syt4, Inpp5j, Plp1, Fau, Mkl2, Gm20594, Slc7a14, Pink1, Ncdn, Ppm1l, Pnmal1, Auts2, Rpl7a, Enho, Nr4a2, Secisbp2l, Mrpl33, Extl3, Tmem50a, Pvalb, Ncald, Szrd1, Pja1, Hrh3, Sptan1, Dcaf12l1, Ralgds, Heg1, Syt16, Hmgcs1, Fbxo41, Sowaha, Rab11fip5, Trib2, Rps21, Icam5, Svop, Mpped1, 6030419C18Rik, Tab2, Kcnq3, Arhgef10, Gucy1b3, Ina, Syn2, Slc12a2, Hepacam, Elmod1, Trappc3, Nr4a1, Qars, Tmem209, Gabra5, Rlim, Kif3c, Sh3gl2, Brd3, Rplp2, Ngef, Ppp2r5b, Cadm1, Mturn, Csnk2a1, Cxx1b, Gm5687, Snap91, Zfp664, Epb41l3, Bnip3l, Gatm, Adgrb2, Impact, Napb, Bop1, Cldn11, Slc8a2, Kcnip2, Clcn4, Hspa9, Gm10443, Eea1, Meaf6, Atp6v1a, Tmem163, Arpp19, Fgfr3, Chchd10, Gm11353, Wapl, Pld3, Vcp, Garnl3, Gm26461, Enah, Rps8-ps4, C2cd2l, Nr2f1, Atp1a1, Tspan3, Pdia6, Fryl, Bhlhe22, Rpl14-ps1, Rab1b, Aldoc, Gad2, Ddx6, mt-Tm, Pdzd8, Apod, Nell2, Cygb, Ezr, Rps8, Rgs7bp, Camk2a, Pnmal2, Ttc19, Tmem5, Aimp2, Cacna1i, Igfbp4, Thsd7a, Rasgrf2, Gtf2h1, Sncb, Glud1, Gm9790, Ahi1, Neurl1a, Mef2a, Gpc1, Gabrb3, Anks1b, Chmp2b, Vim, Rps23, Evl, Mcts1, Myo1b, Ptprm, Ctxn1, Kit, Tada2b, Pkig, Lmo4, Ap1ar, Rab12, Mt1, Chn1, Ppid, Tpt1, Hpcal4, Ergic1, Eef1a1, Kcna2, Nfib, Tanc1, Ppp2r5d, Psma4, Gtf2h5, Rpl31-ps11, Echs1, Cxx1a, Hmg20a, Epha4, Dlg1, Reep1, Tbr1, Rpl8, Synpo, Crim1, 6430548M08Rik, Rpl21-ps8, Medag, Itm2c, Gpr27, 1110008P14Rik, Cadps2, Rnf112, Fam8a1, Parp1, Tmem64, Rpl19, Kcnd3, Rps19-ps2, Dnajb2, Plppr4, Ttll7, Adam23, Srebf2, Txnrd1, Tmem129, Cryab, Sf3b5, Ttc9b, Pgk1, Cux2, Tmem56, Arl6ip1, Tmem255a, Gria4, AI504432, Stx1a, Ank3, Kcnq2, Grin2c, Map1a, Ube2e2, Eloc, Atp8a1, Ctnnbip1, Pcx, Rpl22l1, Srrm2, Wdr89, Gm24447, Gm12254, RP23-464F18.3, Rhof, Itpka, Gtpbp6, Calr, Slc30a3, Luzp1, Gm7429, Mmd, Sema5a, Wnk1, Gm15464, Zfp445, Cops6, Gm24407, Scn2b, Ndufa10, Cdk17, Plk2, Gm3244, Car4, Gm14633, Cds2, Psmd8, Ppp3r1, Cuta, Rpl31-ps10, Vps8, Bcap29, Crls1, Elovl5, Dazap1, Tmem132a, Ppdpf, Pkia, Rph3a, Celf5, Rnu5g, Ptprf, Gm37108, Gm10136, Shank3, Pgrmc1, Clmp, Srgap3, B3galt2, Rapgef4, Gm1673, Fam131a, S100a10, Dkk3, Rab3b, Ndrg3, RP24-142I9.2, Rab6b, Tnfrsf21, Rasgef1b, Anxa5, Herpud1, Snrpn, Tspan9, Nacc2, Fads1, Cacna1g, Nnat, Olig1, Rpl5, Rps7, Fam163b, Snta1, Rpl14, Mcf2l, Slc22a17, Phyhip, Rn7s1, Esrra, Rbfox3, Itgb8, Zmynd19, Rpl26, Sgsm2, Ndn, Atp2b4, Grin1, Hspa12a, Cdh13, Tspan13, Opcml"
